m/z;I
868.46367;254288
892.46416;532043
898.47506;395971
898.51122;247512
1048.5541;262492
1105.57541;1409064
1139.54357;193440
1153.52408;181458
1162.6219;307005
1167.5761;899437
1183.57088;575241
1207.60682;193090
1215.61236;206139
1241.66007;636268
1280.62295;318892
1323.66499;285876
1335.63096;460765
1339.66083;319958
1379.69191;219510
1392.65089;285752
1400.65961;208781
1435.68073;958805
1453.74304;5914111
1473.67378;380485
1475.72673;161103
1511.74515;229503
1550.75728;285307
1561.79887;903161
1562.78279;1415895
1562.83074;333145
1586.75613;772331
1608.74276;230577
1660.76857;298742
1704.8795;171921
1706.77361;206245
1787.86882;380138
1795.91103;1348263
1799.7978;608538
1803.90954;1472171
1804.89407;3443430
1832.86007;688545
1848.85514;543286
1892.92223;719369
1919.96036;300078
1944.9542;833797
1961.9803;6099621
2011.03707;886371
2014.95804;255508
2028.06491;6008242
2039.9557;439484
2044.05692;4472254
2056.97838;3386876
2057.9627;1889465
2131.11702;1652134
2188.0304;1144395
2282.0698;631242
2305.02991;180805
2306.10686;159839
2348.08476;351934
2410.13219;522947
2455.22197;520433
2483.18736;631946
2566.22159;888137
2592.22126;616044
2653.21543;201865
2689.25946;1844427
2705.2531;4436238
2706.23073;769472
2750.29256;459873
2759.26765;315045
2767.32006;3990146
2780.38524;321230
2801.2906;808545
2820.35299;2792585
2821.32915;661442
2883.42432;3278747
2899.42235;639222
2987.39044;2133691
2988.36634;1225567
3017.49268;561499
3033.48647;3205730
3052.40106;1162062
3084.41284;489061
3100.41139;2268074
3116.41032;2679806
3680.55808;435320
3752.59478;888992
4096.93646;924947
4111.92953;677090
4290.01489;585887
4376.10319;611550
4392.10002;1174049
4493.12868;531247
4509.11911;282538
