m/z;I
726.88958;191223
811.40612;143088
837.30923;134002
868.46426;546180
892.46398;645282
898.402;276764
898.51125;995488
982.54095;106540
992.51647;285207
1075.56529;147654
1079.55969;217464
1088.59687;150738
1105.57556;8184649
1106.55968;2058102
1121.58187;6389741
1125.5654;199294
1127.55777;607483
1128.54178;188836
1136.49767;208800
1136.56992;481407
1138.56067;530407
1143.56355;374012
1149.52885;165930
1153.52396;660925
1154.58093;934093
1160.60692;438936
1160.61751;182537
1163.59231;1933307
1167.53937;171292
1167.57613;872158
1176.61281;257460
1180.64415;2421053
1181.62806;889952
1183.57067;725913
1186.59691;175319
1191.649;518711
1193.51841;269396
1196.63922;1030484
1202.66489;382834
1227.56149;383567
1228.78283;115220
1239.64493;1715124
1241.55892;518642
1241.6608;1745131
1250.57658;446843
1257.55355;239908
1259.68628;431817
1261.59278;308392
1261.62952;657044
1272.59934;216737
1273.69064;162452
1278.57145;176987
1278.61922;173901
1280.6237;520971
1299.70681;370866
1301.62364;190735
1324.66881;536780
1329.61863;178334
1335.63016;873076
1343.67197;654584
1362.71306;356438
1379.61899;425994
1379.69221;593295
1409.75432;171020
1417.73024;1015561
1432.68178;804808
1435.68288;7754343
1453.74377;36782384
1455.80727;457862
1456.75416;891400
1459.69398;5627806
1473.6735;2717171
1475.72676;1677521
1481.76475;1103665
1537.70412;303310
1546.79885;2483172
1550.75725;2866873
1561.79854;7781391
1562.78277;9857625
1585.77305;1331496
1586.75714;5777696
1589.77834;866680
1599.82532;353630
1604.81466;434080
1605.79837;281756
1609.79036;693365
1615.82083;2214127
1616.80488;960822
1627.74272;295517
1648.78003;886637
1655.80089;1362181
1655.81482;371946
1664.76006;279151
1690.77883;922495
1691.76271;204111
1698.82175;843978
1704.87858;702425
1706.77421;2480668
1726.86551;1095217
1735.80027;770082
1753.88756;302139
1759.71999;551251
1760.70327;181097
1762.87328;516471
1765.8619;435388
1768.86338;825563
1783.80302;1288038
1784.85733;579827
1787.86868;1405629
1791.8269;318423
1795.91012;786220
1799.79975;3937992
1803.91066;6767649
1804.8947;17728432
1816.86627;2675860
1832.86106;7000762
1838.84664;229603
1838.97555;159160
1848.85623;4673883
1853.91576;233561
1854.8445;622369
1864.85068;209854
1876.92735;516249
1888.9198;1356102
1892.92231;3317311
1917.95411;489855
1944.95353;2990351
1961.98054;45249276
1983.96274;1887900
1986.0429;1197305
2013.98552;6726700
2015.94255;444854
2021.96462;304626
2028.06485;34100208
2035.9686;297279
2039.95477;2166846
2040.93931;1092478
2044.05782;15823219
2050.04418;1108527
2056.97901;23110352
2057.96396;12231477
2066.04077;773935
2079.94739;651025
2089.00478;2302027
2094.93954;297844
2105.00166;3652878
2105.98665;2015264
2109.03331;667273
2115.12172;571346
2118.09647;695553
2120.99827;919021
2131.11617;22613180
2146.94247;690096
2149.05109;706491
2153.09596;1803169
2165.04947;488772
2169.07394;593376
2172.03488;621656
2188.02831;12541424
2199.95649;520089
2204.02169;1139702
2214.96718;2021091
2215.95387;1213076
2216.05896;371523
2236.06442;289365
2257.01285;284121
2266.07444;697419
2282.07129;4860013
2290.08164;535938
2294.14737;452465
2298.06689;2383159
2303.1267;396326
2304.0521;503770
2310.13994;784783
2322.19228;1080409
2332.11818;1175383
2340.19122;313340
2348.08693;2515365
2356.19048;589033
2364.08428;1651167
2365.20432;658005
2392.13437;219573
2394.14304;827649
2397.12684;356465
2410.13595;4180609
2439.23175;666069
2455.22469;6250870
2465.09972;631557
2467.19793;3900270
2471.21779;1262877
2477.20386;558216
2483.19008;5981232
2489.17318;388550
2499.18693;3487873
2505.17498;399168
2509.08354;200072
2528.23002;478021
2534.15816;343616
2549.20287;1063597
2550.14988;501815
2554.19204;278226
2566.22752;10497304
2568.12905;696250
2588.20953;1041942
2592.22173;1438604
2604.18263;270110
2610.21338;226681
2610.29247;185875
2639.2614;264654
2659.25305;362234
2673.26471;1460730
2689.25949;11066438
2703.23943;13720525
2705.25253;36581136
2706.2313;7307564
2719.23384;6519120
2720.21487;2302561
2725.22746;748686
2727.23918;3651465
2737.37606;528492
2743.2124;1104866
2751.32511;2789838
2759.27515;784478
2767.32023;52698684
2774.35204;1318984
2780.3875;1932270
2785.29263;4595920
2789.30103;2234249
2794.33015;361412
2801.28878;3204457
2805.26967;746313
2820.35432;15663616
2821.33348;3911696
2839.39184;777099
2842.33253;1682845
2865.37286;1493603
2865.41866;288239
2867.42693;2994961
2883.42299;37529296
2889.34935;617091
2899.42154;8300754
2902.28967;1100828
2905.40982;4046993
2918.2859;2027597
2921.38634;1454779
2926.43611;651532
2934.40014;828825
2937.38086;792892
2945.33994;500956
2987.3911;14918705
2988.37008;11847876
2989.35039;4738905
2990.33056;1204180
3009.35397;1748936
3009.40334;1398859
3017.49308;2924043
3033.48659;9165603
3034.45989;1300194
3036.40605;1712688
3052.40245;2411950
3055.47114;1015896
3069.40013;594133
3084.41517;4940357
3085.38927;1665679
3100.41283;14988027
3101.39055;4668733
3102.37114;2200025
3116.41033;13709211
3117.38813;4563098
3118.36634;1742125
3122.3984;1429052
3132.40366;886848
3138.39151;1428529
3151.5454;330756
3153.36184;509791
3153.47006;2999212
3154.42844;1060352
3154.44656;2118772
3156.41152;793709
3169.46401;1856533
3225.54638;2131648
3226.51845;1914153
3241.53555;2256599
3242.5083;1967536
3258.50114;428277
3516.59446;833464
3518.5704;831809
3547.46973;247648
3681.56962;634591
3736.61465;271301
3977.02041;260531
4021.88577;600672
4096.94617;3067128
4112.94171;3093466
4119.93182;378212
4133.92213;650991
4139.07198;2101889
4274.02116;604327
4290.0136;1900233
4301.11364;1192209
4306.00663;921184
4375.1156;1250966
4391.10465;1541144
4493.13634;798432
