m/z;I
716.61761;112728
854.41182;228906
892.50032;162710
898.4749;378812
898.51071;529537
1002.79877;139692
1096.53807;240754
1105.57538;4055179
1106.55942;346984
1107.51822;202541
1121.61808;228582
1136.60674;224057
1153.60005;111402
1162.62226;275855
1166.55587;450750
1167.53948;239024
1183.57102;623599
1193.51906;206434
1193.55518;185085
1196.56667;306174
1200.61224;198168
1208.67486;2303571
1226.57688;286968
1240.67661;1186068
1241.55884;371662
1267.6757;623968
1281.61955;847208
1323.6656;229062
1335.62926;328613
1339.66087;262479
1343.67139;334388
1387.69388;839590
1390.73412;234961
1392.68692;259080
1416.68748;363155
1417.73015;346052
1420.68179;265359
1427.72804;10391409
1432.68237;387376
1435.68252;2709138
1443.7221;223449
1449.70937;176727
1459.69298;2265693
1473.67309;786379
1496.75096;196303
1512.74711;192731
1532.78224;302963
1551.79895;286291
1561.79791;2489963
1562.78264;4480120
1562.83;1283321
1580.76694;859845
1586.75635;2478958
1589.77885;425305
1615.82047;1733577
1622.7405;190830
1631.77692;171000
1648.77889;810912
1648.8294;734741
1660.7693;233282
1674.81278;390729
1683.80961;185349
1694.77548;217614
1698.82096;282874
1706.77356;503238
1716.91565;592049
1726.866;1156631
1743.72513;300833
1759.71885;317484
1766.83217;281452
1769.89416;244889
1787.90451;444370
1791.82534;203295
1799.79815;845577
1804.93048;10411123
1816.86525;866462
1832.86028;1599972
1848.85552;822229
1899.9931;368000
1900.87754;164217
1905.90588;256711
1922.93322;4187355
1933.9726;502872
1958.9696;1606663
1962.92794;155599
1975.99489;28941754
1991.99009;202596
1997.99192;5470588
2014.07189;551965
2014.95858;375734
2020.94406;424377
2038.08418;1003996
2039.06903;1600509
2039.95444;897710
2056.09207;34913140
2056.97849;14006556
2057.96367;4309464
2072.09054;8337322
2073.01234;1001103
2081.9606;514446
2089.00719;1358807
2094.03103;905940
2095.01661;392929
2105.00099;424247
2110.01407;321606
2131.1159;5625060
2198.97261;674589
2214.96883;766710
2216.05821;6224455
2232.05644;1169297
2256.04932;278294
2266.05829;405188
2348.08678;985271
2357.11156;179819
2364.08421;1256119
2379.1016;185515
2390.18133;1532773
2410.13614;983372
2445.12096;217858
2462.1418;1446439
2471.21463;474246
2478.13413;1768426
2480.11039;336686
2481.21034;842605
2487.20802;1667831
2497.20539;2511103
2502.207;769321
2509.16437;187354
2513.20357;2115015
2550.21476;4329257
2566.20637;5534490
2582.21598;3381341
2620.12665;192876
2651.24697;1708172
2667.23839;530721
2675.24533;382096
2689.25758;2146991
2705.25109;32316824
2711.27524;664435
2719.23182;5002617
2726.258;1021597
2742.25453;3207351
2743.28841;2314216
2759.28496;8619376
2769.34804;401611
2775.27955;6373348
2781.33321;25994984
2792.32645;8618401
2794.30837;895051
2794.40049;517323
2814.32632;353091
2835.24053;567540
2853.40704;9209516
2869.40508;2249378
2881.36949;365856
2889.35253;831417
2914.34371;468223
2930.33709;1311068
2946.33339;832738
2987.3048;940238
3001.36619;1547838
3009.40071;2779737
3010.37621;981847
3017.35895;8236956
3018.33556;2922718
3025.37665;384966
3033.48572;6459886
3034.46022;1641732
3036.4049;384881
3052.4003;2438750
3068.3964;322209
3084.41181;2159203
3100.41015;18365336
3116.40782;13660607
3117.3828;2384064
3132.40495;699512
3153.33516;231701
3167.48243;1545809
3182.46982;334911
3183.4739;4549557
3184.44951;1399087
3227.52106;1590066
3399.57953;460386
3425.61451;277507
3441.60591;228169
3517.59642;335552
3665.57257;2132347
3736.61157;2101744
3839.72483;577682
3856.76417;985353
3872.7583;911792
4037.87951;1830351
4096.94448;1160858
4112.94001;2095565
4128.9314;517256
4286.06033;1021599
4302.04859;2835425
4318.04384;1060228
4349.10049;590715
4364.09567;1796982
