m/z;I
713.35877;161372
836.438;562911
854.41125;120938
868.46436;369437
892.50047;576001
898.47479;965236
898.51121;596195
942.44664;302427
953.48073;323462
997.47025;201091
1068.50907;455150
1088.59704;290489
1095.56617;536291
1096.53872;943974
1105.57554;4170235
1105.62314;670374
1106.55966;873548
1112.57395;298055
1121.6177;161765
1125.52871;397194
1129.60077;948758
1138.56057;511257
1150.59718;573073
1154.58078;849944
1155.50495;280758
1162.62227;579151
1163.59245;1152140
1180.64323;791412
1183.57058;1164369
1186.62206;1101059
1191.64894;277058
1193.51892;288155
1203.62391;340929
1206.58706;176220
1207.60686;335172
1213.80904;111689
1215.61261;161297
1216.68019;328739
1226.57719;442593
1241.5589;960115
1241.66037;532823
1250.57639;230923
1250.61256;275022
1254.53553;389930
1262.64971;226181
1264.62886;446368
1267.67606;737815
1269.59417;117289
1272.5991;309545
1273.70216;389528
1299.70634;601409
1308.67433;596410
1316.67116;366084
1323.66535;451372
1335.62937;245887
1343.63692;505265
1343.67096;257671
1354.63724;375633
1355.59565;187277
1370.60054;238386
1370.66804;323182
1420.68269;522668
1427.72883;9662026
1437.67313;675521
1439.7249;260456
1459.69369;2032928
1472.78614;211734
1473.67332;1150301
1483.71427;508083
1503.80029;292405
1561.79857;4500582
1562.78278;5153777
1562.83033;1590328
1580.76867;1629656
1604.81545;342229
1615.82098;2213123
1616.80467;1064407
1622.74157;304494
1628.72608;460874
1637.72424;534176
1637.80201;195241
1644.77285;185353
1648.77907;516238
1648.8298;1063565
1658.81809;454765
1660.76793;270629
1664.75917;171385
1694.74534;402423
1694.77503;265332
1699.88953;228975
1706.77365;1371627
1710.86904;223277
1716.91489;1427515
1718.77274;188196
1726.86581;1593267
1735.79991;461846
1743.72499;368544
1750.83587;313468
1760.90503;223872
1762.91021;465371
1766.77755;210573
1768.86325;477442
1783.80198;1655809
1784.85688;210161
1785.86013;224429
1789.82309;244047
1791.82736;387250
1799.79958;1496086
1800.87197;469487
1804.93091;14816573
1816.86587;3457534
1819.89545;520121
1826.91358;964983
1831.94262;261487
1832.86128;4052366
1837.84621;529418
1842.88643;181970
1871.9618;525802
1887.95972;281325
1888.91927;439168
1898.97672;623848
1900.87894;434321
1914.94459;236671
1922.93363;2178244
1927.87024;304059
1931.96793;421012
1933.97345;1190846
1945.98409;170142
1958.9702;3642397
1975.99513;32128346
1981.00094;347157
1986.04352;1009568
1997.97881;1734993
1998.02877;2543856
2011.03609;2718899
2014.9585;700733
2019.97409;252252
2028.06491;22864512
2039.95487;1762062
2040.93935;605724
2044.05809;5179492
2050.04456;1032306
2056.97931;12466161
2057.96396;5669945
2073.01362;1471581
2073.99841;783258
2078.96499;524715
2104.99992;200613
2118.09657;388164
2131.11649;7278393
2146.94339;272357
2153.0959;864976
2198.97435;725744
2216.0597;5646865
2232.05647;1569604
2238.04257;576792
2256.05326;994566
2267.14584;441734
2272.04952;429249
2280.18612;300993
2293.01324;417252
2298.08002;307299
2324.16816;332847
2329.11681;776378
2348.08736;1118003
2378.06831;207456
2391.01498;542588
2410.13604;1358526
2415.13236;263973
2419.14716;399367
2422.07349;277263
2449.10917;348683
2454.06094;206342
2465.10034;657139
2480.09352;196325
2481.21136;1674399
2485.23067;1188454
2497.20695;2209013
2513.20452;962096
2550.21544;734252
2551.0739;209900
2564.16142;297095
2578.17514;303685
2582.2209;3137733
2675.24574;461908
2689.2604;3712160
2697.22437;533994
2705.25321;28357668
2719.23277;1849445
2725.29359;569956
2727.24006;3145084
2750.29154;1799222
2751.39699;766475
2759.28683;1708556
2767.32044;15351537
2775.28248;765352
2785.35787;1130028
2789.30414;879711
2792.32814;6848163
2794.40186;1087583
2814.30674;1016159
2838.38976;185434
2861.35761;394933
2866.42574;452316
2883.42426;12574892
2889.35209;299290
2899.42261;1759771
2905.4102;1585638
2921.38815;322763
2989.26426;247189
3001.36676;1170239
3002.34704;728803
3017.36237;4901785
3018.34062;2846385
3025.37429;224024
3036.40672;829588
3039.34284;719414
3040.32242;348184
3049.46433;315448
3052.40229;1659504
3068.42027;835453
3077.49819;1412243
3084.41375;7056808
3093.49532;14605382
3100.41209;14790395
3115.48093;2694850
3116.41005;4807822
3122.37038;764715
3122.39996;1881107
3131.45224;517573
3138.36872;434721
3210.52322;344983
3227.52056;904486
3382.70713;790570
3517.46193;829694
3651.55801;957180
3672.53656;290666
3722.5914;1021336
3744.5815;252910
4036.89635;707933
4069.91628;406961
4085.89737;300351
4096.94561;2942886
4112.93969;4445889
4118.93048;443997
4128.93006;664071
4134.91997;941495
4153.08954;1459449
4175.06703;231635
4286.05858;1102486
4302.04699;1992619
4318.04197;662412
4332.12701;250302
4348.1124;2311250
4364.10318;3344867
4386.08412;557629
4577.17281;356938
4593.16183;496320
