m/z;I
728.33241;599138
811.4059;336080
855.0536;352794
861.07075;202221
868.42777;218865
877.04461;170493
898.47438;342536
942.44647;271312
953.48006;201482
980.52786;196421
992.51624;367937
1024.51706;292518
1029.53667;142311
1037.52611;194880
1060.0612;255377
1066.07886;302146
1082.05266;169090
1096.53822;360292
1105.62303;213544
1123.48461;155440
1126.54964;171147
1154.58045;540304
1162.62174;974264
1179.60077;1302254
1193.61614;297175
1193.62677;153109
1201.58487;205010
1226.57631;192413
1241.55839;295072
1250.6122;154229
1267.67567;270854
1274.72614;1414146
1277.61286;118420
1300.52988;178903
1307.67798;719270
1328.64906;343388
1351.65058;354714
1383.69114;243849
1383.79985;208359
1427.72868;10920252
1439.81221;242525
1449.71066;295064
1459.69347;1210565
1473.67303;548011
1475.74995;1300407
1496.75338;975322
1503.79642;514331
1512.74763;335778
1564.81221;163247
1586.75664;4002093
1604.81346;235783
1615.82039;593218
1648.82963;5390619
1670.81149;194568
1707.772;502903
1726.86592;2409427
1804.93108;567943
1816.86597;3722534
1832.86083;3963385
1838.84683;156710
1848.85637;921939
1922.9332;525679
1933.97341;266491
1975.99554;13988641
1997.97793;505627
1998.02775;711344
2011.03595;659336
2028.06423;8707229
2044.0583;5317239
2050.04445;279226
2051.97938;140046
2056.98062;2040109
2073.01319;1725378
2089.00684;2602743
2105.00092;625475
2131.11558;14633260
2133.98489;200424
2143.52518;226879
2146.94241;592658
2151.52317;352120
2198.97367;2830985
2216.05893;883368
2227.00362;310244
2244.02866;551984
2255.06947;589427
2263.11037;1547723
2266.05878;260136
2271.06175;434245
2282.11692;222611
2383.95272;641500
2399.01796;648928
2410.13853;1848484
2476.24289;277704
2485.2311;8681992
2494.08908;641039
2497.20583;2043078
2501.22607;3286824
2507.21301;231930
2513.20206;1039598
2550.2128;1210977
2579.20739;255018
2582.2099;836525
2651.24726;621307
2689.26038;1191138
2705.2548;12189113
2717.08147;214900
2719.23263;1571831
2743.28298;672270
2759.28385;955354
2767.31877;3477374
2792.32635;694839
2872.39217;166502
2883.42273;5416968
2899.42012;1593610
2914.34343;178703
2988.30548;322162
3009.40209;898483
3017.36152;3018396
3052.40093;260329
3084.41329;1453788
3093.49465;1244524
3100.41035;4790685
3116.40977;1172643
3167.47656;387299
3183.47125;902258
3225.40794;548808
3227.51833;1427244
3413.62122;956548
