m/z;I
836.43811;427210
892.50026;331127
927.46502;169874
942.44651;253276
980.52792;167780
1010.50186;377264
1026.49722;410390
1027.48092;327232
1048.59033;196698
1071.4895;210011
1088.59664;212835
1095.56549;937509
1105.57534;3036890
1105.62301;586138
1108.50207;294078
1121.61826;453416
1154.581;194372
1163.59224;1160673
1167.5761;724108
1181.62742;284789
1183.57095;1162253
1193.51898;261425
1216.68004;227917
1223.60153;293006
1226.57661;258592
1241.55859;663249
1241.6604;1671772
1252.62628;143107
1267.67556;794508
1273.70189;225916
1278.61926;201700
1293.61881;146855
1308.67355;179056
1323.66579;365127
1324.62464;273605
1339.66093;410586
1374.74968;379874
1392.6866;266863
1416.6871;391317
1417.72957;535622
1427.72829;8106583
1432.6821;566967
1435.68215;2373409
1443.79543;163721
1447.75419;209364
1467.71905;184781
1473.673;889924
1503.80293;191618
1551.79916;320200
1562.78254;3507813
1562.82961;999951
1572.75093;203292
1580.76832;1003151
1586.75664;2131168
1616.80393;913114
1631.77656;241029
1637.72386;341076
1648.77819;572370
1648.82924;810171
1655.80088;754696
1671.80921;461906
1706.77297;527087
1716.91561;1159875
1726.8647;541417
1769.89417;265406
1783.80273;706012
1787.90451;651571
1799.79898;702803
1804.93067;6788420
1814.91453;234003
1816.86577;1146274
1831.94154;404496
1832.86072;2458262
1848.85635;1358855
1871.9603;403635
1888.96349;397992
1900.87892;213044
1905.90516;346286
1922.93323;2972800
1931.96749;266301
1958.97049;2229655
1961.89494;263123
1975.995;21900968
1998.02778;1325837
2002.0352;374618
2011.03616;1978308
2014.9592;385534
2028.0648;18103320
2039.9548;961211
2044.05761;9061367
2056.09137;201337
2056.97903;7246076
2073.99846;283635
2089.00624;668039
2095.01617;263412
2131.11683;4837481
2146.94182;406356
2150.02776;186892
2256.05168;538774
2265.05371;499648
2272.04624;293437
2336.20798;297398
2364.08489;761208
2379.21917;233946
2390.1817;944460
2410.13944;823797
2412.12412;298494
2414.1234;505890
2462.13025;290752
2485.22932;1200505
2497.20608;1217562
2502.20766;898709
2508.18841;284484
2513.20226;1552145
2533.19;520811
2550.21428;3268958
2566.20619;3600699
2582.21817;2692803
2651.2476;1655315
2667.24121;209889
2705.25362;17597582
2719.23156;3499868
2720.21366;303042
2725.29093;511245
2744.27334;965688
2750.29059;1483389
2751.39857;246283
2758.25628;439607
2760.26958;2884196
2767.32007;14653605
2776.26306;1685362
2792.32762;4126264
2794.4005;835970
2839.38933;352541
2865.41286;192299
2883.42365;9487919
2899.42125;2588368
3009.40372;1169271
3010.37994;917578
3017.3406;4120623
3017.36236;3810015
3019.32077;1673770
3033.48867;5281236
3034.46534;3122169
3052.40256;2004169
3084.41148;1741342
3100.41248;9541525
3116.41033;6289019
3183.47729;1895514
3186.41626;463573
3227.52202;772097
3414.60677;490717
3502.57601;383693
3534.68626;1401545
3550.6683;771273
3576.64043;524759
3651.55669;706015
3722.58196;572438
4019.84854;297118
4037.87915;1639665
4096.94208;511365
4112.93393;1217610
4128.93003;387302
4154.07035;216469
4349.09607;697391
4364.09265;2462076
