m/z;I
784.44395;893165
793.4016;1078320
836.43882;1799416
837.42327;213068
840.47033;356446
841.45432;428008
868.42906;459962
898.51227;460864
988.00089;890991
988.06351;454009
1081.58792;452461
1088.53898;677011
1095.56753;7396040
1099.55115;618669
1103.23089;105536
1105.57728;9810714
1106.56117;6010503
1108.03352;952877
1115.54623;681627
1116.49383;511244
1153.56233;316219
1161.5742;207247
1162.55811;216736
1162.62377;388568
1163.59393;728545
1169.5934;210474
1177.56962;1488033
1178.55381;2943022
1180.64594;1698306
1181.63042;1409397
1182.61394;745671
1192.63498;431034
1196.6403;2292425
1197.6247;1830797
1199.64062;404569
1201.58754;1284640
1202.57139;1900601
1223.61566;868699
1241.63898;1135905
1241.66267;14308780
1267.67857;5714371
1288.61992;504046
1295.64448;188153
1311.63243;2278881
1324.67055;405516
1328.6518;1748598
1332.65791;2383849
1343.67188;249752
1344.64509;427669
1352.17812;260979
1373.68044;2451931
1379.6219;208216
1384.66628;281476
1392.69092;177461
1417.73278;171741
1427.73166;22954574
1435.68519;26859862
1441.78586;402806
1442.21891;290040
1443.7263;815143
1459.69671;20612902
1473.67599;5500050
1474.6435;174073
1493.73764;159908
1501.70702;236345
1509.78112;381040
1532.7858;1012271
1545.6965;155907
1550.76053;8683927
1551.80343;1973519
1561.80146;1558427
1562.78551;5689900
1562.83301;8672244
1586.76034;32136016
1600.81222;405788
1608.74183;312292
1615.82358;3340226
1616.80716;6808291
1643.74062;417943
1648.78219;2012169
1648.83274;2809759
1655.80331;12569778
1664.77875;1574053
1674.81597;1010904
1678.86673;1312138
1679.85033;225017
1680.77363;366082
1683.81354;539838
1687.83995;1544290
1688.88679;295141
1690.78256;436357
1696.7073;195969
1696.76768;184814
1701.73683;895361
1701.83395;1137915
1702.71996;551669
1703.8357;1357367
1706.77783;1478385
1707.76105;766208
1716.91774;554764
1719.8457;3255625
1723.84572;414841
1726.87107;1021274
1730.84537;331951
1733.88492;257867
1736.83384;615274
1744.71333;356423
1758.72037;360880
1759.72247;4547047
1760.70671;3680522
1762.91215;766669
1769.89779;1347839
1770.79396;2728674
1771.93853;251224
1772.86883;2240438
1784.8602;470088
1787.90727;964129
1799.80318;9912998
1804.9351;32293464
1813.8755;5753106
1816.86907;1480117
1819.89824;558965
1824.80524;341566
1832.8651;6097077
1833.92526;558352
1835.85664;290805
1846.94391;281452
1848.8594;5550238
1860.93717;1150484
1863.87739;5829603
1864.86181;2418671
1876.93073;519896
1884.84131;221139
1888.96856;486558
1892.92664;20791660
1914.90827;234297
1916.95432;286096
1920.91089;1432879
1931.9725;457537
1933.97753;2278818
1958.97451;3183480
1962.93222;1327248
1968.95349;606032
1975.99827;131321352
1991.99559;1286979
1996.99501;551203
1997.99705;8995954
2005.97399;1778334
2010.9532;441848
2014.07647;521881
2015.94652;3613247
2019.97772;4103344
2020.9629;1734364
2029.98649;1636883
2030.07175;446110
2039.07394;470752
2043.87673;224819
2056.0978;17433928
2056.98303;33488766
2057.96808;68322552
2072.09538;14526596
2074.00194;7777201
2074.98661;4729812
2083.93675;605835
2089.00974;1597914
2089.99654;11676580
2090.98117;6905927
2094.03605;2063522
2104.02477;1014780
2105.98946;4841671
2106.97468;2761051
2111.0165;454385
2118.09894;380023
2120.02045;1231589
2121.00703;1870790
2131.12161;33772812
2146.946;781479
2147.05298;1549082
2151.03712;1743822
2153.10163;442468
2169.07821;398414
2173.13224;294832
2174.044;1058112
2188.07177;315702
2192.06195;184997
2200.06902;1826745
2208.03661;1152803
2216.06236;105741608
2221.98108;507639
2227.00928;240202
2232.06103;8948223
2234.08678;1465328
2238.04945;1109773
2256.05866;5141236
2265.05875;2598849
2272.05365;1769112
2282.12459;322658
2294.11132;1785093
2295.09825;833255
2307.12671;3091902
2307.14277;8585296
2322.08196;1185520
2331.06325;293044
2345.1;407578
2348.09273;4629101
2348.16656;1237031
2353.12515;683258
2364.09024;6372222
2369.12104;2353965
2390.18871;7300261
2405.09014;347508
2420.0992;480274
2421.17389;337775
2425.06765;1566046
2436.18477;697488
2437.10628;311091
2447.20818;875072
2462.13078;1047121
2466.22733;595971
2470.24957;351877
2481.2191;5380479
2485.23794;25816514
2494.09072;814940
2497.21207;18908130
2501.23268;6653215
2510.08118;5330125
2513.20824;20863002
2524.1948;2244127
2526.08242;1072712
2547.21217;2144390
2549.20179;4548344
2556.22631;205571
2566.21573;18044658
2573.27129;671443
2583.21331;10493224
2589.26419;2140695
2608.28285;2279858
2610.22424;5334469
2626.22202;1507050
2704.23277;22764588
2719.24139;7930099
2720.22334;12522472
2725.29769;1612492
2743.26984;1020553
2750.29754;1433219
2751.40362;1175459
2760.27947;3893696
2767.32635;56067968
2775.28476;2889180
2776.27258;3554108
