m/z;I
814.39083;113360
898.47502;443845
898.51115;272739
1010.50199;262674
1047.29669;110707
1063.52856;236757
1071.58043;508568
1079.52406;391068
1096.53878;487244
1105.57606;1144272
1105.62358;410503
1105.67372;320410
1109.54201;101604
1126.56509;937718
1129.60052;519023
1136.6069;224712
1146.56662;218524
1162.62208;504915
1163.59239;412440
1164.53979;164971
1166.54519;178828
1181.55499;405080
1183.57158;1048351
1186.62249;576971
1193.62788;162532
1196.56636;146403
1207.69153;1377010
1208.67532;688824
1223.508;133774
1234.68004;644009
1241.56056;417472
1259.64983;179454
1272.70985;308927
1274.72686;18915876
1276.71407;353454
1290.72201;720218
1299.70745;229259
1301.6244;175788
1306.71644;598792
1308.67459;256654
1316.67127;399731
1343.67168;244572
1346.64604;336837
1346.7194;337593
1388.78197;124717
1392.68823;178689
1420.68353;292427
1421.79613;213550
1427.7288;2421678
1435.68298;868235
1439.81334;698430
1442.6241;166256
1459.69386;551788
1465.78121;685326
1475.714;403812
1496.75399;366319
1504.91155;807776
1507.81532;645523
1508.7981;425969
1550.75811;354802
1562.78328;599825
1562.83112;353078
1586.7564;596017
1604.81635;396236
1613.76867;213256
1615.82095;521865
1638.7882;286442
1658.81854;364091
1660.77016;224796
1688.88186;260734
1698.82024;198655
1706.7734;280369
1716.91568;325438
1726.8669;657460
1783.80274;424313
1791.82761;161025
1804.93172;3946828
1832.86081;733581
1833.89369;2393861
1864.99458;395886
1892.92265;1123815
1933.97401;399912
1945.01664;473224
1954.9872;329481
1955.0548;478366
1958.97132;1094322
1961.01127;326292
1975.99626;9430995
1997.00941;5863833
2014.96079;224653
2019.01068;180957
2038.08623;642358
2039.06983;1348053
2056.09414;10803886
2056.98056;3988063
2072.09211;2330467
2073.01199;310611
2089.00807;422336
2115.97057;181527
2131.11767;2184513
2180.97469;730902
2181.95764;466590
2198.97223;442117
2216.06137;945458
2224.20033;237609
2233.16549;342169
2253.09153;150870
2266.06038;771689
2290.18735;295930
2293.24634;717252
2311.17168;1357645
2322.09466;322387
2338.05411;289903
2348.08939;473617
2364.08444;390965
2381.30322;281299
2383.13234;221532
2403.15095;337002
2410.13941;366438
2419.15015;434870
2459.17082;208574
2476.1714;295049
2476.24539;685174
2485.23103;960259
2497.20671;517206
2501.23006;347987
2513.2059;386377
2578.18042;723000
2596.19415;461945
2689.25959;1563185
2705.25521;14309374
2719.23379;869416
2726.26255;473324
2743.28976;1528058
2759.28742;2307519
2767.32108;2589695
2775.28338;615515
2785.35766;957234
2792.32888;2737432
2814.32842;388693
2847.42069;632573
2883.42557;2593521
2899.42642;708970
2929.33287;533883
3001.36663;685057
3009.4032;480065
3017.36274;3259591
3025.37637;207449
3036.40718;633326
3052.40476;1150383
3059.50692;2369050
3071.39078;189034
3084.41508;3992316
3100.41222;11894845
3116.4102;3665187
3183.47709;592911
3227.52129;447968
3382.70744;1819447
3634.56358;260123
3651.56013;2100021
3706.60101;475605
3722.59845;4078232
3840.76563;354880
3856.75846;494527
3880.85627;525148
4018.88948;248895
4033.90519;263077
4036.89854;1067551
4096.94319;608250
4112.942;1281363
4153.08871;484194
4268.02471;270398
4286.0583;870976
4302.05051;1762151
4317.04008;467310
4348.11331;1797670
4364.10742;2469201
4519.15337;1721992
4535.14331;355989
