m/z;I
728.33664;296908
836.43811;269243
868.46426;237099
898.51124;623067
942.44674;343488
952.46765;1071971
1010.50225;339088
1034.57905;349240
1051.536;453440
1063.5285;373835
1067.53094;145929
1079.52353;369087
1090.49177;185401
1095.56632;296726
1096.53889;573123
1105.57577;2501311
1105.62332;398697
1120.55477;684962
1129.60104;904627
1136.60648;291808
1138.56053;404391
1153.56055;615233
1163.59206;454863
1182.61186;353388
1183.57135;1093310
1186.62244;922045
1193.62785;315944
1196.6395;701997
1208.56627;161986
1211.64305;344398
1215.61194;177730
1235.58211;167168
1241.55922;801095
1259.64914;250876
1261.6299;207323
1266.64364;164378
1273.70223;271806
1299.70698;355717
1308.67458;955144
1312.74842;918013
1316.67187;465974
1338.64448;558025
1370.60123;206150
1374.74944;182266
1427.72881;4523330
1459.69393;1209573
1467.71897;163700
1473.67338;582374
1496.75414;621635
1542.87567;253733
1561.79941;1907544
1564.81328;249459
1573.8009;274675
1575.86192;239331
1580.76891;190771
1586.75753;1151754
1596.76318;352273
1604.8154;481104
1615.82087;1153949
1637.72425;358622
1646.81842;656623
1648.83002;433307
1655.80162;454588
1655.81443;335551
1658.81884;587433
1694.92378;212759
1699.88971;168131
1706.77375;701005
1716.91567;524813
1726.86611;1047365
1743.7274;260957
1750.83705;377765
1756.77913;457985
1758.90707;198568
1762.90973;207187
1766.83281;471270
1772.77423;585603
1783.80304;991757
1787.90505;643286
1788.77002;231533
1791.82731;253888
1799.79914;299640
1804.9314;5722425
1816.86641;1821708
1832.86114;1021732
1846.83281;410041
1864.99317;617942
1874.82786;221014
1892.92278;1217141
1899.99286;284431
1931.02914;226849
1933.97482;458857
1974.89112;542926
1975.99612;9678998
1979.98113;919242
1997.00836;5885861
2014.07242;594846
2014.95876;463151
2030.07003;178695
2039.06989;1398741
2056.0937;12190265
2056.98023;5169979
2072.09146;3617985
2073.01384;688962
2089.00732;459527
2131.11755;2440767
2179.04947;340871
2198.97425;802090
2214.97062;262721
2216.05772;1246469
2217.14314;159023
2227.03442;578933
2233.16576;602844
2246.13646;571940
2258.16377;1464442
2283.01897;415005
2290.18539;417249
2293.12521;226532
2299.07735;440820
2328.06023;567055
2348.08859;484339
2361.22374;421946
2383.13164;834759
2395.13138;711505
2397.21946;358511
2403.15381;428699
2410.13977;621903
2414.85883;628019
2419.14929;453910
2460.17893;318036
2476.24501;908743
2485.23092;773198
2497.20937;581628
2513.20282;358986
2562.18334;1053463
2565.16413;257208
2578.17736;1580481
2594.17353;798481
2610.21156;324115
2661.20131;281954
2673.26602;1231483
2689.26097;4612635
2698.23265;209430
2705.25495;11263126
2719.23275;889232
2743.28836;1511062
2767.32072;2774439
2785.35709;1108679
2792.32835;3124080
2814.3322;462455
2820.23414;2923398
2847.37554;1060323
2883.42501;2414151
2899.42478;840699
2938.57678;300678
2959.36201;562022
2976.33996;785450
3001.36896;876213
3008.40308;314030
3017.36267;3722889
3037.40987;518611
3043.51196;621904
3052.39552;728273
3059.50647;4435373
3068.41846;1958711
3081.39694;267580
3084.41305;9838340
3100.41143;13751250
3116.40861;1886816
3167.50833;354615
3227.52114;330535
3366.71695;207192
3382.70459;1177722
3431.61264;825964
3446.59989;280040
3517.4582;305552
3651.55861;5081436
3667.54923;213496
3706.6002;410480
3722.59598;6909212
3738.58677;325523
4035.90529;622822
4096.9426;2311723
4112.93947;1984545
4128.92642;224972
4152.08191;512158
4186.07338;472577
4202.0691;748074
4225.97037;285035
4286.06107;1031191
4302.05072;1410762
4332.12433;309672
4348.11447;2470618
4364.10804;2855170
4519.15196;1676815
4535.14734;1111316
