m/z;I
888.5063;157665
898.47509;222552
898.51198;285840
944.53278;190964
971.53209;581854
1007.55346;137881
1010.50263;307477
1021.56896;537695
1032.59611;309584
1034.57994;259464
1049.54269;1142621
1080.61022;341223
1087.62747;385288
1093.59838;120822
1096.53904;430441
1105.57648;1410177
1105.6238;325273
1110.06472;777310
1126.56572;2982729
1127.63349;481514
1129.60155;215224
1130.55987;253120
1130.63311;617508
1143.6357;298342
1145.57503;506219
1150.59744;901513
1150.6342;409401
1153.5617;174527
1156.5716;330097
1163.59288;429031
1166.62974;226329
1182.5953;219925
1195.71718;210389
1203.62438;156462
1207.69194;645658
1220.71272;2070103
1230.70052;372065
1237.7392;3285053
1239.51957;721006
1257.70061;158490
1260.67122;709805
1261.65534;449559
1264.62956;170192
1264.64545;191699
1274.7275;27592380
1280.62913;1176679
1282.72527;287426
1290.7229;676260
1294.72624;210393
1299.70827;149188
1306.71761;522147
1311.75502;1045584
1312.74904;610759
1316.67275;170760
1319.6351;206188
1323.72938;263753
1337.61022;271941
1343.67184;224107
1394.73341;740825
1410.72212;190063
1420.68309;231727
1421.63891;178364
1427.73002;2332584
1435.68376;867241
1437.75518;995636
1438.69886;2437161
1442.8386;1535414
1465.78238;1995538
1466.85874;279134
1480.71204;2373712
1496.70667;175554
1499.77796;827795
1500.72196;522201
1504.80228;123786
1520.73531;249015
1552.8368;552677
1556.68482;734685
1561.80006;1113661
1572.68091;856811
1575.86218;212008
1637.72575;228513
1639.91498;253054
1648.78034;553380
1655.8013;190591
1660.80632;431130
1674.82706;249397
1679.86689;375932
1690.78093;312795
1698.77317;1115633
1706.77537;515238
1713.82619;485899
1728.9656;208130
1743.82353;1495901
1768.99902;190798
1783.80461;404792
1790.89547;1213919
1791.95282;423166
1799.8019;264021
1804.93293;3470923
1832.86314;1072712
1841.92104;3588181
1847.93759;175559
1848.85809;270578
1906.00572;268877
1922.93582;762586
1926.08774;226624
1930.04491;225041
1950.96993;256180
1958.97206;1346379
1965.99527;289177
1975.99774;10128915
1979.98376;457895
1990.91928;975681
1997.01099;3165768
2007.94441;1619237
2014.07366;443506
2023.94158;870252
2024.00576;319000
2024.13325;454607
2039.07196;1387189
2039.95743;1303132
2041.15862;3969217
2043.97724;1405913
2044.98255;551877
2056.09496;11524297
2056.98129;8576222
2060.97811;1146738
2064.02169;687404
2072.09403;2376028
2089.00964;532621
2115.13808;340365
2131.11888;3895413
2143.04993;388473
2145.91689;245740
2157.06824;1379416
2178.10339;3141038
2181.01908;2383338
2195.06151;306189
2198.97721;588072
2203.09526;8909463
2215.07206;1029786
2220.1227;135386400
2224.20339;926841
2227.03568;1362215
2228.22529;330765
2232.05991;914719
2239.15671;315476
2242.1097;265247
2256.08651;1119687
2258.16559;544518
2272.0857;504764
2274.04405;427417
2274.16167;350517
2276.99362;416627
2277.09494;190518
2286.13282;173531
2293.09477;330852
2299.08174;389861
2307.00269;365709
2310.09148;863114
2314.10784;189086
2325.24788;3411327
2331.0614;271128
2336.25248;1475002
2348.0884;982924
2364.08635;779013
2383.13616;964362
2391.26666;283362
2398.13469;169441
2407.05903;209021
2409.21157;830981
2410.14055;745141
2422.08061;197450
2451.23278;273277
2463.10269;322785
2467.22433;227092
2481.21292;412267
2485.2326;954764
2497.211;889528
2513.20711;680467
2556.21282;1272284
2578.18235;499745
2578.26398;987156
2594.17211;323227
2638.17093;314893
2661.27659;350136
2689.26407;2309645
2689.29576;1504498
2698.23827;474498
2705.25538;31143520
2705.29064;8983442
2711.31218;1686126
2721.28997;1844152
2727.31319;1459268
2735.36981;884680
2741.25193;539209
2743.29242;796608
2751.36674;797956
2759.28948;1909750
2767.32422;6851365
2771.27421;203473
2773.46527;446338
2785.36164;555296
2792.33085;2952553
2814.33545;326327
2835.35465;296565
2847.3751;870566
2883.42725;2468416
2899.42653;2681584
2924.3874;304211
2959.49856;420010
2988.30933;429697
3001.36736;1617571
3017.36231;4993181
3024.39361;468106
3036.40466;751209
3052.40162;1414821
3066.57495;443370
3071.39486;5019299
3077.49796;840314
3084.41302;6163920
3087.39195;3770706
3093.49926;3387809
3100.41422;15424387
3116.41272;5961650
3153.47075;923785
3169.46561;696681
3183.62353;1127181
3199.6156;303322
3211.5324;202385
3227.52236;430913
3243.51457;386036
3396.60394;254105
3412.59806;1877916
3428.59672;2113384
3444.58939;758162
3456.6358;324617
3461.62155;267671
3572.65079;254059
3575.66491;939495
3624.65482;636182
3635.56223;237430
3640.64766;450120
3651.55903;2106482
3691.67805;1027466
3707.67083;2087752
3722.59962;2578760
3723.66654;2164905
3735.69741;675189
3820.79541;945427
3836.7941;1334101
3869.75057;862017
3876.72759;245409
4096.951;1830252
4112.94607;2898711
4120.98913;787229
4128.93976;641963
4136.98131;1314869
4152.09461;363518
4152.97699;604133
4259.03969;253057
4272.94522;254163
4286.06743;1025597
4302.05906;2879290
4318.05295;1038273
4348.12304;1052461
4364.11937;1531296
4553.13229;274260
