m/z;I
784.44378;479368
836.4389;900776
868.46491;342305
869.41281;224232
988.00081;620471
1045.03536;156649
1095.56737;1719246
1096.53967;210867
1105.57701;4860636
1106.5609;2879199
1116.49357;230596
1161.5744;250572
1162.62392;532848
1163.59417;786935
1167.57692;135219
1177.56941;532810
1178.5538;1049999
1180.646;770929
1181.62981;786032
1196.63984;1195428
1197.62459;954588
1199.64057;263381
1201.58745;630435
1202.57118;901513
1208.56788;226015
1224.63562;324675
1241.66231;8171988
1254.53656;217181
1267.67821;2441265
1296.58351;181458
1324.67063;194595
1328.6518;299686
1373.67905;1137331
1374.7508;158782
1383.72797;728998
1392.69036;165028
1417.732;308617
1420.68475;254188
1427.73132;21150102
1429.72907;398628
1435.68436;10315397
1443.726;692819
1447.75701;215757
1459.69622;8695189
1473.67556;3202192
1481.67687;199732
1550.7599;3867288
1551.80262;1253316
1562.78513;4000758
1562.83259;5562047
1568.74889;160251
1586.75979;13813435
1589.78159;561790
1600.81264;313009
1608.74225;188686
1615.8228;3164137
1616.8069;5848665
1648.83229;2357017
1655.80245;3289210
1664.77732;931060
1674.81525;510928
1678.86636;755338
1698.82355;616207
1701.73529;249761
1701.83246;586982
1706.77605;1175400
1716.91766;553416
1719.84549;1791195
1726.86889;1969934
1737.81804;263353
1743.72721;519289
1759.72267;1841442
1760.7065;1101880
1769.89726;621975
1770.7933;712444
1783.80648;611685
1784.85923;622207
1787.90754;1406900
1799.80278;6924849
1804.93432;32789196
1815.796;460484
1816.86808;1864032
1819.8976;606664
1832.86434;6260012
1833.92458;558082
1845.90113;195992
1848.85876;5597619
1860.93634;942146
1863.87605;1289214
1875.8979;1122621
1875.94558;614818
1888.92225;267173
1888.96875;344262
1892.92595;18519406
1899.99612;377472
1901.86513;431394
1908.91985;558490
1920.90957;512544
1931.97196;515826
1933.97654;2363184
1958.974;4205499
1975.99775;112267016
1997.99589;12944045
2005.97266;1338836
2014.07471;1013229
2015.94514;2379765
2019.97727;2301253
2020.96228;825194
2029.98583;892839
2030.07185;929729
2056.09696;32623472
2056.98247;32338882
2057.96754;49904096
2067.93717;674250
2072.09428;26791250
2073.01442;2523119
2074.00123;5519395
2074.98579;2945987
2078.08145;540405
2078.96603;636404
2079.02808;830995
2079.95269;690641
2089.99559;8636047
2090.98062;1110148
2094.03531;2891569
2105.98884;3515077
2106.97314;1724462
2111.01552;444430
2115.12542;1124222
2118.09964;644937
2121.00583;1549349
2131.12057;47282632
2146.94625;683493
2147.05297;1176089
2151.03542;911623
2153.10081;1107481
2173.04074;449469
2173.13143;214905
2200.06826;1144523
2208.03619;907794
2216.06174;83365912
2232.05996;3095412
2234.0864;766406
2238.04904;1122395
2256.05813;7897817
2265.0574;2244405
2272.05158;2505971
2282.12268;492018
2287.09254;310857
2299.0896;180304
2307.14244;3793535
2317.03751;498562
2322.07938;1187281
2331.0684;485743
2336.21533;304921
2348.09129;6313359
2348.16443;1409708
2353.12247;564908
2364.08922;9025144
2369.11959;2541725
2373.16185;345849
2390.18745;5806825
2398.12955;213649
2431.26516;402645
2432.13644;276868
2460.19378;449905
2462.14599;542743
2468.24057;502406
2478.13171;1064592
2481.21823;3168073
2485.23693;22112192
2494.0957;513327
2497.21105;12908834
2501.23119;8258995
2507.21642;516936
2510.08259;2515250
2513.20762;15123081
2524.1931;2252009
2549.18149;409679
2549.21957;2005343
2566.21472;16452039
2573.27022;637796
2583.21245;11388854
2589.26256;1804171
2605.19451;389772
2608.28438;1851479
2609.23149;5251109
2689.25939;1080603
2703.24103;18871450
2706.24224;12717246
2706.26407;5570487
2707.22318;3303035
2719.23876;8943120
2720.22255;9588660
2725.29725;1914968
2744.27828;1186319
2750.29699;2529535
2751.40254;1544756
2759.29135;2839044
2760.27499;3142916
2767.32508;65807996
2767.56967;445193
2769.47459;481197
2775.28919;3138886
2776.26936;2229701
2783.31988;1224205
2788.30544;857934
2792.33178;3321807
2793.31813;471963
2794.40907;789086
2812.48026;429377
2821.23989;198292
2839.40205;787502
2883.42801;64365072
2883.69583;795930
2899.42741;5514097
2905.41644;1047130
2921.39104;598849
2930.34688;1474891
2938.38977;579782
2946.3411;1504969
2952.39618;895741
2967.40848;1645553
2968.3883;3201910
3017.37095;1886457
3018.35298;4184116
3019.33269;2699881
3020.30997;968480
3033.4984;3116112
3034.4753;2066549
3053.38879;384902
3084.42383;961516
3100.40073;4005932
3100.42307;3097427
3102.38061;2260085
3116.39893;3794288
3116.42143;2883480
3118.37847;2438860
3151.55641;388699
3166.49001;309651
3167.54894;828963
3168.47621;703830
3175.48584;299769
3184.47042;4105674
3186.43116;3165450
3200.46186;465212
3226.53147;1805109
3228.51089;5027210
3242.37442;413085
3244.3571;516097
3244.50179;555309
3324.56484;223300
3502.59432;1929927
3518.5867;1464453
3625.74042;650945
