m/z;I
722.35841;317350
868.42765;266799
892.46402;384096
892.50001;247102
898.4746;625520
935.44031;208041
988.03036;321711
996.47489;199453
1088.59702;155233
1096.53888;538564
1105.5751;1934084
1105.62356;348128
1112.57452;228728
1129.60086;717043
1136.49675;128242
1138.56041;402381
1140.80319;119989
1141.16668;115713
1146.56534;182917
1162.62273;285734
1165.52361;228495
1180.64365;553280
1183.57139;1207793
1186.62185;561107
1193.55548;232983
1193.62811;212364
1194.52222;234597
1196.63848;376091
1222.6175;121128
1226.57752;315661
1241.55883;580480
1251.65055;188658
1267.67536;372821
1296.63739;279447
1299.70718;279108
1308.67409;232211
1312.74715;492135
1316.67127;371246
1339.6604;431547
1343.67116;230731
1349.69651;267734
1374.75026;187724
1392.68743;274011
1417.7297;219977
1420.68223;281395
1427.72799;4803173
1432.72859;271952
1435.68165;1452405
1437.67258;474025
1459.69309;914549
1473.67365;449233
1483.71335;190126
1496.75218;554618
1557.66737;260693
1560.8157;2068880
1561.79867;1943900
1562.78261;1366356
1563.8334;406189
1604.81482;403940
1615.82114;1246162
1637.72453;485371
1648.77857;270852
1648.82924;479694
1658.81661;353039
1671.80805;189128
1690.77816;309642
1694.74312;248588
1699.88841;171762
1706.77354;777131
1716.91611;542476
1726.8655;787795
1735.79802;213057
1743.72405;212278
1750.83801;180002
1756.77893;389170
1772.77294;413809
1783.80246;837701
1787.90532;681802
1791.82646;334939
1799.79948;440510
1804.93049;7487669
1816.86454;1594388
1832.85981;1450744
1848.85491;439455
1871.96067;289645
1888.91949;256825
1898.97645;394334
1922.93277;1307150
1931.9677;283844
1933.97257;572271
1958.96995;1712552
1975.99467;16489149
1986.04252;546127
1998.0283;1565566
2011.0363;1445473
2014.95723;450595
2022.9839;173046
2028.06475;11346204
2039.95467;1045423
2044.05715;3645371
2056.97859;10127085
2073.01076;730662
2089.00571;749567
2094.0319;277237
2115.97336;184672
2131.11642;2895644
2198.97326;804889
2214.9685;232867
2216.05927;1926791
2227.03337;584515
2232.05754;443626
2258.16081;1204073
2266.06055;283665
2267.14526;332429
2322.0965;292281
2344.05539;331570
2348.08605;362317
2364.0862;381549
2395.20455;234394
2403.15141;265249
2410.13649;661406
2419.14928;340855
2422.07425;317162
2476.17031;279523
2476.24306;260320
2481.21028;672290
2485.22909;949589
2497.20381;1013747
2513.20296;586778
2578.17273;1568123
2581.22768;1483925
2594.16853;833799
2675.24582;292575
2689.25841;1891321
2705.25196;23781126
2719.2309;1572800
2743.28956;1484514
2749.31008;561854
2759.2845;2266190
2766.33651;2997899
2767.31881;4215687
2785.3543;925613
2792.32555;5349911
2814.32775;432497
2820.23118;485173
2883.42299;5873803
2889.34967;390683
2899.42169;872212
3001.36528;1419036
3017.35858;7732715
3036.40425;894008
3049.46472;307380
3052.40115;1927980
3077.49354;1173378
3081.3955;220717
3084.41007;6101175
3093.49309;11911735
3100.40972;19185804
3108.48734;322771
3116.40684;4612898
3167.47909;532598
3183.47384;1097084
3211.52357;219850
3227.51789;902011
3382.70411;671249
3574.65637;363968
3651.55475;3153816
3722.59176;5102631
4096.94167;2148720
4112.93713;3659116
4128.93022;703091
4152.08707;808259
4201.07046;226814
4286.05836;1057326
4302.04615;2297261
4318.04152;861757
4348.10923;1967244
4364.10144;3037649
4593.15502;257485
