m/z;I
730.38526;229830
784.44325;1488011
837.42236;504529
853.41717;477837
869.41213;1228079
918.44777;371666
1029.48727;455940
1053.54437;279487
1078.54083;400417
1079.57268;779742
1081.58746;505640
1088.53891;1198304
1095.56686;15252925
1099.55108;1163439
1105.57669;8556971
1106.56065;21393236
1115.54539;2510047
1116.49315;1464526
1128.54218;338467
1137.5668;1240582
1153.5616;793912
1159.54719;215294
1162.62314;418632
1176.63878;382562
1177.5689;961660
1178.5532;3515789
1181.62932;2474780
1182.61303;851345
1192.63417;1907291
1194.54769;358962
1197.62425;2427220
1201.58688;1309075
1202.5709;2202947
1204.49163;319712
1224.63496;558039
1241.66184;15951020
1250.57792;306904
1258.59269;247168
1261.62999;365736
1267.67737;10843878
1288.61951;1725686
1311.63153;11587844
1323.66694;438883
1325.61081;384635
1328.65052;3143248
1333.6413;8864984
1335.63104;220783
1344.6458;1154128
1373.67946;3877016
1389.65364;325107
1415.66915;322041
1427.73065;19784392
1435.68415;36646080
1443.72557;404163
1449.71244;211990
1459.69579;33904368
1464.66333;1769429
1473.67515;8754477
1481.67614;396139
1492.70592;1254208
1509.77857;231478
1532.78509;957885
1550.75913;10094441
1561.8008;2574576
1562.7847;9043114
1562.83211;8429868
1586.7587;40167780
1590.81492;3432646
1591.78505;388979
1600.81141;716890
1608.73974;475821
1616.80676;6874437
1628.72885;1362117
1644.72327;1761083
1648.83212;2370202
1655.8027;15332024
1671.81209;320528
1678.76963;436470
1678.86601;324391
1686.72259;315122
1687.8385;749074
1691.76457;1094302
1701.83283;829436
1702.7191;886339
1703.83447;1423345
1716.91768;738350
1719.84564;2639161
1723.84429;594145
1727.87442;293774
1733.88463;401734
1748.86001;282048
1759.72212;2963853
1760.70646;5964329
1762.91243;520322
1765.86414;321503
1767.81815;313203
1769.8976;421599
1770.79395;2825057
1772.86827;930861
1784.77674;201188
1784.85938;539042
1787.90606;332298
1791.78159;349515
1799.80218;9413401
1804.934;15064088
1806.82906;611878
1808.80779;484650
1813.87514;12197828
1817.77642;376107
1819.89731;516223
1821.77579;357165
1824.80479;1072407
1829.90741;2297022
1831.94506;1208335
1832.86355;4259149
1835.85619;762650
1845.90178;3384573
1848.85955;7474655
1860.93638;945458
1861.95596;1012088
1863.87567;7020266
1875.89777;637607
1892.92524;21261892
1901.86484;891317
1901.90221;1194980
1907.88151;1757886
1914.90844;312545
1917.95858;282578
1919.87777;592580
1920.91065;2018841
1931.9714;455168
1933.97622;2163421
1935.87187;279196
1945.98906;325831
1956.92115;777059
1958.92556;1263574
1958.97341;2816868
1962.93125;2326905
1975.99782;91407056
1991.99555;1245668
1994.91444;631813
2004.98886;2353855
2005.97254;3019995
2010.95593;1657287
2013.94096;608821
2014.07485;493915
2015.94591;5683746
2019.97784;3192812
2029.98662;2413481
2040.94267;2775900
2043.87623;641086
2049.92906;651231
2051.93422;1198333
2056.09625;14523960
2057.96684;118262904
2061.90403;404545
2072.09485;8103298
2074.98554;9282924
2079.95165;1302548
2083.93476;729814
2088.99175;1029646
2090.97812;26087248
2102.97746;1044601
2104.98499;4092484
2106.97338;9221985
2111.88887;510525
2115.12553;641286
2121.00665;3314912
2124.91715;874557
2131.11984;27169572
2134.97255;875818
2135.04186;941484
2147.05076;1595044
2147.11219;591560
2149.9304;1027326
2151.03478;4200473
2152.94252;2157949
2156.94109;1016070
2160.00002;1904446
2164.959;1590017
2172.03922;272529
2174.04332;1144493
2185.05921;268250
2196.07267;912261
2200.06605;1376545
2208.0348;707643
2216.06202;86660400
2216.94129;27476320
2221.9805;843130
2227.99103;834745
2232.05959;36417860
2232.93828;3437968
2238.04674;1085954
2256.05718;1708376
2257.01598;490783
2265.05574;1207650
2267.14449;654981
2273.08453;305866
2275.02785;1739670
2282.12198;491403
2291.20633;338937
2292.13396;1070668
2295.09723;593775
2305.00359;1663549
2308.12658;13735468
2312.09465;671803
2318.02172;1921073
2324.11837;7072517
2326.991;308758
2341.15744;472925
2348.16311;484129
2353.12353;1036703
2359.08727;336570
2364.08939;641634
2369.12021;2893383
2385.11266;1020981
2390.18519;1540593
2394.10986;1589590
2421.08287;787062
2426.06478;3010718
2436.18351;471056
2448.19756;1654253
2454.05594;241059
2460.11837;663532
2478.11954;1347098
2481.21562;1927862
2485.23498;4050820
2497.2099;10886888
2501.23127;3390758
2505.09563;332861
2511.07503;3208434
2513.20727;17597766
2524.19335;973654
2527.07406;1297303
2533.20257;919230
2543.12264;697983
2549.19836;6898253
2566.21168;7389814
2583.20929;17834742
2589.25987;1384749
2593.23209;693578
2599.20288;386022
2608.27969;2650693
2610.22274;10324562
2626.22106;3587816
2631.16546;598455
2704.22398;50158252
2710.26082;620404
2720.22138;32333358
2725.296;1558683
2736.22087;1750151
2742.2074;492429
2750.29728;1678090
2752.33638;913489
2758.26512;789180
2760.27592;3893897
2767.32511;49737128
2776.27069;7374671
2783.32067;1195249
2789.30585;677214
2824.3414;472357
2829.23331;319828
2883.42898;21045544
2899.42679;8705350
2905.41498;331622
2915.4217;325697
2946.33959;1347124
2968.38632;1438257
2991.24637;1406460
3004.32058;483952
3018.33349;1087089
3020.31306;3229887
3102.38536;1604203
3106.48203;329739
3118.38215;4863799
3123.48472;271704
3170.43652;4539177
3180.36979;418899
3184.45112;4058989
3186.42993;12717746
3202.42196;1283016
3212.5155;1122559
3228.50827;4975103
3244.35677;3649794
3244.50026;1263181
3260.35031;1250392
3415.59585;816368
3478.62835;335961
3491.61978;1050176
3502.59128;960329
3518.58463;1551182
3534.57825;604368
3577.6409;264637
