m/z;I
837.42233;396035
852.43378;350723
853.41751;397916
868.42822;452874
868.46479;1032134
869.41218;814426
887.4227;360211
892.50063;380784
898.51208;613020
908.496;241790
945.43986;557874
946.42347;370757
950.47025;207804
992.51706;263851
1010.5028;286746
1011.47528;178055
1018.45958;145345
1048.59086;876919
1080.5084;185619
1087.56608;331567
1088.54986;285937
1095.52616;185189
1095.5663;638000
1105.57627;7441968
1106.56028;4775746
1108.50339;228878
1116.49267;1903706
1133.57186;169305
1139.51706;149663
1153.56147;192118
1167.57669;168494
1177.56865;809529
1178.55279;1160912
1180.64466;757276
1181.62886;1222408
1182.61287;1870577
1183.57153;217754
1186.4614;184714
1187.58122;163946
1196.63981;978616
1197.62402;1724261
1201.58627;1078022
1202.57053;1160840
1207.60687;166461
1223.60318;202836
1227.56193;383806
1231.64458;147233
1241.66146;916800
1244.60348;120392
1250.57741;321467
1254.53614;366427
1257.55419;206555
1261.63011;3028299
1267.67697;2337113
1273.70284;223818
1280.6255;408333
1288.61881;243355
1295.64264;362073
1296.58332;211821
1311.63108;4011300
1321.61538;439996
1324.66934;389152
1325.60973;279667
1328.65038;728086
1328.69729;276272
1335.63154;669934
1339.6332;193328
1340.66452;236444
1343.67266;466628
1347.69236;114862
1352.66402;290736
1374.75177;261708
1396.65426;196154
1403.73023;149638
1409.71984;560823
1417.6733;308820
1417.73174;268935
1427.72999;29055734
1435.68416;20668462
1443.72515;895278
1447.75698;469869
1451.67852;184471
1459.6953;12851454
1464.66305;1915705
1473.6747;9667613
1504.77799;326114
1514.77276;120925
1526.67307;140998
1532.78478;5008324
1542.80444;481723
1550.75858;6742780
1560.81575;15656742
1561.78222;14423082
1561.79994;24976628
1568.74736;237039
1572.73965;145020
1577.79488;278070
1586.75849;12575675
1590.8146;355449
1600.81069;376659
1608.73965;319302
1615.82073;4312836
1628.72809;314960
1648.83145;7743538
1655.80183;1519785
1671.8095;160214
1680.74894;421121
1683.81123;658476
1688.88395;179255
1691.76549;2112572
1695.72495;392813
1698.81955;189252
1700.9008;161622
1706.77351;8375541
1707.75944;7010969
1713.82127;205680
1716.91711;589069
1717.83375;322302
1726.869;263400
1733.88406;203587
1735.80337;899185
1741.83949;244372
1750.83911;202341
1757.83553;336585
1759.71927;3151926
1768.86519;1256000
1771.93725;1103472
1784.85838;1857037
1799.80172;7666430
1804.93287;3531358
1808.8103;275694
1813.87297;1310923
1819.8974;318728
1824.80789;717282
1832.86276;15358488
1845.90101;256342
1848.85845;18086878
1854.84678;221758
1860.93433;157702
1863.87253;2508214
1866.83149;421385
1870.83777;184944
1885.85891;191807
1892.9239;2137639
1901.86482;412179
1901.90181;220957
1907.87905;228261
1916.96353;215353
1920.90771;212122
1931.97018;244026
1933.97478;954500
1945.98661;243977
1948.90712;195674
1957.91813;330561
1958.97186;2023269
1975.99666;37736096
1978.88908;460925
1986.85521;357820
1991.99464;683587
1997.9781;466383
2004.97421;1026465
2009.95854;1670069
2011.97529;633400
2014.07265;326315
2015.94405;1121331
2019.97618;2529698
2029.9844;2937145
2039.07133;592505
2040.93995;1921763
2043.87419;1374047
2046.96755;290208
2050.93019;705988
2056.09506;11128020
2057.96545;33001278
2072.09323;7231769
2073.99976;10584381
2089.99264;22867954
2105.9874;7413298
2107.97165;2172484
2118.09823;374389
2121.00382;910204
2131.11816;12215945
2134.97037;3327424
2135.03992;825915
2146.94069;770383
2147.11151;442023
2149.98472;1622166
2150.96608;1955749
2151.0327;5782207
2151.9427;1068840
2154.90505;751689
2164.95627;700859
2169.06035;663416
2185.05735;676379
2189.03202;256433
2199.0589;561667
2208.03169;695677
2214.0488;1284830
2214.95734;13960012
2216.06119;36030952
2216.93584;6298476
2222.97963;353183
2227.01015;2551441
2227.98889;3333252
2232.05822;21637984
2237.03997;740496
2239.9767;368801
2253.03374;455879
2256.05402;2715920
2265.05434;1897704
2269.96702;588363
2272.05132;1772959
2280.13537;682071
2282.11819;1436026
2283.07109;454280
2288.1196;1955586
2293.13206;2198570
2294.11063;3661471
2295.09022;1671023
2301.04563;990566
2302.02299;748873
2307.14467;6687066
2308.1212;5662631
2317.03684;3514930
2318.01446;2196109
2323.13672;1939866
2324.11127;1374452
2326.98676;522578
2329.12435;544401
2339.06987;540986
2342.15963;367340
2345.09643;414452
2352.11381;303607
2354.06526;408008
2358.10379;1413530
2359.07997;943358
2368.1398;4777305
2369.11479;9904257
2378.09197;811598
2385.11508;930548
2386.09224;1036659
2409.03693;258334
2413.1365;699654
2415.12083;2074218
2442.14186;1140738
2444.09049;446588
2446.21134;752087
2476.10249;519130
2481.21601;1386302
2485.2307;3938164
2497.20773;5471488
2501.22632;1781722
2503.12643;387326
2508.17825;388698
2513.20497;6331544
2531.16537;540669
2548.22075;1596232
2549.19168;2394344
2565.1968;1445144
2568.09464;172413
2581.22611;22174950
2581.25158;4745123
2583.19993;18159356
2589.26096;757590
2599.19802;648634
2605.10184;203655
2605.18217;315746
2610.21707;735811
2687.22687;543179
2690.2486;1245979
2705.23018;37647284
2720.2169;12014612
2725.29612;659265
2728.21923;672266
2736.21238;558410
2750.28717;1163704
2760.27342;1354983
2767.32126;23712938
2776.26769;3289349
2783.31724;730775
2793.31158;4424293
2835.20837;239015
2867.37582;288295
2883.42676;9787259
2899.42518;11074800
2915.42589;381951
2938.39303;424864
2943.44542;233094
2968.39172;172340
2988.28783;762362
3003.33544;1510508
