m/z;I
728.33294;210631
823.47905;161321
836.43835;478561
837.42235;241063
841.45351;197127
843.39622;362224
868.46434;413662
892.46398;176761
898.40262;144463
898.47499;250448
899.49506;169944
1048.5909;394167
1055.47713;174084
1088.53784;165238
1096.55028;201345
1105.57581;3476832
1106.55992;2226087
1121.61864;162577
1125.52961;172504
1131.53982;215188
1132.48779;377181
1139.54445;158059
1146.56504;135213
1162.62266;346744
1163.59288;503739
1167.5401;136132
1167.57621;483073
1177.56806;453731
1178.55207;800457
1183.57085;191208
1191.64859;162054
1193.55497;257257
1197.54992;266051
1202.57034;419075
1215.61181;112010
1227.56261;194261
1239.64421;1106095
1241.66135;2173140
1273.70273;181146
1295.64211;274418
1311.63007;1705986
1325.60831;186722
1333.63967;451995
1343.67137;342573
1344.73959;144839
1362.67762;187511
1381.67201;189223
1391.71536;468933
1411.73521;789232
1427.72951;13324781
1443.72402;205412
1448.66707;205718
1449.69884;164278
1459.69461;4608764
1465.69383;5920548
1501.70526;2743802
1511.74591;174402
1518.79354;126143
1530.80498;1955143
1546.82469;320360
1550.75811;1633732
1551.80053;214758
1561.79783;4390449
1562.78382;3992478
1562.83114;1995200
1583.70912;164211
1586.75786;5309859
1589.72056;132701
1600.80997;212391
1604.84132;1546317
1605.8007;248088
1608.74104;255676
1615.82011;1545317
1616.80572;2858400
1628.72891;235326
1650.77247;286085
1655.80162;1237137
1665.76229;197976
1672.75766;183014
1683.81142;537096
1686.90547;991567
1693.75948;223122
1717.83066;328633
1727.80062;161347
1736.82017;529238
1749.85226;253722
1769.89503;1281108
1771.93651;628302
1784.89405;2814488
1787.93189;522709
1799.80059;2486498
1800.88983;9270553
1806.8743;5353939
1822.87108;137228
1832.92607;180062
1841.9046;540220
1863.8732;467068
1875.8977;187960
1892.92288;2954758
1899.99306;311299
1901.86459;210582
1903.96396;665720
1928.95945;1606488
1945.98609;27554662
1956.91607;222488
1961.98103;377093
1978.89023;215100
2013.93846;144151
2014.07216;539351
2015.94271;547130
2019.97479;760520
2030.07025;387224
2039.06968;1153154
2040.93888;1071050
2043.87281;238394
2056.09376;20266394
2057.96407;16772724
2072.09159;14612987
2089.98904;1764313
2102.0379;259109
2105.98458;5697821
2118.09733;386039
2121.98348;1191211
2131.11699;458645
2145.13025;17654270
2146.94242;838434
2149.05175;479803
2154.90381;216992
2161.12696;546088
2165.04846;881004
2172.03493;716491
2188.02886;13128971
2204.02289;1172167
2214.95565;3007781
2216.93344;1375460
2221.976;442644
2256.05246;3627703
2257.01084;665098
2264.13062;481378
2272.04691;1609178
2274.09595;290914
2280.12898;3560242
2296.12526;434283
2302.10825;312361
2304.01477;832012
2304.99084;363627
2307.06206;282435
2333.00569;322754
2369.11715;350411
2395.12521;979789
2410.1425;1445132
2411.11706;2166129
2428.13857;1629665
2442.23194;261352
2443.11507;581544
2453.09661;184215
2455.22353;3271486
2471.2166;1706226
2481.21098;1028978
2497.20585;2794168
2505.08837;996705
2511.06407;450022
2513.20257;2050437
2545.1474;398624
2548.22023;936809
2549.18811;1351663
2552.19417;2337560
2565.19701;524243
2573.26358;369352
2582.22734;6051808
2583.19913;6255691
2589.25656;1088991
2612.27046;641602
2636.23451;598975
2650.25201;2221059
2652.22815;4674153
2660.23581;196185
2668.2216;721100
2690.24373;1202082
2703.24763;7648763
2704.21927;24183256
2712.29619;1549607
2720.21447;9836931
2724.30356;888272
2728.29198;4463174
2736.20975;317826
2741.29962;23259934
2759.27294;795102
2767.31854;764126
2819.34883;1808679
2821.33613;2667529
2839.39389;311280
2864.41867;197990
2867.42752;2491799
2875.27556;895238
2883.42347;18149204
2899.42309;3718346
2925.44043;186379
2960.33991;518697
2976.32385;8331659
2984.49672;409629
2994.39837;425241
3000.49081;1955627
3010.38724;1403721
3018.32725;317423
3026.35493;538612
3038.37518;714251
3053.37408;2903590
3101.38701;5146426
3117.38316;20798448
3134.37481;1369572
3166.46774;1119706
3169.44589;3274997
3184.44369;7639822
3187.42701;1349721
3201.42721;479891
3210.53704;277066
3226.52634;3096649
3242.51668;5930935
3258.51236;628912
3259.36019;295298
3389.57419;1662042
3415.58779;231245
3478.62272;319134
3502.58423;2419459
3518.57861;1929683
3534.57243;361775
3551.62692;471155
3697.66029;338465
3782.66577;220373
3798.67382;915393
4017.01037;478061
4065.91658;362135
4113.93321;209707
4129.91839;214299
4290.99686;370132
4365.0891;240738
