m/z;I
701.33973;201083
898.51127;879491
953.48054;254452
988.03021;791141
1010.50213;543884
1032.54821;388713
1080.5078;233545
1088.59701;353093
1105.57559;6469913
1121.6183;593425
1127.55726;286113
1162.62221;1740458
1163.59239;1705760
1165.52444;825552
1180.64395;756446
1181.52303;246543
1183.57088;1172137
1187.58038;211028
1193.5185;417900
1196.56633;340095
1196.63907;1165507
1205.59287;255366
1207.60716;318305
1215.61196;230088
1226.57686;753947
1227.56074;289711
1237.62855;259758
1241.55944;1302728
1251.64511;276870
1261.62908;572441
1267.67611;1532796
1273.70133;458438
1319.63524;386106
1370.60173;297872
1374.75002;817843
1403.72821;237273
1416.6871;432742
1417.7302;1071430
1427.72883;13405065
1443.72335;259180
1447.75566;684869
1459.69412;4398969
1483.71444;450441
1488.78156;212978
1496.75344;317745
1562.78285;3247091
1562.83026;2573398
1580.76854;1850886
1586.75709;4324798
1589.77885;1108434
1591.74639;218172
1596.76345;321315
1605.79907;304608
1608.74074;505196
1615.82076;2400963
1620.80965;372861
1631.77821;424461
1637.7243;683162
1648.77914;866095
1648.83014;1725848
1658.81875;572525
1665.76158;452139
1699.88894;327226
1706.77337;1534224
1716.9157;2253080
1719.84216;217524
1726.86644;2203841
1735.80037;391904
1743.72563;899077
1782.818;769973
1783.80302;2815672
1787.90418;1146557
1791.82753;448146
1799.79987;1720700
1800.87136;733297
1804.93098;14834877
1816.86586;5139505
1831.94222;780389
1832.86112;6248604
1838.97547;360286
1846.94087;313883
1848.85628;2103069
1871.96125;552289
1888.91982;1017866
1899.01957;349883
1900.8794;357659
1905.90506;413091
1915.01623;215325
1922.93356;5307134
1931.96806;598844
1933.97204;1176532
1958.97008;3578173
1975.99514;43107644
1986.04277;1190420
1991.99147;241059
1998.02861;3357196
2011.03626;2789445
2015.94159;308536
2019.97482;455439
2028.06482;33331644
2039.95509;2109280
2044.05788;17651888
2050.04456;326425
2056.9793;20256858
2057.96463;7394879
2073.01361;1653585
2073.99759;489863
2089.00705;2785653
2105.002;889659
2131.11634;13884849
2146.94248;760437
2198.97268;2031934
2214.96944;988748
2256.05238;1373547
2263.11159;626212
2264.16125;348086
2272.04783;934127
2287.13395;631138
2298.07964;647761
2307.13873;616376
2348.0877;2440305
2364.08516;4300312
2368.23953;225541
2378.23414;354617
2410.13626;3234859
2441.2109;643746
2481.2118;1672850
2485.23036;7536422
2497.20686;4030136
2501.2265;1839905
2508.18988;496225
2513.20361;3801224
2533.19167;746868
2550.21555;6465964
2566.20767;3312196
2582.22077;6461143
2584.2072;1882700
2634.30447;336083
2651.24781;1960833
2675.24706;593129
2689.25858;3533162
2703.24094;12184427
2705.25231;42536640
2719.23335;7718702
2721.21467;1334605
2727.23997;779983
2735.23036;631273
2750.29396;2796137
2759.28419;2456307
2767.3202;37474612
2775.28072;1171284
2792.32795;10269550
2820.23146;804716
2839.39375;455331
2855.39148;444989
2883.42381;15954285
2899.42209;13575087
2937.3815;339655
2942.42763;327414
3002.34576;507050
3009.40292;2238111
3016.49124;430417
3017.36088;16850132
3018.33878;7762042
3033.48676;11600717
3036.4063;856799
3044.40012;397238
3052.40245;2917341
3068.39239;566802
3084.41376;8498426
3100.41167;33043176
3116.41023;12634896
3167.48338;845036
3183.47663;5423525
3184.45281;2673465
3199.47099;678620
3227.52356;1771079
3243.51394;962222
3244.48493;478447
3415.58139;410935
3518.70063;2768351
3534.69142;6814493
3550.68666;2788592
3576.64082;1017007
3651.56056;1546195
3722.59505;1541842
4037.88095;1472657
4069.91786;329095
4085.90822;388203
4096.94579;1724676
4112.94143;4414525
4128.93156;981834
4153.08757;1595232
4348.11357;1946544
4364.10772;5301860
4533.16464;1507741
