m/z,I
836.43787,940548
852.43284,397421
854.41180,353296
898.51123,1155933
1067.51164,176203
1088.53810,275619
1095.56613,1676337
1096.53848,398535
1105.57534,10878117
1116.49215,490082
1121.57008,289823
1125.52905,318336
1127.55733,201538
1136.60634,218221
1146.56522,236080
1153.56029,454196
1162.62217,476730
1163.59213,1174114
1164.60080,303286
1177.56777,1350787
1183.57063,403251
1184.49349,483018
1192.68038,2892841
1193.51858,266773
1193.56219,716788
1196.56626,405577
1201.58516,1283167
1208.67487,6460599
1215.61118,144080
1216.67966,234897
1224.56114,451856
1230.65997,189483
1240.67648,448114
1250.61229,258411
1251.64467,193006
1257.55321,157383
1261.59248,205566
1261.62896,375197
1267.67593,2623790
1273.70166,336863
1281.61933,1443171
1328.64877,487734
1332.65473,1234712
1339.66083,245513
1343.67127,401839
1346.71779,193589
1374.74963,212859
1387.69408,1053433
1416.68765,361426
1417.72947,609394
1427.72797,20550780
1435.68208,11143650
1443.72325,579096
1459.69387,9658531
1483.71469,228585
1537.70288,277350
1545.80296,283916
1561.79850,19552518
1562.78281,7637745
1562.83019,6232046
1580.76842,3165081
1585.77283,4652447
1586.75706,5511989
1591.78269,257328
1599.82528,971976
1604.81540,629716
1615.82076,11666994
1628.72663,628065
1631.81496,544341
1636.77296,500962
1643.73742,365495
1644.72118,404513
1648.82985,2654636
1655.81565,359764
1690.77868,1446332
1698.82125,808291
1700.74882,264120
1701.73219,234985
1706.77383,3973419
1710.86943,159381
1716.91550,1073644
1726.86604,2670709
1762.90894,312954
1775.71481,704950
1787.90472,746813
1791.82660,247187
1798.81581,1886790
1799.79981,1869460
1804.93068,23048060
1814.80905,1478094
1815.79334,1470137
1820.76005,677235
1820.92656,464873
1832.86112,3682736
1848.85621,8065074
1859.94803,443008
1863.87269,1028660
1864.85025,3411140
1880.84562,223890
1888.91902,620693
1899.99328,208724
1900.87788,419345
1905.90513,246885
1922.93336,8718079
1933.97198,635622
1975.99455,71333512
1991.99216,2267156
2014.07144,453027
2014.95836,933196
2019.97442,1638630
2028.99900,3757093
2038.08343,991521
2039.95499,2707450
2056.09231,38306332
2056.97844,73034024
2065.96499,371292
2072.09094,15187528
2073.01357,13397135
2078.07780,608270
2078.96362,1234847
2081.96185,386123
2088.08410,622814
2089.00667,21174988
2094.03164,2332649
2094.99175,316676
2105.00147,5568468
2115.97054,245751
2118.09666,374401
2120.99792,274769
2131.11614,25281638
2146.94292,505654
2147.10891,1199674
2150.96922,533233
2151.03099,1233590
2153.09484,478388
2163.00912,542918
2163.10632,357466
2200.06201,858121
2214.96950,8367522
2216.05876,51033892
2230.96712,10253738
2232.05700,4862820
2238.04318,983185
2261.13029,3160603
2283.11732,421916
2291.14596,5396897
2298.07884,491203
2300.05620,1081641
2304.03026,346470
2307.13921,5627666
2313.12467,649447
2316.04951,3343745
2323.12886,1157670
2329.11781,901561
2348.08778,1621814
2364.08550,2042061
2389.19899,328508
2410.13883,3504483
2424.09189,555728
2430.22376,565186
2471.21697,1411999
2477.14821,1291375
2481.21182,2981493
2487.20953,4021185
2497.20622,10227793
2513.20367,10202860
2529.20132,729435
2539.22032,313796
2548.21087,4160667
2566.20786,3876235
2570.18888,808029
2573.26164,766190
2581.23341,10839239
2589.25702,1530135
2596.15088,345568
2607.29143,1022458
2634.30636,515918
2650.25333,5789779
2675.24648,1479254
2689.25868,4980962
2704.24392,129000040
2711.27399,1394769
2719.23235,30382708
2727.23920,2391310
2735.23224,2007508
2742.21949,829315
2742.25696,1443710
2759.28424,7249694
2763.32262,3583815
2769.35061,2942317
2775.28107,19519108
2780.34124,40408044
2791.27613,8274345
2792.32780,33970132
2797.32369,1071221
2808.32106,1810885
2837.41521,728921
2853.40790,49746164
2861.35259,697540
2866.39545,363859
2869.40581,5674384
2875.39384,967098
2880.38745,1392576
2885.40382,455796
2889.35332,2029949
2930.40220,291031
2932.34568,1217211
2938.38356,874770
2946.33537,2994079
2962.32798,1239795
2972.31380,1325637
2987.32830,3488174
2988.30412,3821479
3001.36509,6994450
3008.42244,1605891
3009.39853,2203429
3017.35743,46645828
3025.37412,584476
3033.48551,15465011
3036.40461,865307
3039.34124,1376119
3045.40172,1034533
3049.48381,712017
3052.40083,4344660
3074.38682,320826
3100.41158,6950622
3114.39909,833656
3116.40945,54171168
3130.39510,699056
3132.40524,32555332
3139.39463,1045082
3148.40033,2585960
3163.39198,511082
3167.48203,8775824
3183.47370,34337340
3199.46817,4718463
3205.45233,635189
3211.52707,1841198
3215.46161,533348
3227.51904,11858258
3243.51010,1205015
3249.49536,374519
3399.60497,1312756
3426.62076,579166
3442.61404,734142
3517.59550,947839
3533.58335,530781
3665.56874,695571
3736.61069,647262
3856.76763,340277
3872.76088,1104130
3888.75630,397605
4096.94580,1407931
4112.94002,2719456
4128.93466,1075367
4286.06321,740595
4302.05220,1889398
4318.04552,874049
4348.11975,1176448
4364.11056,2350044
4380.10364,259862
