m/z,I
807.40038,227973
905.47088,196267
985.44959,1032230
1006.47500,227652
1019.50672,560986
1023.50122,2364417
1029.59436,612796
1030.55378,579903
1036.53285,7176117
1060.57529,260258
1064.61078,957589
1079.51263,274577
1082.60021,1157779
1096.61562,1006204
1104.54764,661228
1107.54411,3234826
1109.52711,1546616
1114.51389,179112
1120.57555,1218830
1139.62177,276076
1163.62153,542951
1165.58597,1103125
1198.70677,513071
1205.51951,805974
1231.64422,6636352
1254.58749,413254
1263.69560,984964
1274.72675,176488
1279.69006,232468
1282.57438,260810
1342.74545,2290692
1343.72913,488606
1345.63595,376132
1357.72026,5406844
1360.73332,5729166
1362.70171,216212
1375.67289,238855
1390.68252,650566
1392.74873,288529
1405.73373,6213225
1410.67030,623086
1417.74437,760166
1434.77219,10495232
1435.74493,1729117
1441.67156,834936
1454.66985,455858
1454.69570,294205
1456.79240,6134662
1462.79271,2284380
1474.64848,160592
1488.78313,10434981
1504.77777,768801
1509.72019,18928262
1523.76534,343367
1535.83107,2732845
1562.84530,379465
1584.70136,340688
1587.80746,163224
1588.69016,308490
1625.85115,227212
1638.86203,10255680
1656.82195,425899
1670.84489,241093
1681.86774,402928
1688.85387,41570632
1704.85044,341075
1708.72257,595833
1723.77012,10876226
1725.75034,28501582
1789.79493,451425
1797.82241,1726436
1813.81497,914050
1822.93695,707269
1835.96104,207060
1839.96073,255987
1856.98954,2060926
1890.97378,15437281
1891.95858,3407044
1912.95571,241719
1916.00858,218846
1964.91138,19263626
1973.90431,446424
1979.03672,1562432
1996.06574,1423482
2005.05032,918382
2013.08827,7237916
2014.07367,2205281
2030.05032,8412165
2031.03470,2658317
2036.97922,983967
2041.09509,514981
2047.07293,62447136
2047.89689,3732856
2048.05857,15722132
2058.92475,373448
2063.06962,561133
2069.05651,445924
2085.99019,504055
2101.98415,1035734
2103.09806,603813
2106.04910,322951
2151.10004,2717845
2154.01363,503781
2163.08592,1648909
2167.10019,5625798
2168.94272,388471
2183.12948,2776909
2185.96894,5760778
2199.98241,628436
2209.97276,1268704
2226.04836,730803
2231.19826,1495459
2254.15272,560378
2268.04005,1105480
2270.14940,1005249
2279.19926,6108781
2280.11113,741133
2286.17407,2672048
2295.19664,9272907
2305.10942,803915
2309.06917,4923047
2321.09940,1240028
2348.10197,612301
2355.08701,647055
2370.29561,692636
2375.05660,2301391
2387.23422,3196241
2404.27243,3411113
2412.26985,390226
2419.23970,939914
2432.25134,1885893
2450.24795,2309892
2459.15652,2513216
2465.16989,1166824
2475.14843,992974
2487.20663,1609426
2516.05160,282094
2519.29800,1401342
2528.05399,525114
2528.21704,1573561
2535.29584,1116827
2540.11279,728202
2545.21450,603526
2546.06426,23854362
2584.16884,508709
2588.36432,724533
2649.17574,1119357
2671.23806,455540
2687.40033,250927
2735.21923,757265
2842.42727,946381
2856.23234,310612
2863.22583,1779323
2930.41077,480336
2935.35731,2039842
2944.34541,287483
3086.42464,552907
3102.42070,1317131
3118.42155,1226474
3122.50174,592483
3135.44641,422161
3138.49953,1342509
3150.48683,609318
3154.49335,1171774
3215.40013,303520
3229.54765,903220
3240.37534,319703
3245.54031,1867875
3261.52924,654259
3293.64652,434284
3422.55841,609601
3453.62007,321313
3469.64502,4263090
3483.90312,1558237
3526.79533,915349
4106.94637,229446
4121.93523,386995
4170.93673,980974
4186.93729,1066357
4202.93497,350812
4366.19058,417843
4388.16765,440755
