m/z;I
728.33347;155661
784.44311;227015
785.42735;221257
836.43869;1327953
841.45398;318480
852.43382;366550
853.41711;462607
855.3963;918392
868.46469;960790
869.44851;205526
886.43885;394172
899.49556;883593
908.49616;231590
946.42365;268689
1011.47539;363828
1018.46019;151940
1048.59103;172965
1088.53864;807325
1095.56681;1702293
1105.57658;13593223
1106.56056;6898021
1108.0213;248613
1115.54538;211149
1116.49291;1849996
1127.55805;189540
1137.566;218149
1139.51642;292788
1154.56452;269585
1162.62343;320585
1176.6373;184336
1178.55302;3552057
1182.61305;1750173
1186.4626;223262
1187.58199;181678
1192.63375;810689
1193.66566;1470979
1194.54826;252972
1201.58661;2593136
1202.57081;2675135
1208.67639;3004226
1209.66035;4826428
1215.61276;154833
1224.63563;186989
1241.66196;4648558
1250.57789;180065
1254.5366;351606
1261.63002;2010891
1263.61035;289499
1267.67724;8093247
1273.70439;146395
1281.62097;13941162
1288.61946;1447635
1295.64315;212822
1296.58354;167615
1301.62539;121715
1323.66601;216602
1328.65067;2350607
1333.64032;2985682
1335.63163;340174
1344.64582;829628
1374.75062;282114
1387.69588;1734588
1409.71988;145159
1420.67529;131024
1427.73068;24977644
1435.68483;31963224
1441.68492;187816
1443.72495;1095103
1459.69593;18699498
1473.6751;13492781
1481.67656;207924
1492.69448;10054300
1497.60548;193456
1504.77916;190868
1514.67565;254674
1532.7852;6551850
1538.72125;236752
1542.805;202471
1548.70352;254279
1554.61538;127803
1562.78484;18997036
1563.83581;5388875
1568.74696;410900
1580.7703;11600329
1586.75884;20633598
1590.81519;3704538
1600.81178;1237540
1602.75339;343522
1608.73962;306990
1616.80701;21165886
1628.73033;719741
1632.8023;545466
1644.72431;811791
1648.83229;7883074
1655.80305;3584787
1670.78101;653714
1683.81165;137211
1686.72429;356270
1688.88431;232665
1690.78141;2968281
1691.76635;1581959
1706.77458;10443325
1716.91857;449433
1726.86964;369671
1733.88507;321921
1735.80272;1027049
1744.77852;297764
1751.79955;257715
1759.72017;6397502
1763.86076;483911
1768.86433;1343165
1776.89561;353509
1784.85942;1821621
1799.8025;15878566
1804.93386;3569952
1808.80703;503977
1813.87359;7722647
1815.7967;1079832
1817.77573;365696
1817.84012;335282
1819.89447;243562
1824.80571;1905503
1829.90665;2023973
1832.86331;20831228
1833.75648;206505
1845.90093;1532345
1848.85965;25199396
1854.8476;346888
1863.87386;12636282
1866.83122;475685
1880.91379;199042
1885.85822;616142
1894.78255;278667
1901.83107;237930
1901.86616;458561
1907.88107;1795856
1913.89284;229677
1922.9363;12255513
1929.86581;268072
1931.97129;247927
1933.97501;1149339
1958.92332;442731
1958.97235;1598910
1962.9307;527798
1975.99732;45409972
1978.89007;483389
1985.85442;421046
1991.99497;1059296
1994.91562;537211
1997.97929;596577
2014.07467;282408
2015.94228;1341556
2019.97291;4529497
2029.98625;1738610
2037.92247;1062632
2043.87352;529360
2056.09638;9584583
2057.96669;28211820
2067.97163;1074408
2073.99966;17611432
2089.99405;29846382
2090.97726;19803442
2105.98635;11427447
2118.10057;184858
2119.88942;821690
2121.00551;1352932
2124.92315;890679
2131.11972;20279124
2134.97208;4415309
2135.04214;1180139
2147.11126;848242
2151.03413;15279979
2151.94539;2450454
2156.93672;885980
2164.97482;3419614
2169.06288;1317133
2173.04308;615376
2185.05741;1229235
2200.06644;1151203
2214.04976;1189032
2215.95873;17205856
2216.06192;64776108
2222.98441;404483
2227.01176;1446361
2231.95614;2242686
2232.05978;14867642
2232.93412;1630706
2238.04446;1000022
2256.01442;294822
2256.05666;578008
2262.11755;1158592
2264.10141;378077
2265.05503;611851
2270.03834;357502
2275.02354;698306
2277.98321;602703
2282.11964;548718
2291.15355;1002423
2292.13086;1273242
2307.14693;9295373
2308.12289;10983995
2317.0364;3353944
2318.01666;2429105
2323.1383;2791914
2324.11405;2948040
2330.10191;438866
2358.10418;432840
2369.11964;247546
2370.04348;300639
2377.11986;429191
2395.13318;352774
2409.14503;2179461
2411.1209;3501803
2425.08625;1048506
2426.06005;1440632
2430.24142;630791
2446.21526;2415183
2448.1899;1403915
2460.1141;278810
2471.22091;806958
2476.10492;461681
2481.21572;1345894
2487.21151;2254613
2497.20909;6476971
2505.09617;320571
2509.09294;1132459
2511.06796;1482972
2513.20707;9207434
2526.09606;643345
2527.06536;461897
2533.20175;973675
2542.14091;384112
2543.11369;395031
2547.21436;3426091
2549.1941;8341590
2565.18964;2405425
2571.17288;533836
2573.26809;1076273
2582.22961;20873994
2583.20244;23103342
2589.26036;2408083
2597.22437;651454
2599.19981;805136
2611.11288;317332
2621.16329;257147
2645.12987;279531
2652.23361;1693770
2668.22487;674019
2690.24915;1117424
2703.22425;10730708
2705.22966;28791090
2712.26483;340267
2720.21936;12177464
2727.2142;546823
2736.21694;686002
2739.31551;663229
2776.26921;2877437
2781.34014;20838256
2793.31767;3039940
2797.33681;387054
2803.3186;381607
2813.32694;257845
2843.25114;510613
2853.41399;3580038
2869.41209;2455630
2881.37304;506627
2975.25429;326945
2989.26662;869995
2992.24858;1357127
3003.337;1867972
3018.33303;8247390
3026.3635;296236
3033.48298;2442625
3038.39018;294517
3053.38245;1133527
3101.39459;3201523
3117.39176;10089243
3134.3858;477315
3140.47168;372170
3156.45967;485986
3169.4453;1226867
3185.43997;5023730
3202.42804;710576
3212.51932;484937
3228.50882;6070585
3243.3681;993317
3244.49744;826491
3259.35838;331340
3260.49581;202751
3401.58705;398152
4113.93006;347522
