m/z;I
811.40678;166941
836.4385;751676
841.45409;321794
852.43341;249987
854.41254;283349
855.39641;529076
868.46471;833975
892.46455;191103
898.47526;421846
898.51177;185237
950.47005;220327
997.46948;145663
1010.50248;213199
1027.48182;204319
1095.56673;1328344
1096.53934;292359
1099.55037;198725
1105.57596;3770573
1106.56018;1987771
1115.54463;346934
1116.49249;463400
1121.61867;289271
1136.60683;134934
1139.51528;168546
1139.54552;207878
1146.56613;193213
1153.56026;321961
1162.62311;420017
1163.59346;519656
1167.57645;411989
1177.56913;293431
1178.55212;376770
1183.57114;470466
1193.519;194753
1193.55586;380546
1193.66477;210483
1197.55102;219064
1208.67588;1287527
1209.66023;1210696
1215.61227;138581
1216.68031;183089
1223.60294;157033
1224.63407;161542
1227.56145;299305
1241.66145;2052796
1257.5541;151353
1261.62938;450174
1264.62926;200829
1267.6767;1214014
1273.70303;167903
1281.62019;1839175
1295.64215;254226
1323.66604;278391
1328.65067;125911
1328.69727;334426
1335.63101;379663
1339.662;321431
1343.67248;600293
1355.61928;190326
1374.75136;113890
1379.62069;402475
1392.65273;153570
1392.68818;183110
1416.68823;502723
1417.73153;503532
1427.72974;10839150
1432.68316;321802
1435.68378;4452957
1438.65676;158112
1443.72394;316209
1447.75665;160507
1448.67831;189169
1459.69485;3736717
1473.67441;1707839
1492.66834;156377
1500.81968;117672
1515.73301;163610
1532.78434;851066
1537.70544;263966
1546.7876;223623
1551.80151;714907
1561.79833;3182611
1562.78397;5433203
1562.83165;1981403
1573.72633;140550
1580.76929;1599937
1586.75898;4855670
1589.72118;245267
1589.77896;588022
1590.81437;120102
1600.81013;292308
1606.78549;147505
1608.74172;437951
1616.80615;3180129
1623.72592;307101
1648.83081;1446673
1655.8089;995906
1665.76117;160667
1670.77814;241799
1680.74998;221403
1683.81162;360863
1688.8842;278512
1693.76006;206057
1706.77445;769784
1716.9165;618648
1718.83915;667209
1752.86764;236137
1769.89604;714574
1784.85785;589817
1787.90593;310784
1799.80092;1200427
1804.93216;5340849
1816.86865;1419550
1832.86238;5987282
1847.90096;178671
1848.85741;3713805
1863.87342;224191
1922.93424;2544684
1931.96871;223965
1933.97388;774785
1945.98657;631136
1956.9167;315155
1958.97049;1655916
1975.9963;23725628
1978.88839;276316
1991.99337;365105
1997.99541;727508
2014.07332;564937
2015.94159;296208
2019.97475;760912
2020.94374;250422
2029.98361;251298
2030.06996;453852
2039.06989;1367179
2040.93913;605076
2056.09432;18819738
2057.96434;8400216
2072.09193;16436613
2073.99762;2980169
2088.08546;396679
2089.99205;2740346
2094.07179;151985
2105.98777;780538
2121.00244;358495
2131.11714;12383456
2146.94121;608638
2147.05048;272461
2147.11064;242293
2151.03174;652460
2153.09688;316344
2154.90439;327944
2164.95471;171755
2196.06499;397898
2200.06304;788287
2214.95621;1293438
2216.06039;12238836
2221.97716;220213
2227.00415;763723
2227.98508;541300
2234.08398;744326
2238.04889;386110
2256.05239;1659870
2257.00807;548067
2265.05423;633464
2272.0471;436298
2282.11762;401209
2291.07148;279507
2299.08785;347360
2304.01307;526675
2307.13919;1061754
2322.07405;283532
2333.0056;333346
2347.08455;203984
2355.19632;273496
2357.09733;268553
2369.12078;252988
2378.09344;169560
2384.11517;367466
2390.18505;215805
2395.13029;347202
2398.24829;223152
2410.1416;1350503
2411.1178;974030
2443.11502;594142
2460.11218;905913
2471.21642;1666793
2476.10379;688096
2481.21355;1188435
2487.21002;1377758
2497.20674;2211116
2502.20792;852627
2505.09066;816581
2508.17714;328796
2513.20394;1331635
2540.23008;258753
2549.18674;526193
2566.20791;5286153
2573.266;301669
2582.22803;4853142
2583.19938;5624675
2589.25756;434516
2599.19685;185776
2650.25178;1915980
2652.22656;1862539
2668.22162;721995
2688.26229;1263651
2690.24215;2087409
2704.25543;7919896
2705.22559;14763722
2712.26354;464114
2720.21286;4219897
2739.30843;940054
2764.30492;2064526
2776.26532;2023488
2781.3351;32339592
2792.33147;1593418
2794.4005;224438
2796.32476;1019865
2803.31608;322388
2809.39122;209530
2813.32655;591408
2835.24629;371716
2837.42127;397225
2853.41057;10086532
2869.40832;1552611
2881.36799;920688
2915.43663;215707
2961.32859;239587
2986.35748;297383
2994.39737;399013
3002.33679;1906045
3010.38913;1450798
3018.33142;7289161
3026.35263;630646
3034.46988;1099696
3037.38316;1690724
3053.37686;2913860
3070.37848;456562
3085.39298;1416841
3101.38995;8756804
3117.38711;17016218
3134.37919;1102472
3134.54633;291757
3150.37661;228591
3168.45496;1204207
3177.39855;203244
3184.44785;3554840
3201.43869;399004
3212.51795;274209
3228.50496;4023707
3243.36052;259751
3244.49825;323958
3272.47531;301984
3284.47007;422656
3347.58161;592018
3365.5382;301595
3369.53001;438015
3382.53808;477923
3386.52253;269555
3401.57932;2464698
3461.64026;445255
3478.62893;356125
3502.58296;1951927
3518.57889;692458
3668.62159;334338
3837.73233;280503
3869.7293;374190
3884.71405;187670
3899.77914;270466
3995.86081;228894
4004.8454;420478
4021.83749;1267832
4029.01051;258553
4037.88973;786713
4097.94816;441441
4112.93566;897389
4128.93046;361628
4287.04261;228575
4303.03805;363546
