m/z,I
693.9768,157128
836.43826,304881
868.46473,255339
898.51135,111585
988.0317,534093
1050.75151,108142
1060.06279,212130
1088.5392,146477
1095.56657,969520
1105.57621,3190936
1106.56043,1569884
1115.54524,239283
1157.48834,175261
1163.59308,170406
1167.5407,122201
1178.55291,546657
1182.61343,130419
1193.66483,217796
1194.52193,111532
1202.57005,254050
1208.67621,990131
1209.66022,1118633
1218.62834,531089
1224.63377,89898
1241.66171,1736602
1261.62996,123733
1267.6773,1262890
1281.6207,2062833
1303.58199,235592
1328.64936,211543
1328.69824,113462
1333.64048,326457
1335.63227,129278
1379.62182,139998
1417.73114,165472
1427.72995,9770032
1432.68452,202543
1435.68407,4285528
1443.72473,309414
1459.69537,4262910
1473.6747,1755530
1489.65258,274783
1521.61688,160511
1532.78486,502125
1551.80143,778121
1561.79843,3241846
1562.78429,4722989
1562.83219,1506191
1580.76971,1261676
1586.75854,4865217
1616.80651,2285704
1644.72457,155199
1648.83149,880952
1655.81653,879873
1670.77932,141964
1683.81126,98576
1688.88487,112647
1702.71853,102978
1706.77301,761179
1716.918,359662
1719.84474,664941
1722.81713,203702
1727.87284,185870
1759.71355,631885
1769.89625,401111
1787.90579,118934
1799.80136,886980
1804.93256,4712996
1813.87255,415361
1819.89671,130649
1832.86275,2709980
1848.85807,3786429
1858.85064,107766
1866.85155,629249
1884.84125,99578
1894.78193,207912
1910.77763,288418
1922.93524,3437550
1931.97049,205444
1933.97504,603339
1939.95617,135587
1975.99669,28845408
1984.85509,433751
1991.99483,478864
1997.99436,1084134
2014.07419,279910
2015.94355,394768
2019.97606,1072725
2029.91823,611771
2029.98429,323215
2030.07075,287967
2037.91841,3609688
2039.07064,457706
2056.09488,12819719
2057.96527,11345753
2072.09314,10752752
2073.99767,2068065
2089.99268,4316262
2099.99105,178082
2100.83854,184872
2105.98499,1541793
2111.88538,278774
2118.01876,1999360
2119.8866,1897009
2121.00173,576966
2126.01165,236177
2131.118,15093596
2134.01216,1730126
2147.04884,418745
2147.11004,315126
2151.03229,1129741
2164.96013,192617
2181.80644,168767
2185.03502,239400
2193.03744,1054484
2211.10505,148802
2214.04852,203438
2215.95603,2145499
2216.06096,12504857
2221.97864,167723
2232.05911,4052256
2256.05368,693478
2265.0541,579420
2272.05214,510504
2277.98203,845643
2307.14431,3634032
2308.12061,2786316
2323.13617,896375
2324.11059,486736
2336.21427,289237
2369.0668,747218
2370.03957,433788
2390.18397,1425320
2394.1277,268381
2410.1444,740808
2411.12019,1191935
2453.10621,256842
2462.1197,390161
2471.21761,583542
2475.13127,387749
2476.10286,735213
2481.21327,766015
2487.20976,2196890
2497.20768,3378419
2503.21208,315658
2505.09241,401948
2509.08948,671790
2511.06349,354404
2513.20466,3766852
2524.18847,374673
2533.19572,235762
2540.2289,214772
2548.21986,1083930
2549.19153,1792869
2566.21006,5405070
2575.12325,313768
2582.22881,3971670
2583.20017,4245938
2589.25993,734671
2608.27624,464617
2611.1091,425812
2620.12962,252560
2628.13164,1098229
2645.12735,393344
2650.25369,1897431
2652.22961,2401945
2667.24925,988986
2668.22242,1359107
2689.23699,192636
2696.26531,229201
2703.25433,5705752
2704.22126,17596054
2712.26023,541297
2720.21745,9443438
2736.21276,562759
2743.26815,259131
2757.25234,393320
2760.27173,2467208
2766.14877,1149050
2776.26463,5286488
2781.33723,24060766
2783.14655,702056
2792.31218,1258496
2797.33098,849578
2813.32943,267357
2822.18249,407096
2835.25105,874956
2843.24799,3705008
2853.41321,6488156
2859.24194,131731
2869.40988,5546377
2881.36946,805518
2885.41118,165540
2906.17778,293178
2915.34159,532760
2930.3415,715932
2946.33765,922743
2988.28565,299512
2993.25868,202701
2994.39953,258284
3002.33094,263881
3010.38781,1497382
3018.3338,3003833
3026.34539,157282
3053.38112,601508
3072.30956,172158
3081.26296,192314
3101.39304,692577
3117.38864,5979613
3134.37765,330391
3168.45397,727697
3180.30825,516712
3184.44625,3321475
3187.43216,503101
3201.4299,383968
3212.51709,379184
3228.50575,3601388
3243.36863,533884
3244.49899,697507
3248.34598,209655
3290.4246,330370
3346.58123,157812
3401.57761,956332
3491.6287,184011
3502.58765,550855
3518.58249,783588
3534.57288,291612
3836.74,244511
4021.8334,197546
