m/z,I
698.35834,129731
722.35878,290077
852.43302,129933
868.42806,341109
868.46442,527693
869.41169,348129
892.50076,328024
894.44363,172107
898.47509,384828
898.51089,205775
950.46974,208907
1048.59076,169335
1095.56645,255127
1096.5391,397717
1105.57592,1862033
1105.62366,538484
1106.55963,1100639
1116.49245,184939
1121.61874,227362
1136.60671,201105
1151.58082,139488
1153.56091,312735
1162.62246,431283
1163.59366,450977
1167.5392,168269
1181.62823,201558
1183.5712,433118
1200.61374,130795
1227.5615,184522
1241.66072,971539
1267.64714,122435
1267.67656,458488
1273.70253,169349
1295.64274,167076
1301.62419,184566
1323.66617,149836
1335.63085,395529
1339.6627,283438
1343.67264,531930
1346.71826,190766
1417.73044,213385
1420.68195,240662
1427.72954,4916525
1432.68281,307624
1447.75569,201892
1459.69456,1137957
1483.71488,214907
1486.77749,122775
1517.7365,124236
1532.78406,151991
1537.70386,170808
1550.75788,569459
1562.78372,1666743
1586.7588,1558211
1589.72079,177167
1589.77917,290506
1605.80021,169774
1616.80602,286366
1638.78978,143651
1655.80054,445976
1683.81107,121762
1688.88313,189737
1716.91617,474350
1717.83318,620850
1769.89543,662105
1771.93693,273482
1799.79977,398553
1804.93236,758701
1832.86129,899431
1848.85687,744503
1892.92249,944514
1899.99407,316619
1927.0527,210705
1933.97417,308356
1958.97008,733497
1975.99611,6768993
2014.07334,630199
2029.98165,239046
2030.07172,172578
2039.06991,1509473
2040.93918,328923
2056.09429,13874214
2057.96403,2747539
2072.09166,4373349
2073.99541,313690
2089.99187,422937
2123.88921,196763
2131.11718,4091635
2146.94428,357173
2216.05992,1570569
2232.05647,675986
2257.00761,382123
2266.06004,687707
2282.11765,200109
2305.01751,205221
2317.08425,411023
2345.11649,153659
2369.11191,387548
2485.23096,689361
2497.20803,356000
2501.22903,279495
2513.20213,378027
2566.20695,842257
2582.2256,1028446
2610.21328,503367
2699.22916,209229
2703.24538,1929250
2705.22518,2256855
2720.21257,791976
2725.29062,276005
2750.28807,698171
2760.27007,519438
2767.31824,6924771
2776.2651,900785
2868.37671,255798
2883.42382,3149583
2890.33782,238464
2899.42261,1285321
2944.44578,189489
2959.34098,208575
2968.37773,293992
3018.33041,1709683
3033.47978,564312
3037.3856,380051
3053.37581,1628606
3101.38483,1567266
3117.38714,5463580
3133.37304,419566
3184.4491,517896
3228.50431,463353
3415.59435,868281
3502.58559,243442
3518.57563,296948
3576.64769,387613
3837.73241,309360
3995.8606,223413
4019.87174,356979
4033.87052,278316
4037.8883,1483657
4303.03799,662110
4349.1072,246429
4365.09737,827796
