m/z,I
836.43779,623009
868.46409,396712
892.50005,276058
898.51125,669241
908.49535,168953
1026.49699,453022
1048.55368,226219
1054.49184,319006
1075.56465,242939
1095.56557,767501
1096.53868,823575
1105.57535,6680433
1107.51769,190672
1108.50240,325817
1121.57025,182200
1121.61793,352686
1125.52847,309326
1127.55681,267842
1136.60648,389449
1138.56063,313939
1146.56499,388807
1153.56033,648270
1160.60629,296250
1163.59174,1265011
1164.60146,479254
1165.52418,773302
1166.55556,585400
1167.53941,323526
1177.56736,253652
1182.61198,427637
1183.57082,726235
1192.68029,1303927
1193.51876,373054
1193.66406,459768
1207.60701,381737
1208.67510,2901870
1209.65916,1261742
1217.66458,231867
1223.60197,297515
1226.57700,377262
1241.66064,1305318
1257.55297,183207
1261.59228,336165
1261.62900,464353
1267.67614,1262958
1273.70227,394082
1281.61913,904145
1293.58641,203388
1323.66534,334979
1335.62926,598426
1354.63744,190569
1374.74948,315567
1387.69350,622817
1392.68728,435522
1409.71397,478478
1416.68703,632374
1417.73043,1057313
1427.72813,15874206
1435.68269,6077115
1443.72294,288792
1447.75500,230222
1459.69383,4947093
1473.67344,2504693
1483.71351,497450
1496.75290,319596
1512.74818,402671
1515.73112,303276
1537.70272,396629
1561.79844,10733112
1562.78264,6272408
1562.83013,3018509
1572.75134,280967
1580.76836,2085058
1585.77273,2239263
1586.75630,4242851
1589.77798,709566
1599.82520,518538
1604.81484,581662
1605.79904,269955
1608.74104,382462
1615.82073,3647498
1622.74133,285145
1637.72467,328004
1648.82967,1619061
1655.81531,446696
1665.76263,333354
1679.76317,257454
1688.88264,387650
1706.77323,1364060
1716.91551,1693924
1726.86630,1294276
1735.80079,262871
1743.72577,375169
1749.83196,625470
1759.71966,600738
1771.93571,1049295
1783.80248,537552
1787.90436,812120
1787.92996,329068
1799.79974,1540475
1804.93096,10053180
1816.86570,2862169
1831.94225,437013
1832.86073,5909151
1848.85638,3022071
1888.91909,235997
1888.96395,355439
1899.99295,649091
1900.87907,438491
1915.94656,205176
1922.93336,6136026
1933.97299,1211805
1975.99507,53875852
1980.96519,552061
1997.00714,2204173
1997.99187,6082056
2005.96874,166683
2011.95201,413676
2014.07168,1087521
2014.95915,807626
2015.94251,499849
2019.97423,1316835
2030.06851,554004
2039.95496,2540630
2040.93971,1133900
2040.98630,714836
2056.09264,37442744
2056.97897,27843632
2057.96415,12882594
2072.09100,15231830
2073.01361,4502409
2073.99781,1986972
2078.07732,414539
2089.00702,4435041
2105.00083,1009962
2110.01303,575752
2131.11619,21998998
2150.96832,363958
2198.97046,1656567
2200.06302,864063
2214.96941,2824670
2216.05929,17118462
2232.05668,3923258
2238.04304,278678
2244.02842,796457
2261.12828,1450277
2265.05406,751603
2283.11569,373179
2287.13302,457951
2290.08940,525863
2291.14442,358018
2304.02741,488441
2307.13869,1427496
2322.07611,532552
2329.11860,461581
2348.08709,1387951
2364.08504,1256244
2373.10997,638128
2410.13585,2969429
2414.13344,389915
2442.13311,404277
2465.21858,561843
2471.21764,1757203
2478.13488,519711
2481.21162,3950252
2487.20956,2770911
2497.20670,6425671
2501.16167,1068327
2503.21131,625478
2510.08311,624284
2513.20380,5124684
2526.08196,275147
2540.22753,232330
2548.21195,623433
2550.18475,432317
2550.21509,2335064
2566.20756,5468523
2573.26231,246932
2581.22892,9408381
2589.25796,351016
2594.16898,471232
2651.24756,2969769
2677.25192,558116
2689.25947,6590402
2703.23893,22538810
2705.25178,40257852
2706.23454,7404965
2712.27813,659606
2719.23330,8476843
2727.24031,903815
2742.25528,2374366
2743.28859,2014453
2758.24895,1620286
2759.28702,7087598
2763.31682,4148061
2775.28071,5398145
2781.33503,44497100
2792.32764,11466837
2809.39070,494112
2835.24618,1086629
2837.41541,1347522
2853.40908,36303480
2869.40610,6564268
2880.38785,1145907
2972.31617,410506
3001.36811,2528715
3002.34631,1543122
3009.40265,2013752
3010.38217,1287811
3017.36105,11699253
3018.34024,6643991
3025.37699,560306
3033.48723,7999663
3034.46085,1001008
3052.40192,3460901
3068.39454,477970
3084.41495,4216240
3099.40715,854969
3100.41235,19856716
3101.39005,4590018
3116.41038,18953174
3117.38797,5085398
3132.40611,926543
3138.39415,502350
3154.33436,353092
3167.48396,3173988
3183.47640,11110775
3199.47042,1286749
3211.52697,989755
3227.52224,5271774
3228.49496,2165348
3243.51384,835886
3399.61088,1977022
3400.58660,1836236
3401.56253,803946
3502.57972,2024826
3516.59451,942940
3518.56982,942663
3531.47228,281765
3533.58584,324270
3665.57865,816400
3736.61769,757636
4036.89399,887153
4069.91685,305504
4085.91127,378873
4096.94708,829585
4112.94222,1468432
4128.93373,388947
4286.06422,1102401
4302.05030,2344527
4318.04675,873046
4348.11062,886794
4364.10837,1575272
