m/z,I
836.43778,520637
854.41182,370083
868.46411,526245
892.50025,224110
898.51113,1173310
950.46954,218240
1007.57499,181565
1054.49166,201013
1079.57130,247597
1088.53800,290689
1095.56610,1605993
1096.53870,233173
1105.57542,11324581
1116.49193,316604
1121.57030,216389
1127.55716,277826
1138.56051,206302
1153.56050,161303
1162.62202,453557
1163.59161,921158
1167.57589,204067
1177.56778,866648
1182.61202,869556
1183.57139,234508
1192.68043,2274370
1196.56655,228953
1201.58540,1050413
1208.67508,7412612
1223.61368,202339
1249.59299,203847
1261.62930,898595
1262.61300,1547656
1263.59731,1021187
1267.67614,2160063
1273.70197,211702
1281.61938,1025229
1282.72768,216186
1287.63326,236365
1296.63753,293414
1312.74777,918815
1321.61345,158411
1328.64888,441878
1332.65478,1366379
1338.64458,1937389
1343.67122,293511
1350.68083,440024
1353.13077,192665
1353.24759,273994
1392.68790,331977
1403.72796,139465
1409.71946,239492
1417.73037,616777
1419.69821,1647379
1427.72869,25502878
1435.68256,12066845
1449.71135,593805
1459.69381,10902839
1473.67349,4407968
1474.83912,2549724
1481.67423,380379
1492.69219,464001
1496.75332,1174723
1512.74828,1047479
1532.78330,1995342
1550.64095,443224
1561.79843,11553178
1562.78256,5769086
1562.82964,4773747
1568.74621,292111
1572.67908,886652
1573.66306,362028
1580.76834,3686199
1585.77297,5020713
1586.75700,6963176
1599.82594,449288
1604.81519,408216
1615.82094,4789201
1628.72607,598896
1648.77988,1649905
1648.82976,1790084
1658.81789,1137021
1664.77429,380733
1671.80889,207263
1674.81365,891552
1698.82091,320116
1706.77407,3806726
1710.86931,270139
1716.91519,654338
1719.84263,427453
1726.86625,4097467
1735.80009,253913
1743.72648,1224221
1758.73582,1172778
1759.71969,1060010
1783.80316,1796763
1798.81579,1829658
1799.80007,2035417
1804.93093,20756584
1812.88845,784335
1816.86589,3351719
1818.78000,414587
1822.83419,537399
1832.86091,6706773
1834.77439,189803
1848.85619,3631396
1854.84442,204534
1863.87298,1005312
1875.94298,221677
1888.91956,1372578
1899.99400,214171
1900.87838,499009
1905.90605,307665
1922.93374,10102903
1928.02367,178895
1933.97273,701065
1958.97085,2454762
1975.99481,82052864
1991.99197,957221
1997.00887,7483947
2012.95449,484230
2014.07240,549256
2014.95924,1113469
2019.97417,1903541
2028.11522,621467
2028.99894,963267
2039.95535,3345625
2051.97842,430967
2056.09267,43455512
2056.97885,93403376
2065.96795,601757
2072.09172,13024428
2073.01445,11391378
2078.07880,905441
2078.96388,1977888
2089.00746,16261229
2094.03233,3066195
2105.00196,3357490
2110.02871,749696
2110.90020,441549
2110.98864,756571
2131.11663,38230056
2133.98562,487683
2146.94356,488059
2147.10882,610262
2150.96967,860016
2151.03044,1516656
2153.09518,1307109
2163.00692,470885
2198.97267,14905782
2200.06247,223860
2214.97000,11219696
2216.05965,35802820
2220.95825,660325
2228.03584,435742
2230.96830,379678
2232.05744,7113838
2236.95428,466387
2238.04423,1165184
2261.13046,8570598
2261.98913,401101
2274.16037,717856
2283.11566,2157205
2290.08872,323451
2290.15297,1361346
2300.05764,1070594
2307.13949,4582627
2313.12552,481903
2316.04929,3110226
2323.12993,936713
2329.11700,1539822
2338.03014,583036
2345.11403,487091
2348.08722,3570308
2364.08550,3720994
2389.19885,357795
2410.13791,4240556
2424.09415,557086
2471.21761,2170864
2481.21133,4992318
2487.20939,7604362
2497.20622,14021405
2501.16477,971702
2513.20418,9947983
2519.19179,589570
2530.18193,436973
2532.21960,474144
2549.21396,4824414
2566.20860,4188785
2570.18957,1153807
2578.17617,2168438
2581.23785,8245736
2582.22129,1329039
2586.18055,501165
2589.25524,593591
2594.17123,2307456
2603.22010,498188
2607.29169,1242699
2610.16900,925754
2611.23975,335163
2651.25165,3919940
2659.25478,576546
2667.24355,1565915
2683.30800,643954
2689.25910,7524353
2704.24502,116138304
2705.25018,7855606
2719.23342,18105358
2727.23989,2784666
2743.28887,3428970
2753.35521,576797
2759.28906,9399539
2763.32246,2629387
2769.35141,2467351
2775.28270,5858734
2781.33654,30606336
2792.32846,21164536
2803.31417,706259
2808.32375,354612
2814.30779,804411
2820.23349,527099
2837.41491,942394
2853.40892,44970304
2869.40630,9385369
2875.39423,1540228
2880.38858,1187132
2885.40213,343987
2896.37742,231799
2914.34436,792214
2930.34147,1883641
2946.33611,1184402
2987.33012,2230149
2988.30600,3045744
3001.36566,5104833
3008.42344,1178324
3009.40014,2372075
3017.35819,25573854
3033.48606,15782736
3036.40644,625423
3039.34095,1107902
3052.40082,2403143
3055.47063,745458
3068.39603,502850
3084.41463,5249670
3100.41207,32739806
3114.40123,345295
3116.41059,19198960
3132.40709,1001061
3138.39588,777123
3166.55715,221104
3167.48349,6477013
3183.47546,20846798
3199.46994,2371265
3205.45680,700757
3211.52910,1499236
3227.51954,8698408
3243.51103,1870455
3249.49634,340898
3399.60637,1959528
3509.49199,320733
3517.59525,1060142
3531.47440,363063
3533.58575,417760
3665.57326,1586589
3721.61729,290112
3736.61150,2578289
3856.76133,412127
3872.76082,283019
4096.94444,802977
4112.93994,1523357
4127.93343,321068
4286.06261,641064
4302.05118,1349342
4318.04644,514121
4348.11586,814359
4364.10827,1422462
