m/z,I
696.34642,1548385
704.26712,1015616
709.26210,620982
712.37925,3339663
716.37389,419796
727.31949,203204
736.39980,191204
759.34244,627673
794.41606,554201
806.31463,559633
807.40065,478068
824.37311,451966
846.48423,1034358
910.33722,459729
920.39399,254917
924.35270,412195
942.53769,491840
951.47960,420463
968.49581,4724166
973.49617,681922
979.52195,2579148
980.50603,634574
989.53843,425197
1008.49992,309568
1011.45437,3685294
1015.44902,332686
1016.50162,1028907
1020.54815,224536
1026.48082,536160
1026.52311,379690
1027.44881,849009
1029.59482,308748
1030.55426,234838
1036.53343,2251869
1038.48643,6576618
1040.57439,231448
1043.44343,281362
1047.48655,2200469
1050.55932,2498738
1066.60559,27506746
1068.56963,210715
1071.60609,221338
1074.50172,3013795
1079.51324,235466
1080.45362,225145
1082.60047,9056411
1083.45800,472699
1088.57088,960285
1098.68992,295459
1102.49687,278054
1105.47199,194152
1107.54424,1162119
1108.45342,897806
1109.52729,92294480
1110.62781,4688342
1111.61233,1362812
1113.52268,5814846
1118.56079,484069
1122.57995,634666
1125.48015,3792264
1125.52291,9057656
1129.59744,376097
1130.42217,236115
1135.58698,3819379
1136.59616,1216524
1137.47557,808990
1140.63882,608742
1141.51747,3933753
1153.53240,7942889
1157.51245,536221
1157.62881,2485201
1157.66524,508855
1161.61291,2965844
1163.62207,1344715
1167.64972,1887483
1169.52624,4818864
1169.54963,11019554
1170.45356,1599209
1171.53796,809484
1181.66536,5515515
1184.46928,1723508
1187.44450,664947
1187.53784,367118
1193.62846,395207
1194.57652,680557
1196.48055,399965
1197.50106,977287
1198.54629,411446
1201.54020,361459
1201.55314,578306
1204.57626,796223
1212.56625,648968
1215.63442,1011173
1220.62868,346116
1225.49552,358670
1231.64448,6413501
1237.56159,2084408
1237.65537,3821347
1240.59333,1389393
1241.49131,554365
1241.55612,352817
1243.66581,494042
1245.64515,5679646
1254.58786,19348010
1257.48665,668570
1258.58306,2236563
1263.69617,3223419
1265.62982,241619
1270.58301,3434336
1271.50145,598737
1276.47369,731560
1276.62920,487735
1278.68149,241605
1286.57777,1277386
1287.70374,438052
1293.56936,193769
1293.64526,1194439
1298.57057,257053
1300.53995,370735
1304.51178,449751
1308.69327,1971210
1328.71807,800572
1332.66032,490532
1333.49570,465434
1338.66621,532202
1340.53490,697864
1342.74577,918910
1348.49551,408599
1350.64160,264902
1354.71033,2036504
1355.67325,2245027
1366.74665,864192
1371.73636,5176232
1372.70930,587237
1372.72011,1287520
1373.63776,180254
1379.60400,646627
1379.73079,1451563
1380.61727,270567
1388.56020,272397
1390.69838,501666
1390.73065,1531981
1391.79134,225631
1399.76772,4527718
1404.55442,275090
1404.68906,984955
1405.73412,4779969
1407.72496,1016275
1408.59629,311743
1410.55956,342594
1412.74981,745745
1415.66053,12780291
1418.56972,330263
1419.79826,2254426
