m/z,I
902.50640,273323
945.51197,385434
1003.55363,966192
1013.52706,269981
1023.50125,2478161
1026.52232,412313
1029.59469,544414
1030.55367,567367
1036.53274,7421804
1039.48864,335567
1064.61069,890813
1079.51228,248766
1082.60015,1132093
1095.58407,283962
1096.61528,1017195
1107.54404,3195741
1109.52735,1476093
1113.50077,275125
1120.57587,1290092
1125.60654,285457
1132.50251,167321
1139.62185,225116
1157.56219,246581
1165.58610,1177025
1167.64894,803727
1186.65436,249669
1194.57639,304602
1201.61841,273082
1205.51947,838058
1231.64398,6426575
1254.58771,459542
1263.69515,993802
1265.59282,237360
1279.69030,312970
1342.74546,2170196
1343.72873,513525
1357.72078,5057331
1360.73303,6150585
1379.72953,2393909
1383.69135,230347
1390.68198,793282
1405.73359,6338796
1417.74441,732196
1434.77165,10138436
1438.67741,3157823
1454.67042,694319
1454.69557,309655
1456.79236,6123221
1463.88515,201911
1475.78531,196351
1488.78305,10134617
1509.72063,19142866
1512.83991,248579
1515.75131,372486
1522.76261,277248
1524.76776,353629
1535.83088,2521963
1543.67151,262697
1544.76453,667951
1598.82682,382239
1613.83455,296291
1621.83454,258697
1626.73667,1317743
1638.86203,9988581
1639.84545,1929055
1666.85516,262597
1673.84876,997905
1681.86774,502585
1688.85378,45907552
1708.72248,558965
1723.77029,10470771
1725.75034,27770440
1741.89365,305997
1797.82255,1670140
1813.81503,916685
1822.93766,791596
1830.97361,307843
1834.97900,474281
1852.93925,334117
1856.98997,2236994
1873.94681,2066895
1890.97354,17413446
1891.95828,3747416
1957.96093,701854
1964.91110,20265838
1973.90484,430237
1987.02593,327747
2005.05051,751490
2013.08822,7507537
2014.07414,2454196
2030.05030,9012390
2031.03500,2573056
2036.97854,891793
2040.11199,1463008
2047.07279,64440868
2047.89657,3615940
2048.05832,15713200
2058.92259,324523
2063.07002,604562
2101.98299,1021219
2103.09802,619973
2151.09995,2533634
2154.01288,458930
2163.08592,1620970
2167.10066,5257119
2168.94430,353272
2183.12920,2698344
2185.96923,5560414
2189.04945,490565
2199.98264,524656
2209.97089,1334727
2226.05124,515587
2231.15626,352608
2231.19855,1252890
2248.17483,1921663
2254.15301,598590
2270.14695,1065456
2279.19886,5834363
2280.11167,773658
2286.17326,2282746
2295.19670,9132365
2305.10928,856994
2309.07001,4644935
2321.09877,1089674
2322.20170,477131
2331.23019,333007
2348.10072,659465
2355.08915,624110
2370.29447,615999
2375.05736,2172599
2387.23450,3057770
2404.27203,3452916
2419.23475,979631
2432.25020,1749744
2450.24804,2211319
2459.15707,2344832
2461.25888,6748911
2465.16780,1003363
2475.14798,992976
2487.20686,1605126
2511.19094,296519
2516.05013,278469
2519.29805,1590860
2528.05438,443308
2528.21709,1628220
2535.29186,1288144
2540.11497,597805
2544.21246,593516
2546.06497,24106562
2584.16684,461307
2588.35817,860654
2649.17658,1083838
2671.24028,485561
2699.35304,232686
2721.39166,732452
2735.21648,685339
2790.54564,359057
2836.26132,320298
2842.42874,1033634
2863.22560,1708074
2930.41364,449732
2935.35748,2220247
3086.42277,484534
3102.42064,1396970
3118.42242,1380247
3138.49953,1321084
3150.48561,667720
3154.49493,1038734
3229.54778,740206
3241.37522,371983
3245.53947,1819262
3261.52845,782859
3422.55898,752911
3469.64606,4689891
3483.90362,2019004
3526.79858,963685
3782.69453,280448
3914.66722,245105
4122.93839,434506
4170.94071,1029867
4186.93648,1127989
4202.92631,520129
4366.18490,511995
4388.17190,417495
