m/z,I
836.43754,323158
868.42751,193202
898.47450,330006
898.51106,716737
1079.52331,253838
1095.56585,506524
1096.53843,304349
1105.57505,5855343
1127.55713,628863
1136.60648,181569
1138.56002,277057
1150.59660,320354
1153.56006,297448
1163.59190,973524
1166.55555,249610
1167.57566,475844
1177.56734,263396
1180.64373,1462099
1182.61174,570034
1183.57034,335708
1193.55500,256679
1196.63863,1237023
1203.62340,302805
1207.60681,243809
1240.67601,431913
1264.62807,312117
1267.67555,1116266
1301.62409,195578
1311.62850,348612
1409.71737,426076
1427.72813,14093510
1435.68226,4374906
1439.72364,219275
1449.71075,693482
1459.69319,3929140
1473.67278,1408013
1532.78230,1275483
1550.75678,1713539
1561.79792,3481904
1562.78217,1374091
1576.81261,600709
1585.77243,2010678
1586.75635,2351471
1589.77722,236133
1599.82368,893894
1604.81477,480601
1615.82010,4318070
1637.80120,285616
1648.82924,2542971
1655.79940,519735
1669.82922,979750
1683.80954,896339
1698.82041,448496
1706.77286,1060597
1726.86540,1444173
1759.71868,357095
1787.90340,387890
1791.82609,205789
1798.81506,1399702
1804.93022,9795778
1816.86514,2291748
1826.91282,479865
1832.86009,4597072
1848.85556,2399987
1892.92161,3792632
1933.97236,281653
1958.96935,1005206
1975.99443,18511880
1997.97835,887062
2014.07097,539556
2020.02228,2115504
2039.06871,1351518
2056.09215,26296802
2056.97810,19228030
2072.08976,9463803
2073.01235,5239581
2078.07822,1157790
2078.96360,824533
2089.00565,3616435
2094.06974,341279
2110.01308,203530
2110.98715,315756
2115.97138,247368
2131.11506,14049170
2146.94046,343829
2151.02944,348827
2153.09524,934541
2198.97171,658474
2200.06153,741839
2214.96832,2830474
2216.05783,7996715
2230.96494,196387
2232.05508,616948
2238.04097,583486
2269.08401,1104139
2283.06461,707222
2293.12292,813527
2298.07706,866438
2299.17018,646130
2307.13783,871909
2315.10255,586697
2329.11838,890479
2344.15296,616497
2348.08527,1082074
2364.08396,683100
2368.12965,1189197
2389.19671,584283
2407.08900,255509
2449.10649,377867
2461.15584,323883
2466.24403,338942
2469.24008,386634
2497.20600,1745982
2501.22778,772916
2507.21277,241725
2513.20143,803371
2530.17670,257455
2549.21343,482865
2564.21442,1298647
2566.20581,2062395
2581.23278,5419622
2594.16984,1328705
2603.21916,618909
2605.31425,666800
2619.29166,378745
2634.30593,916213
2659.24884,349650
2673.26424,1423605
2676.24885,525834
2689.25773,10860248
2705.25077,43242024
2711.23873,1061760
2719.23167,4583499
2727.23722,3812698
2743.21387,554819
2743.28637,1584223
2749.30456,2134919
2759.28321,5084826
2766.32496,21036448
2775.27918,3284129
2792.32560,13064579
2814.30459,1122961
2820.22799,467052
2839.39363,401181
2867.42543,2332071
2873.35508,562877
2883.42140,31333770
2889.35073,1090133
2899.42030,2613541
2905.40866,2753500
2911.42107,652660
2926.43275,1358225
2946.33465,531132
3001.36412,3434437
3009.37915,428073
3017.35745,16967116
3033.48453,6381157
3036.40270,2224618
3039.33964,1826966
3045.40252,445537
3052.39919,2486566
3055.46775,696754
3069.39426,438147
3074.37973,333159
3084.41094,5035771
3100.40815,18540230
3107.40042,397985
3116.40621,17093334
3122.39394,1767297
3132.40356,1382904
3138.38945,1564596
3154.36264,283059
3167.47944,1825448
3183.47143,4636051
3211.52554,1199035
3227.51759,3313096
3310.56026,683012
3338.71957,756066
3339.55248,456061
3353.70870,349532
3382.70242,791686
3411.64028,1783869
3425.62225,958814
3440.63311,676399
3441.60675,383459
3450.61718,343135
3456.62832,438410
3515.60835,795465
3517.45504,1405234
3530.59137,381882
3575.65689,341692
3624.72379,431401
3651.55513,2386835
3673.53670,456676
3722.59299,2168002
3744.57534,361238
3856.75441,325709
3897.80478,303654
4035.91338,1905219
4096.94181,3972368
4112.93649,3683122
4119.92322,291663
4128.93078,759337
4134.91893,346990
4153.08621,824007
4286.05368,1417008
4302.04462,1801229
4318.03968,631625
4332.12086,246066
4348.11255,1733876
4364.10573,2051343
4386.08514,313441
4479.12104,2025222
