m/z;I
728.33305;232626
785.39094;126100
823.4793;391304
836.43869;206763
837.42255;394596
841.45385;327900
843.39679;418358
868.46473;517643
898.40242;185154
899.49514;263749
918.44799;196272
950.47038;247723
958.51203;206684
1009.47066;121749
1010.50288;195630
1027.48171;293023
1048.59089;1057349
1068.5084;159366
1095.52652;209252
1095.56669;421416
1096.55031;348144
1105.57641;9404933
1106.56054;6767671
1108.50329;193527
1121.57088;149915
1131.54065;749224
1132.48823;331984
1137.56729;304193
1141.5248;672814
1146.56685;127387
1149.60273;237947
1153.56147;206395
1162.6237;916811
1167.57694;221383
1178.55274;442935
1192.63279;106556
1193.55626;363999
1199.60363;672665
1201.5862;249850
1215.61266;216911
1224.56211;186230
1224.63479;247744
1227.56219;179081
1231.6442;125316
1235.61563;298276
1239.64468;1037885
1241.66159;4157211
1254.53701;508757
1267.6485;179555
1273.70345;456819
1278.61936;139290
1280.62618;205841
1288.61868;168543
1295.64265;414395
1296.58307;255847
1311.63114;3255117
1317.65691;195783
1321.61579;456836
1325.61034;674804
1328.65099;415477
1333.64072;608454
1343.67284;851547
1344.74042;375878
1347.63061;185631
1363.73517;820437
1372.72379;227841
1377.71514;593003
1379.62171;528563
1381.6729;264026
1389.65251;256710
1392.65132;156903
1402.74657;149273
1427.73014;23171202
1429.70497;656239
1449.71063;302741
1459.69564;7276354
1465.69446;14750105
1476.74535;111607
1490.79788;199483
1501.70629;5433972
1518.79354;232027
1530.80617;2441100
1537.70573;209162
1545.69566;148646
1546.82617;2245258
1550.75883;3165181
1561.79871;12627055
1562.78445;17857210
1562.83176;4542217
1565.70041;183943
1568.74633;215294
1577.83261;385600
1586.75856;14923846
1590.81323;308332
1596.76329;232272
1600.74121;237995
1604.84203;4642793
1605.80058;546824
1608.74216;446814
1616.80668;5034756
1628.72962;737447
1634.85318;770054
1636.77529;1046189
1644.72432;853290
1650.77358;742793
1655.80301;2187101
1661.82593;986256
1665.72298;227776
1672.75946;685059
1683.81151;872251
1686.90531;433086
1696.70683;176149
1700.90004;335181
1706.77233;751083
1713.82423;184845
1716.89462;338049
1717.83165;814935
1718.77669;230456
1736.82171;1090142
1749.85407;789833
1759.71188;1843537
1769.89672;1236170
1771.93815;4406633
1773.85624;378170
1784.89524;2847782
1786.78539;878923
1787.93202;3868553
1789.84912;500883
1789.88524;541623
1799.80195;6939263
1800.89114;14964288
1806.8757;6156443
1822.87129;345501
1828.9588;272510
1841.90618;1101830
1844.95223;202527
1863.87364;641563
1868.79363;194936
1876.87414;809162
1882.95587;187169
1886.95219;312209
1892.92427;3203693
1897.87079;953133
1899.99462;765436
1901.86549;624815
1903.91663;464700
1903.96498;600454
1915.9926;815136
1928.96085;1369064
1945.98781;17096720
1967.96934;383227
1970.88121;687898
1976.94508;3061847
1978.89278;897878
1986.85589;259717
1986.95488;201475
2007.9046;388750
2013.94122;445635
2014.07368;268673
2015.94472;1479680
2019.97655;2059162
2025.93023;233848
2030.07298;357984
2039.07152;523148
2040.94104;3199456
2043.87502;1199099
2056.09557;7372338
2057.96614;39403404
2066.94831;350799
2070.99021;359764
2072.09389;10769522
2073.96318;457930
2079.94691;446102
2088.08645;158049
2089.99362;3826343
2096.96581;285036
2105.98826;11562699
2111.88538;296676
2114.03015;358166
2119.88949;929650
2121.98285;2532595
2145.13182;27319970
2149.03242;1562211
2159.99722;756970
2161.12896;723309
2164.95754;1657229
2165.05186;1712999
2167.11756;466970
2172.03728;1172028
2186.02115;533468
2188.0307;28501124
2204.02546;3459666
2206.0092;1190201
2214.9579;5115479
2215.98337;1833136
2216.93604;2443782
2221.9796;1213322
2223.07848;432083
2227.98916;1601313
2230.09161;455460
2236.06903;1025052
2242.02183;666909
2256.0546;2444702
2257.01252;708029
2264.13337;580415
2269.96832;307120
2273.04215;1516923
2275.02286;1443376
2280.13069;3703782
2290.07201;598729
2293.09186;2803525
2299.10314;645372
2301.10872;1116414
2304.99727;1088978
2307.06934;359029
2312.09464;1232914
2326.98834;385297
2328.08801;854028
2344.14548;584384
2350.11204;624434
2351.01769;259792
2355.19842;753114
2358.10543;816230
2368.12087;614446
2385.11819;509211
2387.0667;180156
2395.1296;649517
2400.10258;209736
2404.20492;193734
2405.15461;229460
2410.12329;1729964
2411.17324;351869
2412.15051;846387
2415.12172;881020
2416.09833;809239
2427.16634;2229328
