m/z,I
898.47440,330875
1010.50187,242252
1032.54759,165464
1068.50908,299638
1088.59669,263889
1095.56544,562315
1096.53851,445923
1105.57521,4300115
1105.62292,732857
1121.57031,213091
1121.61783,376937
1127.55718,807224
1138.56016,410831
1153.55980,347369
1160.60673,235896
1162.62200,614370
1163.59207,1025318
1164.60075,295253
1167.57578,634235
1177.56794,219692
1180.64376,1000320
1183.57016,338833
1193.55480,288823
1196.56626,213502
1196.63869,988862
1203.62352,283485
1207.60663,173435
1226.57693,365247
1267.67569,633929
1417.72918,489710
1427.72838,10643145
1435.68237,3369627
1439.72496,247461
1459.69319,2713203
1532.78240,922309
1550.75646,1113410
1561.79768,2737738
1562.82955,1295236
1576.81193,415741
1586.75637,1821566
1593.79484,271080
1599.82468,783512
1615.82003,3479887
1648.82930,1748759
1655.79926,485593
1655.81443,639208
1683.80849,663020
1698.82109,966870
1706.77361,786284
1716.91514,554009
1726.86563,1046337
1759.71759,241976
1764.87851,442172
1787.90445,439800
1788.76781,561354
1791.82545,291882
1800.87072,334394
1804.93044,7939261
1816.86536,1833886
1826.91343,702414
1832.86051,3136851
1848.85569,1844177
1875.89623,231293
1875.94163,305433
1892.92165,2900669
1933.97375,275105
1975.99495,13835832
1997.97728,1067308
2014.07227,491269
2014.95811,321973
2020.02273,1856656
2038.08444,1129821
2039.06897,1481437
2039.95462,972839
2056.09239,20833094
2056.97881,12352040
2072.09015,6982283
2073.01291,3803022
2078.07808,1574303
2078.96568,884623
2089.00602,2552843
2094.06918,424546
2094.99231,363971
2100.05804,202995
2104.99979,395380
2110.98700,339592
2115.12090,696984
2131.11559,10279227
2146.94117,349439
2151.03082,236678
2153.09597,1363204
2198.97185,415063
2200.06142,478669
2214.96816,1771946
2216.05833,5040920
2238.04208,586815
2269.08394,886494
2283.06510,524289
2293.12410,491608
2298.07714,603605
2307.13805,575088
2329.11836,1103663
2389.19810,438611
2449.10820,627951
2453.07385,183777
2465.10001,895895
2481.09027,255894
2485.23177,2680622
2513.20107,611519
2566.20600,1499499
2570.18963,425035
2580.15311,357073
2581.23142,4028156
2594.17009,1039453
2603.22078,672138
2610.23862,999381
2634.30565,653363
2676.24942,437693
2689.25856,9004340
2705.25142,33474752
2711.24047,1442798
2719.23209,3168914
2727.23796,4658680
2743.28655,1412337
2759.28476,3755394
2766.33092,13574074
2775.27955,2471606
2788.31030,1504896
2792.32631,9830814
2814.30649,1262506
2821.31810,330637
2839.39275,397267
2867.42578,1781554
2883.42245,21325536
2889.35193,1031735
2899.42135,1851223
2905.40990,3203852
2911.42161,443737
2921.38581,521180
2926.43367,1123523
2930.33694,642428
2938.56911,284615
3001.36517,2602219
3017.35791,12478389
3033.48556,4977776
3036.40358,2238959
3039.34027,1932631
3045.40152,428246
3052.39956,2249350
3055.47213,843211
3068.41998,374609
3074.38498,424794
3084.41100,4400271
3100.40919,14865840
3107.40050,371075
3116.40661,13680596
3122.39435,2424192
3132.40327,1110003
3138.39025,1718085
3151.50959,322358
3154.35951,352199
3167.47987,1540086
3183.47230,3388086
3211.52458,791939
3227.51839,2131319
3249.49469,304930
3310.56220,495647
3338.71912,699812
3339.55782,347169
3382.70498,769429
3411.64120,1408265
3426.63010,693395
3440.63447,623881
3515.61138,501788
3517.45644,1893863
3651.55653,2017917
3673.53857,517387
3673.69363,432677
3722.59333,2159118
3744.57723,578491
4005.04530,502411
4019.88847,343704
4035.91602,1891319
4056.89254,276650
4096.94280,3602381
4112.93778,3404876
4128.92924,534761
4134.92275,608967
4152.08932,652849
4286.05592,1166603
4302.04663,1646640
4318.04192,497277
4348.11417,1501742
4364.10579,1771079
4386.09206,379660
4463.13062,268132
4479.12168,1644214
