m/z,I
836.43832,236058
899.49506,127247
1095.56654,562801
1105.57569,1121937
1106.55983,577975
1132.488,158527
1167.577,217968
1183.57225,118211
1193.55528,138146
1223.60235,120086
1241.66122,713783
1280.624,121796
1295.64197,137631
1311.63055,400405
1379.62017,155066
1381.67177,98901
1391.71526,132414
1392.65111,159535
1427.72936,4759996
1443.72377,105674
1459.69458,1408857
1465.69379,1571878
1501.70481,859893
1511.74706,119304
1530.8048,641655
1550.75876,545421
1561.79758,1100675
1562.78338,1335152
1586.75756,1756690
1604.84089,457629
1608.74246,105732
1616.80565,1677497
1655.80089,328407
1683.8121,136069
1686.90493,369713
1690.77793,131339
1706.7741,259828
1717.83091,121315
1743.86872,122395
1784.89352,987200
1788.9366,119473
1789.84858,122539
1799.79974,576258
1800.88994,2801042
1806.87429,2623533
1828.88982,140860
1892.92289,1649726
1899.9928,112721
1903.96267,270908
1928.95957,707925
1945.98606,11487168
2006.9283,189474
2014.07237,303250
2015.94408,188775
2019.97474,246930
2030.07043,190705
2039.06919,633328
2056.09352,11523244
2057.9639,5188984
2068.02335,234776
2072.09173,7716237
2088.08541,192281
2105.98329,1428777
2121.98121,279431
2145.13003,9993794
2146.94106,233937
2149.03001,421730
2156.05913,122657
2161.12521,205481
2165.04839,196353
2172.03526,184249
2188.02893,3871299
2204.02216,145880
2228.98472,116582
2256.05171,606238
2257.00933,209185
2264.12963,132812
2280.12983,905482
2293.09009,391114
2302.10947,111503
2304.01243,177385
2306.20514,229989
2348.08728,137816
2395.12559,179383
2411.11794,427825
2428.13487,285309
2444.24711,128148
2455.22364,2168623
2463.12196,172615
2471.21608,1008867
2479.11565,155972
2481.21121,670624
2488.19168,766701
2497.20612,1319451
2513.20336,685537
2548.22049,213987
2552.19426,3648600
2568.18706,270706
2581.22549,2755989
2583.19998,4178125
2589.25573,350158
2652.22674,1121951
2694.28911,609042
2704.21895,7313688
2704.25715,2423129
2710.27983,2728151
2720.21531,2559881
2728.28791,5919163
2741.29967,9348302
2821.33663,1279748
2839.39278,194497
2867.42757,1066544
2875.27193,545443
2883.42351,10922194
2891.33911,163955
2899.42276,1646703
2914.36391,623439
2960.33226,290436
2976.32584,3054874
2984.49789,411221
2994.39575,265034
3000.49005,3130853
3010.38579,649225
3026.34987,217027
3037.38592,417199
3053.37664,1154172
3101.39035,2042347
3117.38845,7190766
3133.38374,286017
3169.44919,1046492
3184.44428,2082118
3226.52564,935621
3242.51828,3017809
3258.51296,255126
3373.58229,154394
3387.58194,175482
3389.57788,824366
3502.5852,972730
3518.57904,723102
3534.57202,166476
3836.75178,207385
3841.77952,189353
4065.92062,297145
4113.92187,320318
4129.92131,316395
4275.00375,254804
4290.99569,514990
4365.09762,265536
