m/z,I
722.35909,183873
836.43856,685271
837.42211,246555
841.45375,220564
843.39647,254064
868.46429,346599
870.40725,149387
892.46441,394959
892.50067,267719
898.40252,291261
898.51127,336430
1024.51806,293424
1026.49752,203096
1048.55447,185795
1079.57189,208488
1095.56675,1259248
1105.57599,4808025
1106.55991,2209265
1110.51921,156766
1121.6187,365401
1125.52935,303327
1132.48761,235749
1136.60698,228984
1139.51673,208680
1139.54499,228171
1146.56639,191562
1152.54013,156111
1153.52404,203252
1154.5637,177489
1162.62271,532245
1163.59322,624359
1167.57699,821337
1178.55258,394746
1183.57175,307835
1191.64976,320738
1193.51908,158858
1193.55535,424555
1199.60317,566090
1202.57007,174972
1203.62395,146292
1215.61198,190833
1216.68092,161091
1223.6022,281493
1224.63477,178578
1231.64644,122695
1235.61474,229259
1239.64466,1598301
1241.66145,2278075
1254.53564,205801
1267.64781,191746
1280.62472,301022
1295.64219,420882
1311.63041,1379913
1321.6146,225348
1328.65114,253037
1343.67212,365709
1344.74004,217353
1362.67694,274011
1379.62082,358724
1391.71662,488035
1392.65208,422521
1411.73455,219833
1427.72971,18174350
1429.70501,547054
1439.72612,379568
1443.7237,212096
1455.77197,488122
1459.6949,5027061
1465.69404,5915916
1476.74665,162266
1487.67576,277188
1500.81875,165587
1501.70557,2843774
1511.74668,356569
1530.80503,1854694
1537.70409,261018
1550.75849,1777090
1551.80034,279873
1561.79969,5093047
1562.78391,4759970
1562.8313,3565911
1584.81395,175809
1586.75804,6138502
1600.81134,457587
1604.84147,2846140
1608.74187,416285
1615.81996,3311534
1630.8209,178169
1646.74111,180880
1655.80147,1515521
1669.88155,128441
1670.77945,236063
1683.81055,298538
1686.90528,1937603
1693.76008,189060
1706.77051,858063
1717.83142,364991
1726.86788,395454
1736.82108,370078
1743.86873,297829
1749.85276,245988
1768.90167,1102616
1784.89417,5258504
1790.8902,207090
1799.80124,1422101
1800.89019,6945111
1801.93247,452082
1806.87479,6960947
1817.88974,224608
1822.87224,219248
1828.89316,363501
1841.90492,502018
1863.87326,343812
1875.89751,289781
1892.9229,4065535
1899.99376,480386
1903.96394,1050523
1915.99267,317815
1927.05188,166458
1928.95901,2696717
1934.91892,234847
1945.98641,40637780
1961.98038,370330
1967.96466,689217
1985.94896,151499
2006.92793,575690
2014.07265,1199442
2019.97542,887467
2030.06988,796537
2039.06955,2677256
2039.94509,1279104
2041.97264,619102
2056.09391,41994016
2057.96442,14969534
2066.95105,216752
2072.09188,28351776
2079.08048,372410
2088.08534,554853
2089.98952,3457024
2094.06969,333447
2105.98619,5033610
2118.09743,416889
2121.98099,741946
2124.07196,330907
2133.03678,393518
2145.13026,38355476
2146.94247,829761
2149.03116,1220193
2161.12736,693281
2165.05073,551734
2167.11379,836031
2172.03567,1473324
2177.1233,251715
2183.08874,247163
2188.02909,12929900
2204.02336,657787
2210.00409,757153
2215.95472,2123163
2236.06505,385130
2240.05943,466674
2256.0525,2335950
2257.00854,494324
2264.13146,1203506
2272.04773,607259
2280.12946,4135696
2293.0896,1710071
2300.1469,740131
2302.11027,838370
2304.01275,537346
2306.20399,622953
2318.08561,330795
2325.16019,282802
2333.00377,278612
2348.09054,922914
2358.10111,323605
2364.08559,527755
2395.12591,655750
2411.17162,470168
2418.11583,386334
2419.21099,394214
2427.1619,1217298
2428.13579,946596
2439.22971,863334
2454.25185,1632805
2455.2231,9212225
2462.14721,624110
2463.11785,424903
2465.21987,722907
2470.17016,330154
2471.21669,2489107
2481.21116,4438596
2488.19026,1769011
2497.20648,4976470
2505.08979,397824
2509.16886,507125
2511.06133,290103
2513.20394,1745933
2549.18905,802642
2552.19423,9113242
2565.19231,892165
2573.26289,877619
2581.22491,10333673
2583.19837,9600493
2589.25666,1384296
2636.23001,363751
2650.25244,2934854
2652.22493,2388966
2674.24976,860439
2688.26259,3797874
2690.23861,5223142
2694.28767,3059070
2698.2683,766328
2703.24961,13122161
2705.22509,19920694
2712.28853,7735909
2720.21443,4966610
2726.30912,13533735
2728.28694,12689356
2741.29953,23111780
2757.2979,693018
2764.39684,342912
2798.32787,198780
2814.33367,202294
2820.34748,4948901
2836.21878,322428
2839.39529,961677
2867.42732,7508462
2875.27614,1017177
2883.42378,36739456
2899.42332,4633767
2914.36369,1552451
2921.38102,243123
2960.33652,1053880
2976.32941,10955658
2984.50001,1348777
2994.39731,898280
3000.49288,8984127
3009.39256,2379440
3027.35178,525931
3034.39082,413504
3037.38502,1738313
3053.38078,3187685
3085.39093,818632
3095.47887,232251
3101.39112,10203668
3117.3896,19552574
3133.37808,1019585
3139.37878,331655
3149.47146,200948
3168.45525,3749162
3184.44781,5470538
3210.53417,366729
3217.50164,732545
3226.52841,3688047
3242.51868,8497344
3258.51387,869444
3319.53272,190036
3373.58196,677984
3382.53883,364493
3389.57714,2150636
3477.62569,167138
3486.59406,397825
3502.58388,3359977
3518.5781,1803144
3534.5723,304133
3550.6331,484608
3598.67352,298388
3696.67864,460689
3772.73772,285235
3783.74889,231523
3798.66545,468702
3819.74958,201623
3823.76153,506448
3836.75632,446380
3840.77959,1105437
4065.91794,828398
4113.93011,548424
4129.91576,453923
4275.00375,882859
4291.00006,1180032
4307.00435,248607
4365.10019,511217
4951.21489,259511
