m/z,I
784.44305,171241
836.43826,452874
837.4229,244552
843.39685,177117
868.46462,413875
886.43878,234133
898.51132,608419
899.49529,290491
928.41251,171084
946.4237,172320
1011.47509,193418
1027.48165,275673
1029.53829,200113
1048.59103,352610
1080.50783,107581
1088.53804,254812
1095.56659,529720
1105.57595,7329508
1106.56018,4110673
1115.54529,173957
1125.53021,207815
1131.53995,318473
1132.48769,507953
1137.56583,260370
1162.62313,405781
1163.58143,271938
1163.59271,412245
1167.54104,162366
1167.57665,230560
1178.55249,1395436
1182.62381,551807
1183.60805,674664
1192.63366,188318
1197.55086,261630
1199.60253,716618
1199.63963,156883
1201.58587,789264
1202.57014,691053
1215.57241,270772
1215.6126,163108
1224.63387,262863
1227.56128,159880
1235.61444,956474
1239.64472,2512872
1241.66143,4993044
1250.57724,265759
1254.53616,347264
1260.62449,118858
1262.67539,209831
1267.64798,291929
1273.70336,309164
1288.6191,197706
1295.64269,387160
1296.5841,244012
1308.66755,147106
1311.63087,4129398
1324.66955,480769
1325.60926,148461
1328.65077,785641
1333.64032,1254757
1339.63281,266332
1344.74092,320131
1362.67687,275882
1379.6206,367685
1381.673,250696
1391.71587,477279
1427.72985,25326750
1429.70451,913865
1439.72475,194778
1443.7242,397409
1447.75623,275905
1448.66862,764464
1449.69974,1058468
1455.77284,311852
1459.69511,10892891
1465.69402,14300260
1483.69444,159830
1493.7365,129783
1501.70572,6582418
1530.80535,6546926
1537.7036,188606
1550.75844,4199276
1561.79975,6197229
1562.7841,7021030
1562.83147,4496147
1568.74786,165372
1585.75579,231284
1586.75814,11775824
1587.68317,155804
1588.84553,157558
1590.81341,501036
1600.81096,592598
1604.84164,5353490
1615.82038,3413375
1628.728,822940
1636.77486,462559
1644.72229,438041
1655.81117,2052048
1656.76413,233580
1672.70726,340549
1683.81088,895646
1686.90565,1905048
1698.82234,1024182
1713.82072,172472
1720.82696,445428
1727.80093,193024
1727.87283,180418
1736.82193,1730078
1752.90443,212957
1755.83089,167947
1759.71883,1580779
1768.90323,2164904
1773.85475,207309
1776.89443,222149
1784.89443,10482627
1786.78691,503908
1788.93716,678849
1789.84956,537249
1789.88535,357392
1799.80157,7438510
1800.89057,17613802
1806.8751,11226951
1816.88688,167852
1828.89111,268634
1841.90495,2255677
1858.95516,494036
1863.87336,2003555
1886.95283,144375
1892.92361,5876960
1901.86534,399461
1901.99736,254535
1903.96446,1322146
1928.95948,3587695
1934.91914,387454
1945.98704,75504640
1961.98203,627328
1967.96686,725385
1975.99588,355050
1976.94464,319019
1978.89076,357494
2013.93887,432279
2015.94401,1787495
2019.97583,3826865
2039.0704,552197
2043.87219,479127
2047.97397,269467
2049.9265,491150
2056.09475,11688589
2057.965,47712668
2072.09302,16157406
2073.99544,1157349
2079.94477,320601
2079.96845,347119
2089.99243,14623810
2102.03796,375659
2105.98675,20228302
2111.88452,171238
2118.09743,365988
2121.97972,3157446
2127.95925,308130
2145.1308,21034550
2149.05341,1172234
2153.06422,302738
2161.12876,636441
2164.9564,871050
2165.05085,3450420
2167.1146,280263
2170.02581,493494
2172.03694,10817684
2188.02952,64139080
2204.02335,3276457
2214.957,10115039
2215.98125,3622530
2216.93571,4555326
2221.97756,720832
2240.06203,1203111
2256.05328,7172747
2257.01184,1077307
2264.13129,3523884
2268.96602,249389
2272.05175,1778983
2275.02213,1077810
2280.12929,11532578
2292.08426,782205
2296.12585,1077734
2302.15418,391585
2304.01687,834570
2304.9939,576484
2318.01414,391829
2326.98612,264051
2333.00456,376291
2333.08297,292892
2358.10442,352215
2369.11694,539274
2378.09232,533038
2381.04992,497854
2383.95572,287040
2394.15242,693223
2395.12597,2825251
2410.14412,3486021
2411.11788,4721203
2419.21475,1047616
2420.18813,618588
2428.14178,1669190
2435.21171,396674
2439.23321,501611
2443.11531,454542
2445.09186,741166
2447.06882,435751
2447.19753,565283
2453.09995,199923
2455.22506,8640151
2465.22184,1009442
2471.21801,2343469
2481.21204,7040363
2497.20679,10378053
2505.09226,697925
2510.09178,3108249
2511.06501,2766551
2513.20489,4404728
2529.14859,235287
2532.22718,592046
2533.19742,1531081
2548.22111,2464169
2549.19117,4422864
2565.19432,890058
2570.16475,735657
2573.26318,310610
2582.22919,10042067
2583.2017,14015434
2589.25809,836874
2612.27318,249615
2636.2377,1289611
2652.23182,9905734
2662.20619,237275
2668.22411,1575091
2674.25738,1158989
2687.22981,2321162
2690.2462,6326751
2699.27343,1525770
2704.22143,70611632
2712.29724,1220763
2720.21811,16510179
2723.29867,1787342
2725.27277,2360228
2729.29783,754732
2741.30289,57564344
2757.29993,1316975
2758.14695,193109
2762.28649,263281
2779.25777,231429
2781.33883,227946
2795.22097,405025
2798.32628,205012
2820.34948,3092099
2839.39394,464337
2849.38348,308580
2860.27492,445490
2866.26969,161948
2867.42986,4808722
2876.27264,1870524
2883.42615,26220716
2899.42576,3418175
2906.41765,177527
2922.39084,385861
2926.44098,805685
2933.33083,331004
2938.39135,1045235
2961.32776,849375
2977.32071,14503428
2994.3981,747396
2999.49237,388085
3010.38986,1447205
3026.34746,561701
3038.37639,1375040
3054.37303,2488562
3070.37353,366619
3086.39084,863269
3102.38514,8908436
3118.3824,15421646
3134.37728,666629
3169.44397,6180608
3185.4381,11324063
3201.43243,779780
3226.52871,2793272
3242.5191,9798576
3258.51356,754788
3259.36171,1767550
3275.35085,232565
3389.57407,745665
3446.60376,350934
3502.58767,815484
3518.58173,456692
3797.67359,279964
4113.93534,304824
4129.91284,233257
