m/z,I
892.46442,540914
892.50095,420425
1010.5024,300383
1095.5667,240119
1105.57621,1281158
1105.62337,301615
1106.56026,1184587
1121.61894,281759
1125.52916,223306
1146.56625,335500
1164.60154,274202
1167.5768,755489
1224.6343,330301
1241.55987,322429
1241.66115,2069329
1323.66574,218803
1343.6715,250316
1392.65184,270565
1427.72943,5534681
1459.69422,1096449
1465.69374,1188769
1501.70475,686441
1530.80382,420098
1551.80027,351952
1561.79946,928955
1562.78307,1469872
1562.83064,1153068
1586.75751,1589582
1604.84072,899314
1616.80566,1587909
1638.78908,887706
1655.80055,489003
1686.90482,660785
1759.87774,731861
1783.80399,864893
1784.89463,928927
1789.84876,580175
1800.88992,1897433
1801.92491,905546
1806.8748,3605354
1815.94044,630834
1829.95622,364846
1892.92306,1353183
1928.95874,1547693
1945.98651,9418668
2014.07297,676509
2015.94302,298477
2039.06996,1908378
2056.09477,12956232
2057.96526,4668699
2068.93867,254367
2072.09172,7038448
2092.08139,3048774
2145.1311,8267723
2188.0298,2182822
2256.05265,886925
2294.09561,738819
2387.15854,212755
2417.20437,522178
2455.22546,1262506
2471.21956,429384
2497.20815,668685
2519.17424,465555
2536.2006,1943386
2552.19559,519281
2583.20941,898046
2651.22843,311985
2690.24239,1246701
2706.23909,2913779
2707.22091,1510470
2710.28443,923079
2727.30935,1511217
2741.30167,2415174
2759.27264,271789
2867.4303,493816
2883.42704,3276233
3086.3825,807974
3100.39916,1136177
3102.37901,3155227
3118.375,691627
3242.51688,404045
3625.73625,300611
4021.9511,701493
4037.94273,2882379
4053.93537,1293900
4065.90928,1842119
4429.14231,623055
