m/z,I
738.39425,325240
840.46888,545042
868.42778,811520
898.51112,2055655
1079.57102,287465
1081.58637,509692
1095.56607,6854293
1099.54954,244864
1105.57550,19516662
1115.54404,478763
1116.49225,600537
1136.58142,531081
1153.56098,200691
1159.49479,266581
1163.59192,697426
1168.60768,285144
1177.56778,3409021
1180.64407,3498164
1182.61216,490899
1187.58139,209449
1196.63914,8490966
1201.58554,2050901
1211.64301,365143
1215.56177,267351
1219.58240,408202
1223.64950,420768
1240.67664,8483050
1251.60818,297976
1254.53574,176342
1260.67057,469760
1261.65442,414552
1267.67613,4917049
1273.70215,208046
1280.62386,187856
1287.63370,648924
1311.62980,1090849
1312.73764,517876
1312.74816,559810
1332.65533,3488710
1338.64464,1386070
1373.67803,2595324
1404.76053,627455
1417.72972,358799
1427.72885,25439986
1435.68303,19193988
1459.69400,21314464
1464.66198,558838
1496.75314,182135
1524.78873,342225
1528.74386,641929
1550.75742,4844321
1561.79879,8346592
1562.78279,4835375
1562.83005,5374407
1568.74631,345047
1585.77339,7197123
1586.75710,10309014
1599.82497,228609
1604.81552,349314
1615.82097,5190339
1644.72196,782212
1648.77948,1346240
1648.83001,3151707
1651.78427,770102
1655.80039,4817468
1655.81486,1550822
1664.77463,1231335
1674.81359,1648301
1683.80952,858784
1690.77956,808180
1695.72232,377538
1701.73349,387274
1706.77417,2476241
1716.91576,595009
1719.84295,2351766
1758.73500,2888533
1759.71964,3095350
1769.89556,1251445
1772.86547,813789
1787.90515,454121
1788.76964,741884
1798.81645,2288464
1799.80028,2915293
1804.93124,14164458
1812.88813,1953614
1815.79446,357452
1821.85028,696452
1822.83377,684343
1832.86112,2384970
1838.86799,537530
1848.85681,3366557
1863.87355,3053246
1870.85615,214344
1875.89568,580722
1875.94379,1267813
1892.92240,11141541
1900.87843,338648
1962.92800,1434427
1975.99496,68152536
1991.99256,1634266
1997.00888,2373600
2014.95864,529371
2019.97480,2324001
2028.99926,3998354
2029.91645,867448
2038.08479,904906
2039.95510,2138059
2056.09340,15926321
2056.97933,58422468
2065.96734,2730579
2072.09204,9123107
2072.97858,1069838
2073.01473,6612396
2078.04123,571642
2081.96211,2258533
2089.00749,16599479
2094.03255,3764805
2105.00161,7084346
2110.90101,1064094
2131.11684,31566600
2147.10910,1090657
2150.96908,2073593
2151.03118,2174661
2158.04506,322923
2198.97363,1731953
2207.04394,229214
2214.97003,37294176
2216.05956,52406600
2230.96759,3056043
2232.05724,6241509
2237.03861,400556
2244.04289,743714
2268.88700,525337
2269.97624,535735
2273.05285,334675
2274.15980,462906
2293.12539,6448077
2299.07673,586738
2300.05391,462585
2307.13979,8611615
2316.04989,3268815
2323.13239,1346626
2341.15601,371764
2348.08803,2129200
2360.05609,435339
2364.08575,4410195
2368.13263,1998357
2389.19918,2815834
2420.19853,264220
2424.09287,2024332
2445.09381,382905
2461.15460,1665503
2477.14757,3715919
2485.23060,9235023
2497.20695,8595959
2501.22686,4641404
2510.08755,1406122
2513.20416,13284801
2526.08732,785011
2526.23653,401835
2529.20108,714320
2540.16343,343866
2548.21224,4333068
2566.20847,7706645
2589.25660,1273818
2594.17114,1781859
2607.29228,1576234
2609.23481,3319920
2610.16844,764757
2624.23687,961499
2689.25728,1176403
2702.23379,19192870
2705.25173,26605774
2711.27631,475035
2719.23371,14861784
2742.25944,826441
2749.30735,1625825
2757.16500,508566
2759.28781,3553307
2767.32150,20643096
2775.28175,5572128
2783.31522,1059049
2792.32849,14028837
2808.32015,536530
2821.23144,496201
2839.39453,386543
2879.39151,1840934
2883.42351,33862460
2889.35138,803923
2899.42291,5876525
2905.40780,250112
2930.34170,1180680
2946.33495,1480192
2967.39899,1867895
2970.30255,346053
2987.33062,1338553
2988.30666,2182077
3001.36710,1575862
3017.35858,19937876
3025.37390,381257
3033.48717,1993374
3036.40345,730192
3052.40083,1896683
3068.39668,292437
3071.27946,255605
3084.41652,955271
3100.41261,9353105
3116.41098,17501078
3132.40677,1927627
3167.48390,2346375
3170.32986,461620
3183.47645,13429050
3199.46834,2174911
3227.52018,6594607
3243.51159,1225449
3393.59520,575266
3413.62346,862156
3495.48076,498792
3517.59772,587433
3575.66392,384072
3651.56088,894179
3722.59794,1049168
3736.71485,619676
3835.76753,737916
3856.76613,385714
3872.76043,799133
4035.91411,551938
4112.93949,411258
4302.05541,497698
4480.13086,278606
