m/z,I
728.33222,238626
836.43781,253354
868.42756,357945
898.40203,389741
898.47474,419545
898.51116,526719
926.39645,264513
974.43670,448502
980.52826,252752
997.47025,328054
1010.50200,297310
1024.51746,263262
1054.49175,335462
1063.52798,203805
1083.52566,255337
1095.56577,396211
1096.53849,1280109
1105.57526,3495502
1108.50240,186661
1121.56970,189942
1121.61802,379372
1127.55745,267819
1136.60628,196235
1137.52846,264310
1150.54882,257352
1150.59669,542534
1153.56045,761319
1160.50039,200664
1162.62192,663723
1163.59211,1219398
1167.57553,1300181
1180.64352,440115
1182.61174,428050
1183.57045,500927
1193.51865,340153
1193.55474,193811
1193.62764,267668
1196.56664,455676
1196.63912,930539
1204.60715,197670
1215.61177,268863
1216.67995,169259
1219.61905,167897
1224.56105,289227
1226.57696,414840
1241.65989,253970
1249.59244,257390
1251.64424,273242
1257.55372,217676
1259.64894,225485
1261.62926,300707
1267.63865,233798
1267.67565,668120
1273.70178,398829
1293.61859,234890
1322.64536,527150
1323.66527,261922
1343.67118,790038
1368.65814,225222
1374.74969,227522
1420.68186,566008
1427.72843,6790685
1435.68241,2570419
1473.67373,1068919
1528.74411,292075
1533.77091,319179
1556.66445,255550
1561.79843,3708256
1562.78264,1789898
1585.77288,1030726
1586.75678,1264621
1604.81461,640004
1608.74017,308099
1620.80950,334062
1648.82924,1161640
1655.80077,369450
1665.76184,234192
1669.71207,283992
1670.77664,400126
1683.80920,405787
1688.88237,333693
1694.77327,205244
1698.82131,879409
1706.77309,1083443
1716.87855,318962
1716.91549,691902
1750.83593,304968
1787.90388,531143
1791.82669,332120
1799.79857,278299
1804.93084,6806159
1806.74279,921975
1814.80942,742739
1815.79314,915636
1820.76028,579894
1822.73929,501999
1832.86073,1596160
1838.97581,301188
1848.85621,3715845
1860.93111,242134
1864.85022,1818919
1892.92224,2407578
1899.99400,167325
1916.95964,484969
1958.96984,1160228
1975.99526,14511054
1997.97738,262095
2012.95424,201323
2030.06925,286214
2039.06858,729888
2039.95495,973245
2056.09295,8565247
2056.97886,10753579
2072.09065,7290569
2073.01367,1086002
2089.00574,1284571
2105.00163,526700
2115.12108,2047121
2131.11625,5195992
2146.94283,386443
2214.96891,256601
2216.05870,3367075
2230.96653,2399591
2232.05542,1099015
2265.05171,243181
2270.02936,392785
2298.07795,690141
2344.15156,603670
2363.08188,336530
2365.08796,401717
2368.13145,1643732
2390.18148,334430
2407.08786,227795
2432.18296,229028
2485.23089,1921694
2497.20607,1426212
2513.20359,1399650
2528.24250,296151
2576.24794,721699
2592.24259,490491
2596.14705,702390
2650.30032,526128
2689.26005,3938785
2705.25212,28685970
2719.23574,5451103
2727.23878,1098433
2749.30740,1685898
2759.28441,2413624
2766.33146,9605224
2767.31945,13510651
2775.27954,8104880
2791.27385,5013826
2792.32638,7316754
2847.41886,410302
2867.42572,1752111
2883.42392,12934117
2889.35321,1656910
2899.42248,4343348
2905.40965,442822
2926.43345,611867
2942.42815,422090
2962.32661,822410
2967.39633,1434739
2988.27888,422462
3001.36686,3066223
3017.35865,10413752
3033.48561,5933436
3036.40302,732512
3038.33723,343461
3052.39878,482110
3084.41222,1283109
3100.41109,6946687
3116.40715,19598816
3130.39182,344867
3132.40233,13194845
3148.39809,626657
3154.38716,519207
3167.47852,1170426
3183.47452,3662568
3199.46941,621898
3211.52747,516490
3227.51896,1378700
3243.50768,901226
3382.57346,617617
3398.57227,868140
3412.58619,316132
3456.63088,891434
3575.66082,730386
3651.55421,533981
3722.59275,1128443
3888.75335,603628
3974.99595,494511
4033.04919,379898
4035.90895,711850
4096.94484,3622620
4112.94098,2303144
4127.93114,465529
4152.09218,510322
4171.02903,257493
4202.07361,1249084
4271.00188,412119
4286.06371,1223777
4302.05202,3002977
4318.04583,1713221
4348.11820,770607
4364.10976,1391837
4479.12085,556093
4495.11421,447000
