",""auroch(9).s1"",""auroch(9).s2"",""auroch(9).s3"",""aurochs T"",""C1-1"",""C1-2"",""C101_aurochs"",""C102_aurochs"",""C2-1"",""C2-2"",""C3-1"",""C3-2"",""C4-1"",""C4-2"",""C5-1"",""C5-2"",""C6-1"",""C6-2"",""C91_aurochs"",""C92_aurochs"",""Wa12_aurochs"",""Wa5_aurochs"",""B1-1"",""B1-2"",""B2-1"",""B2-2"",""B3-1"",""B3-2"",""B4-1"",""B4-2"",""B5-1"",""B5-2"",""B6-1"",""B6-2"",""boeuf romain"",""boeuf_crane_act6.s1"",""boeuf_crane_act6.s2"",""boeuf_crane_act6.s3"",""boeuf_etui_corne_corne_act9.s1"",""boeuf_etui_corne_corne_act9.s2"",""boeuf_etui_corne_corne_act9.s3"",""boeuf_etui_corne_sabot_act3.s1"",""boeuf_etui_corne_sabot_act3.s2"",""boeuf_etui_corne_sabot_act3.s3"",""boeuf-tourcoing-01205"",""boeuf-waziers-2280"",""boeuf-waziers-2367"",""boeuf.s1"",""boeuf.s2"",""boeuf.s3"",""boeuf(2).s1"",""boeuf(2).s2"",""boeuf(2).s3"",""boeuf(8).s1"",""boeuf(8).s2"",""boeuf(8).s3"",""boeuf1"",""boeuf2"",""boeuf2.s1"",""boeuf2.s2"",""boeuf2.s3"",""boeuf257"""
"Label,""Auroch"",""Auroch"",""Auroch"",""Boeuf"",""Auroch"",""Auroch"",""Auroch"",""Auroch"",""Auroch"",""Auroch"",""Auroch"",""Auroch"",""Auroch"",""Auroch"",""Auroch"",""Auroch"",""Auroch"",""Auroch"",""Auroch"",""Auroch"",""Auroch"",""Auroch"",""Boeuf"",""Boeuf"",""Boeuf"",""Boeuf"",""Boeuf"",""Boeuf"",""Boeuf"",""Boeuf"",""Boeuf"",""Boeuf"",""Boeuf"",""Boeuf"",""Boeuf"",""Boeuf"",""Boeuf"",""Boeuf"",""Boeuf"",""Boeuf"",""Boeuf"",""Boeuf"",""Boeuf"",""Boeuf"",""Boeuf"",""Boeuf"",""Boeuf"",""Boeuf"",""Boeuf"",""Boeuf"",""Boeuf"",""Boeuf"",""Boeuf"",""Boeuf"",""Boeuf"",""Boeuf"",""Boeuf"",""Boeuf"",""Boeuf"",""Boeuf"",""Boeuf"",""Boeuf"""
"1095.53926,NA,NA,NA,NA,""2183225"",""2018416"",NA,NA,""3305437"",""3248571"",""5271283"",""5896019"",""6759920"",""4122471"",""9154705"",NA,""7442684"",""8572558"",NA,NA,NA,NA,""1462181"",""7584410"",""1363286"",""1931464"",""4899033"",NA,""10040700"",""9014469"",""10607235"",""14252600"",""10553692"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"1105.54824,NA,NA,NA,NA,""4993136"",""3526742"",NA,NA,""6385434"",""6442518"",""9263026"",""9744477"",""5480402"",""3665179"",""7835541"",""7850753"",""4975927"",""6074673"",NA,NA,NA,NA,""1521279"",""8019843"",""2743733"",""3273127"",""577586"",""3018673"",""1348264"",""1417616"",""844456"",""1339494"",""1090891"",""4113552"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"1105.57541,""4979613"",""4246616"",""4646130"",""1871427"",NA,NA,""1759328"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""3851424"",""7390224"",""4140732"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""6188711"",""11588998"",""10878117"",""10970185"",NA,NA,NA,NA,NA,NA,""4794122"",""8816727"",""3914246"",""11031387"",""9469503"",""6021514"",""3303105"",""1976482"",""3278215"",""7691467"",""7702475"",""6680433"",""4956435"",""5956827"",""12305623"",""11324581"",""12056278"",""4055179"""
"1106.5323,NA,NA,NA,NA,""5037940"",""3543678"",NA,NA,""7260528"",""7513008"",NA,""1035276"",""6157707"",""4502323"",""974563"",""7689180"",""5739260"",""6453091"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"1115.51669,NA,NA,NA,NA,""610363"",""465760"",NA,NA,""1176061"",""1437327"",""1243619"",""1263431"",""2720519"",""1877780"",""1212083"",""1239331"",""2357005"",""2194851"",NA,NA,NA,NA,""1078866"",""1031162"",NA,NA,""963632"",""811432"",""1900089"",""1413792"",""915330"",""1376949"",""945340"",""414816"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"1116.46459,NA,NA,NA,NA,""1135556"",""676341"",NA,NA,NA,""963087"",""1077880"",""1108658"",""3113874"",""2474490"",""1402468"",""1409303"",""1818579"",""1711096"",NA,NA,NA,NA,""1160491"",""1031226"",""403694"",""367109"",""2118380"",""2045484"",""1818194"",""1042655"",NA,""927148"",""761932"",""578897"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"1183.5713,""342366"",""427189"",""347287"",""428709"",""670712"",""398973"",""542989"",NA,""556571"",""599236"",""699072"",""742755"",""802983"",""662214"",""622695"",""562414"",""692284"",""701733"",""485139"",""566303"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""1222890"",""436626"",""403251"",""423167"",NA,NA,NA,NA,NA,NA,""306162"",""170530"",NA,NA,""290589"",""309390"",""1371161"",""504171"",""1229015"",""640969"",""725155"",""726235"",""1157812"",""734431"",NA,""234508"",""247808"",""623599"""
"1199.5705,NA,NA,NA,NA,""1113796"",""673701"",NA,NA,""934270"",""935234"",""1013917"",""1061747"",""1403668"",""1228060"",""905528"",""893795"",""958496"",""827049"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"1208.67502,""3771933"",""3063326"",""3610983"",""1061078"",NA,NA,""806757"",""550182"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""438193"",""2055041"",""1737384"",""1737314"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""1905042"",""6992278"",""6460599"",""7050993"",NA,NA,NA,NA,NA,NA,""2960292"",""8955026"",""887885"",""6065568"",""4989421"",""3378175"",""1573780"",""927351"",""1298872"",""3446810"",""3582387"",""2901870"",""2896106"",""3061829"",""7972947"",""7412612"",""8079892"",""2303571"""
"1267.67598,""1043558"",""801206"",""730757"",""213347"",NA,NA,""1207656"",""457459"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""613319"",""2993932"",""2103070"",""803442"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""606529"",""2669583"",""2623790"",""3099766"",NA,NA,NA,NA,NA,NA,""954314"",""3698552"",""1387602"",""1422201"",""1302167"",""764428"",""678219"",""300200"",""509535"",""1455215"",""1269278"",""1262958"",""819792"",""768991"",""2333470"",""2160063"",""2349763"",""623968"""
"1281.61938,""622968"",""433807"",""587964"",NA,NA,NA,""473314"",""201212"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""1269464"",""140338"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""1281782"",""1758460"",""1443171"",""1439444"",NA,NA,NA,NA,NA,NA,""574441"",""2136153"",""1203669"",""811316"",""738870"",""463279"",""458668"",NA,NA,""962108"",""971907"",""904145"",""852423"",""494393"",""1283864"",""1025229"",""1221377"",""847208"""
