m/z;I
701.34054;536675
722.35894;1172645
892.46461;997968
935.44158;543432
952.46823;1170118
1010.50242;422434
1051.53662;457269
1105.57621;1715610
1105.62362;434042
1123.48554;514610
1129.60155;1132147
1162.62275;599259
1179.60194;1958753
1183.57234;750643
1186.62289;1180815
1193.61778;301661
1193.62869;383518
1194.52282;270852
1196.63988;363544
1238.51236;368744
1241.55969;915648
1267.67645;809146
1277.71153;785689
1299.70753;854919
1308.67488;998720
1336.66979;431932
1343.67206;431845
1401.57685;1269369
1407.71327;395210
1427.72981;24980164
1434.77198;534383
1446.77655;3221270
1458.59819;1159358
1459.69465;1825485
1473.67402;577639
1475.7514;4135294
1496.7549;1151108
1562.78372;3971542
1562.83067;3321711
1578.82174;468219
1580.76894;686083
1601.81336;683321
1616.80537;1203120
1621.72939;292672
1637.72483;545501
1638.86202;1240853
1648.83105;1005707
1658.81903;300654
1694.74609;342609
1707.77329;907827
1726.86729;1966961
1728.74905;459375
1756.78043;1461075
1758.75901;578575
1797.01408;822245
1800.8727;1857060
1804.93218;3757053
1816.86682;5808048
1832.86193;3164694
1838.916;1808912
1851.92987;863940
1873.94675;1207632
1884.84285;389778
1890.97337;1860422
1898.97782;909920
1922.93351;503423
1961.89798;289354
1975.99708;12328069
1993.97995;4230513
1994.96424;1064387
1996.08502;487563
1998.02667;545516
2010.05306;1834940
2028.06585;36822888
2044.05947;8118402
2054.12576;636932
2056.98208;1719730
2064.1479;1024941
2073.01453;3949736
2073.99965;2305607
2089.99253;1250533
2115.9733;309446
2131.11732;64653360
2153.09785;730623
2170.09663;385424
2176.03358;306478
2182.16376;316721
2196.19992;943976
2198.97469;1375635
2216.06105;2626017
2224.14552;1917506
2234.25484;1136045
2240.13974;608108
2250.24826;2927076
2256.05416;2053453
2259.14958;675209
2263.11217;2495979
2264.09782;1597540
2264.26261;1545079
2275.14649;611784
2285.96621;837196
2291.14451;1137028
2292.24929;6155423
2299.12427;1961610
2304.93935;323412
2307.13908;2502225
2313.22747;569833
2320.05625;693094
2345.11065;469275
2350.23739;551689
2353.18272;247506
2367.26694;31090452
2369.17502;504540
2383.95447;974226
2399.01945;6242872
2401.98855;818275
2411.2455;487690
2466.22122;609709
2469.24024;813237
2481.21349;1300610
2485.2329;6975769
2497.20963;1169005
2501.16923;371511
2501.2275;692142
2549.21365;1566306
2562.18622;2991464
2563.21667;2719512
2564.16584;1723045
2573.2665;1401411
2578.17932;2731350
2582.2209;4150031
2589.25815;1041800
2594.17359;982038
2650.24515;845649
2689.26246;10074323
2703.243;5406350
2705.25589;34314920
2726.26232;918736
2742.25459;1110779
2743.28969;1748677
2759.28545;1709881
2767.32031;8626678
2785.35476;419171
2792.32797;6968564
2794.40041;969061
2812.47082;635296
2828.36688;526387
2866.4216;1220122
2872.39358;32551908
2883.42532;15613886
2888.38983;1673712
2899.42233;1547997
2902.41499;2238580
2913.37741;2857743
2939.42305;1383528
3002.34618;931886
3017.36279;5348997
3018.34204;3937399
3037.41265;1458222
3048.49349;2058621
3052.62663;1340780
3068.41971;2250854
3077.49984;3305116
3084.41581;15468965
3093.49647;37209076
3100.4134;30227146
3116.41055;6019455
3183.47807;703684
3227.52537;1868802
3228.49938;926663
3264.51096;2389931
3312.30955;638134
3381.70494;831168
3413.60396;1757541
3435.67183;508467
3495.47989;1361774
3502.58094;483222
3516.64294;660589
3651.5698;6982395
3722.60787;4164138
3731.62985;980390
4037.89117;427263
4053.92348;400565
4096.94818;1191182
4112.94443;1406531
4153.09077;1528647
4348.11994;554561
4364.10509;676120
4577.18159;690322
