m/z,I
757.38246,236104
758.36651,223031
770.41388,262414
836.42232,278945
837.40607,406957
841.4375,446719
843.38029,303541
852.41665,295862
853.40041,550731
899.47697,612959
902.43392,218834
918.42792,253518
945.41909,284266
1095.5391,3248571
1099.52295,943247
1105.54821,6442518
1106.53214,7513008
1111.55853,252365
1115.51685,1437327
1116.46443,963087
1128.51288,175486
1137.53648,168918
1172.60866,405430
1178.52038,177298
1179.59335,247646
1183.57609,599236
1199.57036,935234
1202.53721,130466
1224.60042,155254
1241.62615,4711765
1244.55237,377792
1249.49542,181207
1265.62483,185188
1377.67112,258790
1403.64444,686382
1448.62064,198039
1449.65111,1058292
1453.69757,1459597
1459.64604,5353201
1465.64429,8002509
1473.62486,1472834
1537.73104,178246
1550.70344,4845128
1561.74418,1077756
1562.72816,1696174
1562.77583,2376996
1580.71239,157761
1583.65417,1784085
1586.7007,6070326
1601.66253,314417
1602.6943,165443
1604.78311,368732
1608.70452,816627
1616.74665,1188421
1636.78271,745540
1639.74476,412011
1643.67735,662252
1648.7194,615081
1652.77593,365074
1655.73942,6191292
1671.74714,694436
1691.69931,470977
1700.67313,241801
1707.69283,620438
1707.7393,193543
1729.8207,355707
1744.64234,616253
1745.81625,237260
1749.78506,1707372
1755.73964,2421997
1760.63417,466202
1764.7946,2868461
1768.83047,1146590
1771.73513,3473935
1784.82224,3036087
1795.83868,437390
1800.81703,3097710
1806.80251,198016
1817.83096,734121
1823.714,281454
1841.82802,1862262
1863.8085,579038
1892.84274,2068114
1975.90806,14521942
1976.85637,717674
1991.9041,673778
1997.88974,873713
2013.95645,2786597
2015.85114,502819
2019.8834,3245037
2029.95292,1976344
2040.84661,697825
2041.87721,1558894
2057.86915,21796982
2069.95476,4872328
2079.85098,1101188
2089.85873,696214
2089.89348,3196163
2090.87771,4346294
2105.88599,5846429
2119.78761,245762
2122.86672,1969742
2128.85343,356185
2145.02711,7824945
2159.89239,477862
2161.022,430155
2167.00956,656069
2187.92205,2926095
2203.91219,18375052
2216.82851,653610
2219.90862,957119
2225.89624,950445
2228.90933,542532
2235.90395,219739
2239.9479,523103
2244.9013,1084452
2255.93972,1592655
2260.93003,253743
2264.82662,185744
2274.90821,524862
2306.98356,195300
2347.96551,854879
2363.96072,1503317
2378.94612,162950
2404.05478,235772
2410.9907,392740
2420.04745,242143
2439.09816,365252
2455.08992,4238660
2471.08119,1417437
2477.06637,258641
2481.07432,733986
2497.06775,1185467
2513.06291,719188
2526.92504,221701
2549.04808,528307
2571.09654,1237597
2793.15978,1634377
2853.22407,504043
2869.2211,1662035
2978.10732,732170
3086.16643,306673
3102.16209,1164389
3118.15806,677570
3151.29008,229627
3186.19458,666807
3200.28111,742788
3216.27232,578523
3228.12241,676784
3244.11201,278822
