m/z,I
868.46439,337460
898.40201,250265
1010.50182,196210
1094.53439,314956
1095.56618,555518
1096.53844,284915
1105.57545,9469503
1116.49193,185154
1127.55753,521772
1143.53155,250810
1146.56510,297905
1153.56028,395710
1162.62194,472347
1164.60065,270990
1167.57617,188507
1177.56757,368824
1182.61242,603973
1183.57062,290589
1187.58094,211869
1192.68050,1417108
1196.56665,310011
1201.58507,297956
1203.62356,243180
1208.67506,4989421
1226.57709,362740
1242.60088,234840
1249.59293,196824
1251.64463,192372
1261.59189,206311
1262.61320,388047
1267.67616,1302167
1273.70178,254893
1281.61938,738870
1282.72785,161571
1312.74775,427769
1320.63054,335168
1328.64810,194170
1379.61946,231252
1392.68728,202589
1403.72851,182255
1427.72821,17496926
1435.68298,6491623
1443.72389,419667
1459.69403,5680175
1474.83913,663109
1496.75312,424817
1532.78368,1239371
1561.79859,9537754
1562.78284,4523201
1568.74580,217265
1572.67948,665346
1580.76859,2680226
1585.77296,3110880
1586.75701,3671521
1599.82538,460885
1604.81455,577462
1608.74073,307032
1615.82107,3549678
1628.72577,417067
1636.77338,349121
1648.82995,1541389
1655.80146,1145541
1683.80926,232387
1690.77783,1308668
1698.82078,307935
1706.77367,2132357
1716.91621,551695
1726.86597,925230
1743.72591,478860
1759.71927,575481
1771.93574,568427
1783.80403,806153
1786.79016,338289
1798.81630,1543567
1799.79992,1561472
1804.93098,11396008
1816.86631,2444772
1818.77998,476390
1826.91417,415063
1832.86118,5015759
1848.85654,2700995
1863.87549,257314
1899.99286,508093
1900.87929,420105
1905.90523,317190
1922.93387,5198869
1933.97351,634513
1975.99518,32955922
1991.99201,768957
2014.07209,667501
2014.95941,808015
2019.97436,1073490
2028.99886,468130
2029.91693,521628
2038.08582,1380622
2039.06941,2063174
2039.95465,2322024
2056.09271,34567536
2056.97907,43911676
2072.09163,10401950
2073.01419,6399003
2078.07810,1163506
2078.96342,1560459
2089.00740,7236174
2094.93858,316922
2110.01400,846454
2110.89997,695516
2110.98865,362826
2114.09936,323216
2115.97074,231944
2126.00979,321962
2131.11682,24822650
2146.94252,341941
2147.10987,418352
2151.03035,669528
2153.09581,1410423
2169.07462,582655
2198.97329,3690398
2214.96991,5030477
2216.05958,12737170
2232.05723,3134319
2238.04276,636144
2261.13110,1674793
2283.11516,1645405
2290.15836,1536302
2299.09230,701713
2307.13905,1223139
2315.04839,497865
2329.11835,1246094
2357.11574,230518
2373.10959,304445
2410.13899,2156956
2415.22449,217757
2471.21815,883829
2481.21172,2358144
2487.20989,2684107
2497.20687,5265318
2513.20474,3296835
2519.18838,369737
2524.09583,317968
2549.21511,1188126
2564.21609,772696
2566.20785,1945920
2570.19009,788436
2581.23172,5966939
2583.22423,2762034
2594.17141,1626506
2607.29153,541674
2610.17063,584228
2651.25181,1766337
2675.24671,751325
2689.25931,6242912
2703.24025,21866684
2705.25105,55988324
2711.27558,607149
2719.23336,8462554
2727.23842,3389149
2735.23236,663957
2742.25940,2117245
2743.21477,1164569
2743.28872,2375286
2758.17704,798105
2759.28841,7366622
2763.32166,2890271
2769.35071,1005654
2775.28365,4765635
2781.33652,25266810
2792.32857,13079295
2797.32565,682234
2802.31691,979579
2808.32112,372324
2835.24596,808126
2837.41395,817616
2853.40946,24813758
2865.38816,359875
2869.40643,5742791
2875.39608,1395515
2880.38892,754460
2930.34098,1485982
2946.33554,966390
2987.30650,2232498
2987.32915,1460835
3001.36611,4498865
3009.40015,1252066
3017.35855,18818170
3033.48645,9799081
3036.40602,958919
3039.34073,1681493
3049.48100,260214
3052.40053,3014003
3055.31571,536766
3055.46961,939574
3068.39647,625135
3071.28255,280455
3074.38824,411364
3084.41391,4698028
3100.41145,23980998
3113.39486,298702
3116.41017,21360742
3122.39797,564923
3132.40727,1620046
3138.39456,1714734
3147.39885,242152
3167.48284,4580638
3170.32911,598697
3183.47489,13065282
3199.46867,1537200
3205.45736,589734
3227.51954,6283211
3243.51149,1426607
3399.60679,2425809
3425.62017,256510
3442.61596,363161
3501.60027,272254
3517.59379,1182659
3531.47279,1006497
3533.58449,404679
3547.44633,394349
3665.57400,1824125
3687.55324,245461
3736.61252,2748691
3758.59957,409973
4035.90806,606395
4096.94549,1317594
4112.94171,2289262
4128.93008,483452
4134.92066,255678
4152.09724,495871
4286.06467,1083561
4302.05236,2184736
4318.04908,694345
4348.11943,962042
4364.11235,1691408
4506.15012,342062
