m/z,I
840.46899,337908
852.43293,359484
868.46423,697935
898.51125,1500678
1054.49185,245617
1067.51220,182129
1095.56609,1824055
1096.53863,474246
1105.57537,10970185
1116.49205,564826
1121.61800,144073
1125.52876,353663
1127.55772,335733
1136.60631,270197
1146.56534,236505
1148.54498,214607
1153.56042,289687
1162.62216,503172
1163.59230,1197927
1177.56768,1792496
1182.61212,1070200
1183.57095,423167
1184.49375,374835
1192.68040,3328453
1193.56241,700871
1201.58524,1443111
1208.67485,7050993
1223.60176,247273
1226.57730,326684
1240.67620,566412
1251.64462,261203
1261.62897,493599
1267.67584,3099766
1273.54899,310957
1281.61930,1439444
1287.63335,281566
1320.63043,380202
1328.64968,547432
1332.65491,1473072
1343.67082,300700
1353.18863,855952
1379.61913,207914
1387.69378,1280139
1417.72913,580526
1427.72804,21537602
1432.68197,394960
1435.68266,10798608
1443.72341,706855
1449.67207,214947
1459.69387,9757144
1492.69225,642397
1532.78347,2636691
1561.79852,19476928
1562.78272,8198778
1562.83026,6534993
1580.76828,3138866
1585.77280,5063557
1586.75690,5614069
1599.82532,1035855
1608.74011,261377
1615.82084,12552153
1628.72631,686857
1631.81438,546308
1637.80184,368463
1648.82972,2629936
1655.80020,1968774
1688.88300,234691
1690.77937,1388412
1698.82119,828636
1701.73239,270237
1706.77374,4003043
1716.91554,1004568
1726.86625,3142528
1754.85881,184440
1759.71929,1048155
1775.71503,735260
1784.85585,360369
1787.90549,784840
1791.82581,252367
1798.81586,1986929
1799.79973,1983469
1804.93076,23414138
1812.88817,938990
1814.80944,1560709
1820.75996,789684
1820.92709,423004
1822.83340,687583
1832.86096,4182350
1848.85632,8490548
1859.94804,299220
1863.87286,1314825
1864.85029,3349133
1870.83626,182482
1880.84517,310359
1888.92013,639177
1899.99241,232062
1900.87918,365796
1922.93345,8625373
1933.97249,529239
1958.97028,2199691
1975.99460,72741552
2014.07160,473549
2014.95958,809809
2019.97435,1785738
2028.99883,4225084
2039.06912,1408284
2039.95478,2230145
2056.09223,40533836
2056.97831,76145128
2072.09109,16198038
2073.01380,14161799
2078.07860,737461
2078.96348,1549384
2088.08413,645503
2089.00665,22470950
2094.03152,2360884
2105.00137,5823461
2110.02716,512936
2118.09584,319269
2120.99684,349228
2131.11626,26483432
2133.98383,620070
2146.94150,436933
2147.10919,1252116
2151.02960,1507257
2153.09480,723460
2163.01051,736222
2163.10587,400597
2173.03831,179893
2200.06282,823434
2214.96934,8715735
2216.05852,51889028
2230.96706,10713746
2232.05681,5033648
2236.95262,270622
2238.04363,1154823
2246.95952,224561
2248.05030,278578
2254.03661,329380
2261.13071,3285932
2283.11338,564072
2291.14601,6214284
2298.07796,592909
2300.05547,1194683
2304.03029,315318
2307.13928,6310420
2313.12513,726252
2316.04970,3620273
2323.13131,1062189
2329.11768,1037137
2344.15267,333912
2348.08776,1800743
2364.08568,2207293
2389.20042,325369
2393.10454,263765
2424.09397,723997
2446.22296,811804
2461.15698,1107918
2471.21756,1375675
2477.15189,1353371
2481.21152,2871718
2487.20946,3822502
2497.20661,10066571
2513.20390,9823336
2529.20232,783527
2532.21606,450738
2541.09393,336875
2548.21111,4563678
2566.20710,4116506
2570.18780,881440
2581.23350,10691031
2589.25652,1628608
2597.22604,549680
2603.21701,575550
2607.29160,703021
2610.17059,498606
2611.24196,341278
2634.30533,516885
2651.25174,5177924
2675.24756,1127307
2689.25859,5163647
2695.27800,399152
2704.24385,126760128
2711.27428,1244811
2719.23194,31131708
2727.23860,3004977
2735.23308,1798346
2741.21967,889721
2742.25623,1642759
2750.22793,708124
2759.28773,7743255
2763.32739,3479925
2769.35130,2778303
2770.26926,518349
2775.28130,19011896
2780.34144,40910796
2791.27593,8367051
2792.32749,33677596
2797.25972,572707
2797.32384,1022755
2808.32291,1760406
2809.38771,359561
2814.30595,1030009
2824.30997,313898
2837.41341,789076
2853.40819,49679720
2869.40586,5673523
2875.39470,1322063
2880.38748,1457384
2885.40362,707792
2889.35225,1774302
2932.34543,1265408
2938.38392,916029
2946.33534,3191618
2962.32800,1323338
2972.31351,1489311
2987.32843,3456545
2988.30440,3527132
3001.36494,7256854
3009.39915,2463399
3017.35726,48877616
3025.37553,773841
3033.48543,16341315
3036.40569,982364
3039.34106,1819060
3045.40291,948653
3049.48212,700514
3052.39997,4542591
3055.47086,726360
3074.38540,355781
3086.42655,335649
3100.41164,8131996
3116.40944,61134540
3132.40529,35934272
3139.39676,1327390
3148.40118,2825027
3154.38900,1510406
3163.39022,646169
3167.48212,9513693
3181.46442,1139748
3183.47367,36756068
3199.46878,4923383
3205.45323,617997
3211.52752,1883532
3215.45912,602904
3227.51881,12139645
3243.50978,1317353
3249.49877,451310
3399.60510,1485861
3425.61375,727062
3442.61228,915129
3517.59443,1118266
3533.58390,589708
3665.57164,885104
3736.61135,703650
3872.76081,1272140
3888.75478,662618
4035.91063,424013
4096.94555,1765255
4112.94182,3378274
4128.93413,1220136
4153.08526,347259
4286.06284,841222
4302.05261,2389453
4318.04573,1018007
4348.11833,1327232
4364.11021,2738536
4380.10601,360904
