m/z,I
696.34648,1798135
702.32068,317155
709.26218,590588
712.37915,3282865
716.37398,280743
719.42120,2855508
747.27270,223183
759.34251,866928
776.44216,281007
807.40074,445328
824.37297,518075
825.40147,597928
842.42811,482396
846.48387,999839
851.43818,1574396
863.37249,280049
910.33725,391421
920.39392,293597
924.35280,522918
933.38303,291339
942.43575,177059
945.38884,253982
962.41565,742694
963.52719,1285096
979.48568,585510
979.52214,2342447
989.53827,332644
997.47854,503715
1011.45448,3240557
1013.57511,381835
1014.45725,658611
1015.44943,240031
1016.50183,934803
1019.50680,298659
1026.52282,311884
1027.44908,819014
1035.52296,537703
1036.53351,1869113
1038.48648,5528491
1040.57460,235670
1043.44340,194815
1043.47383,242450
1047.48661,1830159
1050.55940,2913297
1066.60578,21727094
1074.50178,2827692
1080.45407,245771
1081.55343,441419
1082.60068,7044584
1083.45782,485549
1087.41590,373814
1087.57536,274603
1092.54907,350273
1096.63706,537015
1099.58701,258948
1102.49611,328339
1107.54413,1027781
1108.45301,964878
1109.52742,78087392
1110.62794,4729024
1111.61217,1400068
1113.52276,4503410
1120.44919,295372
1120.61268,194159
1122.58007,634317
1125.48018,3407137
1125.52311,7166958
1130.59231,236053
1135.58690,3185810
1136.59608,1053300
1137.47583,609906
1140.63850,470280
1141.51764,2989838
1152.59150,277926
1153.53262,6014254
1157.51287,386705
1157.62872,1965009
1158.55500,321156
1161.61229,2647447
1163.62216,1019609
1167.64977,1382147
1169.52634,3634599
1169.54980,8370984
1170.45352,1533269
1179.49145,279816
1181.66538,4909070
1184.46935,1768172
1185.52216,1290448
1193.62897,235515
1194.57665,439019
1196.48067,412730
1197.50126,930008
1198.54639,220820
1201.45956,506046
1201.53963,308231
1201.55350,539751
1204.57609,724702
1205.63981,208503
1212.56658,634555
1215.63446,1020811
1220.62904,329830
1225.49601,335499
1231.64459,4532913
1237.56161,2038530
1237.65553,3096675
1240.59339,1295718
1241.49057,438497
1241.55642,321050
1243.66614,427891
1245.64521,4160393
1254.58797,16382090
1257.48632,586144
1258.58314,1876981
1259.44793,193852
1263.69655,2406502
1265.62979,260047
1270.58290,2732711
1271.50193,503277
1276.47395,660083
1276.62959,521069
1286.57756,1223420
1288.51810,658191
1293.64548,1026991
1293.65651,399355
1302.57247,253534
1308.66014,455442
1308.69324,1885366
1326.66728,202594
1327.62542,616293
1328.71868,832177
1332.66001,399882
1333.49599,431904
1338.66725,401037
1343.63170,444063
1355.67268,1673153
1357.56168,2530776
1366.74644,931238
1367.66888,763609
1371.73604,4657753
1373.63897,177335
1379.60330,638065
1379.69391,230548
1379.73070,1203500
1383.77215,1788367
1384.75550,362417
1387.66331,199369
1388.56011,227802
1394.58160,590973
1399.76801,3692927
1405.73433,3741507
1407.63024,1081180
1410.55892,220460
1413.75138,416720
1415.66050,10940427
1419.79832,1600368
1420.69437,3256740
1425.67799,955035
1429.62550,454535
1429.77833,1155249
1432.72043,3971011
1433.81308,187299
1445.58185,977085
1449.74758,29128378
1454.69728,876917
1456.70537,1601028
1457.65120,1019874
1459.69546,592648
1459.71654,2184430
1461.57750,1245217
1464.79466,1684936
1468.72519,803410
1473.73226,3784846
1478.70002,1024292
1478.81435,286220
1487.75242,3920489
1496.55962,227189
1498.82478,885473
1500.71872,2085531
1503.63472,325565
1504.77871,21939120
1508.54293,717849
1512.84015,367434
1520.77289,298600
1522.55897,432564
1534.70290,688639
1535.83082,579723
1550.69771,6138713
1553.58039,522780
1553.80117,290880
1555.68280,380863
1565.57788,199768
1579.66317,297590
1585.77472,442137
1594.78996,3124685
1596.68988,2447994
1603.83492,725092
1625.85166,2571930
1626.70298,481071
1626.88304,1097522
1642.69876,6050609
1648.65050,504075
1660.76772,1467069
1664.64540,4561923
1673.84881,194112
1676.76315,6642432
1678.66296,5666865
1696.75779,413572
1698.84529,317501
1700.78161,538851
1711.87619,434849
1713.78330,741724
1714.73119,189753
1725.82233,1898629
1725.95290,795248
1728.90235,1122117
1762.71838,269413
1763.89944,165047
1778.71413,398982
1784.80843,769418
1790.89647,205437
1804.93391,2201197
1808.92753,965232
1809.05089,1032918
1822.93909,4543168
1829.80979,217163
1830.68947,407549
1834.98010,19570178
1851.90456,166915
1853.91050,542163
1854.01384,1223718
1856.99171,288848
1865.04135,325809
1867.72534,1639833
1868.93108,9651493
1884.92987,4248649
1890.97525,538897
1895.75871,676084
1919.93808,626607
1925.04986,1896561
1933.70317,727319
1934.81588,1092308
1937.01462,406140
1949.70162,4685577
1957.08273,472413
1962.01264,1572261
1969.95391,432283
1979.03971,8028234
1980.02519,1170802
1985.85052,1405705
1996.06785,387201
2001.84306,889777
2006.99622,356649
2009.92921,443263
2013.08932,1227170
2019.10431,218121
2030.05291,491174
2034.03460,493487
2038.13534,1608925
2047.07542,999879
2051.05701,546045
2051.09509,2001368
2055.99759,16600250
2060.02750,1132536
2072.98126,4641407
2075.07307,712953
2085.81274,411741
2090.99005,540100
2101.98495,782586
2104.06061,3260884
2106.05085,5676929
2109.92009,348530
2113.05797,6620444
2117.07734,886626
2117.98470,1054820
2121.91896,276082
2125.98822,299863
2126.08055,335916
2133.07075,19865688
2134.95571,1340585
2146.09038,978440
2148.96811,1739795
2149.79382,2220217
2163.09965,6855231
2163.12081,2470751
2166.19552,6735386
2178.83694,752909
2185.03006,561402
2194.18886,872260
2196.05063,489775
2202.05276,1669996
2202.10798,421364
2205.97807,545402
