m/z;I
836.43876;392402
1096.53997;264425
1105.57707;2275860
1106.5611;1030389
1121.61931;250015
1136.6076;146490
1153.56184;221976
1163.59399;731127
1182.5521;137317
1182.61386;258785
1187.58324;125221
1203.57458;163458
1207.60818;195023
1208.56792;265822
1221.42362;104879
1240.67842;560548
1241.66249;2700467
1267.67831;794983
1273.7042;207348
1320.63177;212258
1324.67086;153106
1373.67996;431712
1379.62163;392544
1400.70548;156769
1417.73229;357307
1427.73129;8540513
1435.68495;3196300
1459.69617;2514288
1473.67537;810836
1532.78553;308322
1550.75999;1322212
1551.80234;1159658
1562.78481;1942065
1586.75988;4201082
1589.78142;703330
1605.80108;231518
1608.74327;279130
1616.80687;1911493
1628.72873;183298
1637.72456;147892
1648.78208;814845
1648.8319;832297
1655.80203;981219
1688.88656;272450
1698.82278;245904
1706.77667;297219
1716.91703;494895
1719.8458;731103
1721.83624;337480
1722.86166;211469
1726.8684;829690
1743.72764;373378
1769.89755;828397
1770.79358;207790
1772.86793;949993
1787.90741;1059642
1804.93419;20025808
1816.86882;1381752
1826.91511;275236
1832.86421;2040342
1833.9247;257729
1848.85759;1047797
1875.89775;755139
1875.94542;685213
1888.96793;217868
1892.92594;9664908
1899.99525;369255
1908.91847;273380
1931.9716;462252
1933.97695;1478828
1958.97343;3576733
1975.99773;57149724
1980.96713;1048555
1991.99309;397068
1997.9955;12185131
2003.92152;341019
2005.97273;581612
2014.0751;893577
2020.94711;1207851
2030.07196;568422
2039.07267;1828967
2039.95825;1790865
2049.93033;207424
2056.09671;27002090
2056.98269;19444114
2072.09395;16327825
2073.01434;1783844
2074.00115;2572511
2074.98632;991673
2079.02926;429761
2089.00932;1878492
2094.03453;2062383
2105.9882;931554
2118.09857;250933
2131.12054;20177338
2146.94653;988445
2147.05193;474423
2151.03568;602929
2153.0992;374336
2173.12969;208651
2183.04678;273734
2198.97558;789663
2200.06713;1019230
2200.94178;304655
2208.03672;404225
2216.06169;26635564
2232.06014;1784259
2234.08685;643457
2241.06587;230166
2256.05753;3524087
2265.05841;1625106
2272.05127;897211
2282.121;354175
2302.13886;427926
2307.14273;914662
2322.08081;785076
2331.06463;393666
2348.09086;4286437
2348.16321;1047136
2355.13159;197600
2364.08827;4293427
2369.11954;755726
2373.16221;544429
2390.18694;7001479
2430.25977;172069
2432.13752;565353
2462.14287;962143
2465.22428;334512
2468.24003;455735
2478.13808;1393061
2481.21744;2536195
2485.23646;10629067
2497.21089;6420770
2502.21239;2308994
2513.20752;4705973
2524.19272;1359401
2547.19759;402550
2548.21829;295185
2550.22144;3961502
2566.21467;15799817
2583.21192;6326053
2588.19175;318446
2607.28662;1319650
2609.23883;4191196
2610.22213;2931561
2689.26393;1662633
2695.28787;519969
2703.24069;20645788
2706.24175;2425945
2706.26303;5777838
2719.23918;8328439
2720.22141;7384663
2725.29449;1926637
2743.29246;1849160
2750.29678;3651585
2759.291;4719905
2767.32428;63187852
2775.2844;3100243
2783.31966;1120591
2789.30642;788242
2792.33373;4728482
2793.31752;2988944
2794.4076;650835
2812.47701;254465
2839.40059;814250
2867.42665;692088
2883.42798;40409540
2899.4273;4351127
2905.41511;829992
2914.34925;769502
2930.34614;1828830
2938.3922;438264
2946.34345;1120912
2952.39436;803824
2967.40901;2525610
2968.38733;3942717
3017.37238;2512301
3018.35146;4833667
3019.33084;2673750
3033.49718;2608232
3052.4093;565353
3084.42446;1629756
3085.40235;1479579
3086.37809;523830
3100.39963;5080857
3100.42168;4259675
3102.37934;2078596
3116.41928;2251641
3117.37111;1317015
3167.54921;740620
3168.47184;1332005
3183.46523;5217898
3183.48795;2649568
3185.44727;2317027
3185.47227;458986
3186.42795;2220811
3196.50648;730895
3198.49068;1327107
3212.51471;380518
3228.50991;3849717
3239.65533;345857
3244.50023;601799
3244.53254;240897
3255.64186;393205
3414.61152;375286
3502.59142;1624762
3518.58467;1153863
3625.74151;3389430
3641.73345;970710
4037.88897;401408
4068.92748;266021
