m/z;I
868.46393;308199
1095.56676;2972566
1105.57613;3695330
1106.56023;5369772
1115.5449;285051
1116.49286;463248
1153.56161;194436
1163.59293;679955
1167.53976;278145
1178.55281;1148305
1181.62885;992872
1182.61315;422539
1197.62314;843262
1202.57033;897239
1241.66149;7459904
1267.67692;3544783
1311.63076;1917550
1328.65042;579568
1335.63143;238024
1343.67207;190027
1362.69989;221500
1373.67917;1577944
1416.68924;157563
1417.73084;405380
1427.72959;24865012
1435.68324;13939512
1443.72386;342156
1449.71149;314272
1459.69478;12084402
1464.66257;779679
1473.6747;4981440
1492.70476;346026
1509.77822;333354
1550.75833;3714181
1551.80128;1568498
1561.79974;1859702
1562.78383;4330560
1562.83146;4849841
1586.73597;1017262
1586.75805;12232421
1600.8101;569613
1615.82143;1416154
1616.80597;5745674
1648.83104;2134814
1655.80165;2771197
1657.76724;210517
1671.81011;280841
1678.86482;331887
1683.81036;200465
1688.88444;299753
1707.75876;1051847
1716.91632;663256
1719.84463;1646003
1723.84353;458626
1727.8735;443281
1737.81604;219171
1760.70434;911296
1769.89594;472248
1770.79191;253767
1772.86506;294541
1784.8575;377071
1787.90604;551213
1799.8008;4526825
1804.93214;20036768
1818.89371;400474
1832.86204;2721937
1845.90086;291934
1848.8577;4852455
1863.87456;1413113
1864.85862;975286
1875.94464;399876
1892.92348;17318282
1901.86371;626593
1907.87948;348075
1908.91857;331092
1920.90858;530818
1933.97387;1817326
1957.92161;833128
1958.97132;2943328
1962.92968;911719
1975.99633;101792448
1991.99351;1109569
1997.99294;1940602
2005.97047;3151964
2010.95493;721420
2013.93858;529421
2014.07336;1597574
2015.94378;3773212
2019.97575;2503699
2020.9598;2082695
2029.98407;2385003
2030.07062;762205
2038.08621;1307496
2039.06984;1675407
2040.94011;3017442
2043.87338;512849
2049.92755;495613
2056.09434;53921404
2057.96482;108898776
2072.09271;22595238
2073.99914;4270460
2074.98394;6339200
2078.08013;635478
2079.025;1523510
2079.94835;1287019
2083.93082;893363
2089.9922;9106704
2090.97638;13457359
2095.01773;2433838
2115.12305;1026647
2118.09753;581497
2121.00448;3594952
2124.91477;591611
2131.1175;44978140
2136.99797;577549
2147.04857;2895199
2147.11003;685804
2151.03302;1252786
2153.09792;1033172
2164.95566;519994
2174.03964;664331
2196.07052;564063
2200.06567;932476
2208.03296;693775
2216.06009;94604496
2216.93959;8730111
2221.97864;517417
2225.09995;316096
2227.98915;1177862
2232.05792;17540614
2234.08417;2765062
2238.0434;1157855
2247.00991;306018
2256.05336;5228461
2265.05397;1858851
2267.14307;480872
2272.04982;2951616
2275.02485;806324
2282.11943;935385
2295.09466;808487
2299.08552;576311
2308.12462;10818101
2324.11723;2480596
2330.10496;947767
2341.15581;543081
2348.08815;2897973
2348.16117;3192555
2353.12034;2345872
2364.08604;3415169
2369.11696;6522275
2373.15871;793881
2385.1086;912406
2390.18349;15556666
2394.10881;604737
2397.14608;476793
2398.2464;353264
2426.06251;1069064
2431.26194;587309
2432.13328;465772
2433.10786;355699
2448.19543;1171752
2460.11659;1033422
2463.12915;1951277
2469.19043;847208
2479.12146;2491295
2481.21283;3251639
2485.23199;9332726
2497.20721;15939569
2501.22764;4696982
2511.07225;2545879
2513.20486;21625436
2524.19013;3502955
2526.07407;832189
2542.23596;331619
2549.19609;4514019
2561.10949;427669
2566.20945;28906876
2573.26415;947700
2583.20723;26950666
2589.25791;2335043
2593.22536;445116
2605.18957;470730
2608.27658;4241620
2610.22012;13775125
2626.21886;2847922
2704.22153;51061620
2712.26125;1492714
2720.21941;30923922
2725.2946;2278046
2736.21758;1020489
2750.29219;3028457
2752.33116;904101
2760.27229;7643773
2767.32185;104188344
2776.26636;17816372
2783.31741;2069269
2793.30406;2901462
2820.2293;273262
2835.21585;455420
2839.39615;891101
2859.35347;584680
2883.42453;61483732
2899.42383;16627436
2930.34175;1479603
2946.3372;3035476
2952.39001;2766535
2967.40775;928055
2968.3836;7541373
2976.24905;859088
2992.24333;1338965
3019.33235;1451109
3020.31116;2538607
3034.47318;1891651
3054.36911;569987
3102.38011;2042164
3106.47813;315013
3118.37802;6536752
3124.48824;704449
3151.55167;527104
3167.54356;1104674
3168.45284;2816389
3170.43241;6405564
3175.48167;824875
3184.44552;7515796
3186.42429;18367862
3202.41659;1544771
3212.51083;2580608
3218.50534;548541
3228.50388;10835173
3244.35205;2743677
3244.49638;2070031
3259.34484;809718
3271.58987;244958
3324.55883;354107
3414.61834;634309
3415.589;2814056
3477.61851;259071
3491.61475;1392616
3502.58474;4649541
3518.57832;5314947
3534.5709;1565643
3577.63066;1005053
3857.74466;369088
3873.744;778659
4304.01828;544548
