m/z;I
693.47672;543357
700.30323;574586
706.31657;234448
737.50365;285938
758.3801;811974
786.37539;579944
811.44329;245713
823.47988;877760
836.43867;813694
837.4227;642551
840.46976;219439
841.45419;1192314
853.4177;1281654
855.05467;280005
861.07193;365947
868.46509;1394784
869.41256;2596428
877.04578;190731
886.43917;495574
898.51183;1229902
899.49565;810290
918.44798;265085
928.41318;240415
945.4399;694202
946.42386;506722
954.45397;281796
958.51218;158852
1001.66098;153914
1008.55977;296879
1011.47586;336724
1041.49685;201335
1047.55942;189459
1048.59141;1576659
1066.07983;452159
1082.05326;201168
1084.56486;434665
1088.53899;1365602
1095.52746;203668
1106.56079;20844848
1114.55332;152095
1116.49352;2172521
1122.55515;536312
1126.55095;1031342
1128.54242;675256
1129.45973;357517
1133.57204;390237
1138.54904;200540
1142.50941;183993
1156.57606;109889
1159.54783;232703
1162.62295;552958
1171.53615;704067
1178.55342;2944022
1181.62948;985532
1182.61343;1036664
1187.58246;149471
1192.63442;1043285
1194.54808;551170
1197.6245;2510234
1201.58701;1690940
1202.57106;1817032
1204.49194;209024
1215.61308;159954
1241.66187;578801
1244.60411;212543
1249.61994;250375
1258.59341;384764
1261.63044;708981
1267.67766;3935714
1269.65598;130838
1277.10422;250520
1280.62307;168219
1288.61994;1524844
1295.64388;192910
1311.63178;24206826
1317.65804;261366
1319.66135;316709
1323.6675;208351
1328.65118;2057508
1333.61533;832401
1333.64177;2035358
1344.64667;890155
1349.58628;200394
1352.6652;128059
1358.70843;200472
1373.67912;282874
1379.62169;331402
1380.68872;194591
1425.66854;158705
1427.7312;10513544
1429.64977;156958
1435.68533;33418034
1443.72578;616069
1447.75745;358092
1449.71315;283592
1451.68047;408994
1459.69647;14100737
1464.66404;1894127
1473.67571;7920271
1481.67689;399065
1489.62568;221264
1492.67914;375228
1492.70713;371294
1504.77957;352197
1532.7859;1148353
1539.88806;231480
1546.82753;248030
1550.75979;7376885
1561.79944;20273662
1568.74868;307765
1572.80489;376080
1578.78068;906365
1583.71237;1185245
1586.75957;32551102
1587.84368;281573
1590.81595;4848745
1592.77046;487546
1606.78564;460522
1608.74207;962710
1614.7547;248558
1616.80764;3215234
1627.94088;396157
1636.77483;313762
1640.77206;128873
1648.83295;1707882
1672.761;2547136
1677.8116;357597
1683.81229;271437
1691.83878;841093
1695.72417;1214350
1696.70955;687484
1715.9947;532868
1766.82673;1695445
1770.79422;897185
1771.93955;857918
1773.85679;434733
1776.89379;144035
1784.85809;300967
1787.93325;909487
1791.78442;504412
1799.80369;1369727
1813.87624;3166105
1817.77608;389912
1819.89798;342590
1829.8677;375042
1832.86299;1051770
1845.90224;671283
1852.82667;906350
1863.87234;16230358
1876.87299;2657995
1885.85715;1397544
1892.10015;507727
1897.87208;1008528
1907.88263;996926
1916.96411;266683
1919.87961;688645
1923.87548;198323
1929.86243;190740
1932.94495;271453
1948.94153;185304
1956.86301;258405
1975.99854;957564
1978.8943;1225036
1986.8549;323859
1994.91428;827143
2006.92029;2864415
2010.95509;1387799
2021.88677;774753
2029.98723;3766517
2043.87594;955379
2049.93029;827243
2051.93496;2736025
2057.96731;543439
2067.93125;436775
2074.0002;11166094
2083.92781;501078
2089.99555;45171216
2105.99021;22624650
2106.97291;3505069
2112.96129;1179812
2120.98163;1558161
2124.92482;1220438
2127.96536;896990
2131.12087;16582378
2134.9727;1306988
2135.04594;1214987
2146.10843;699818
2147.94868;3068093
2151.03561;12467723
2151.95417;3855441
2152.94105;2153774
2154.10344;507165
2159.1138;455650
2159.99899;751251
2164.96053;2482081
2167.03698;566415
2173.02138;271710
2185.05892;584945
2197.94752;572509
2200.92922;773999
2215.95874;34394468
2222.9853;798565
2227.99216;2170735
2232.03468;5661232
2275.02542;911549
2283.034;264019
2288.12463;322437
2294.11641;810737
2295.09387;872385
2303.02246;1012821
2305.00063;1241694
2308.12584;3715397
2312.09491;310462
2318.01875;1048980
2324.1182;2493325
2328.09182;589543
2339.11088;276177
2354.072;270284
2360.14466;507131
2362.08637;395718
2369.12321;230361
2385.11621;368977
2386.09098;267079
2443.12264;437378
2457.14552;874559
2476.10909;754609
2505.09632;524104
2521.09046;207544
2542.14013;197189
2549.19647;2213263
2565.18883;2129952
2571.17762;166979
2581.23145;1519161
2583.20572;1973239
2609.2226;154090
2705.23666;1146156
2720.22375;849892
2736.22254;188648
2767.33056;199862
3019.32637;4542716
3040.30743;289448
3054.38244;436512
3102.38819;665763
3118.3861;3728340
3134.37835;363527
3185.4454;295429
