m/z;I
701.35667;294569
704.02543;1307977
801.49842;269619
811.09836;423036
816.60026;115056
836.43802;216293
865.01805;272430
898.51191;735761
933.57732;168696
977.60382;157017
983.55752;185985
1001.66116;319217
1015.49472;144789
1043.55794;213869
1050.5334;193611
1060.06384;297529
1066.08068;652743
1082.05435;417306
1095.56705;719673
1104.4498;254804
1105.57686;3848539
1131.61053;242575
1148.47685;204728
1149.54639;151225
1159.66262;259631
1176.63888;171043
1177.56815;702117
1180.64515;587629
1182.61284;1196935
1196.63996;600465
1201.58655;399219
1202.5707;112713
1261.63047;710303
1267.67752;965920
1271.08868;193934
1293.07985;402310
1311.63198;1661919
1332.65628;558354
1427.73112;5019482
1435.68545;3723425
1459.69633;3008883
1473.67493;1442347
1511.83693;229578
1532.78555;1038621
1550.75995;1807731
1555.86322;213514
1562.78474;1288829
1562.83133;1023183
1583.91623;371597
1585.77565;961940
1586.75939;1696239
1590.81441;444773
1615.8237;1027213
1627.94321;255093
1648.83173;1871984
1669.8298;457662
1690.77941;684986
1698.82115;203871
1706.77556;1789903
1726.86738;727896
1731.96906;163692
1759.72177;398256
1804.04896;298884
1804.93443;2492648
1812.89193;644077
1832.86348;2704853
1848.86109;1680746
1863.87532;514575
1864.04931;269047
1975.99791;6064499
2009.97164;443405
2029.92003;180166
2033.99681;311379
2039.95873;332582
2056.09639;1816328
2056.98338;6911941
2072.09832;594760
2073.00616;918751
2073.02009;2656410
2089.01135;2838855
2105.00441;656689
2131.12128;6368823
2133.99009;877474
2151.03446;1659379
2198.97809;756193
2214.97514;2993615
2216.0647;7361284
2232.06207;1297217
2269.0865;845387
2283.06712;328126
2293.12834;751125
2307.14447;1449253
2316.05202;1454038
2348.09071;517874
2364.09343;473330
2368.14447;292105
2434.20708;337316
2485.23149;862230
2497.20947;893199
2548.21907;489351
2581.2404;1027359
2689.26241;1483233
2705.25589;7272275
2719.232;551874
2767.32176;1520018
2792.33379;2314528
2864.39265;533549
2883.42676;2581653
3017.3635;2346000
3033.491;1785022
3052.40616;202585
3084.42642;465262
3100.42026;1582501
3116.4211;1283854
