m/z;I
701.34002;272578
836.43783;502409
898.47479;769543
898.51097;666150
952.46747;280504
988.03027;596974
1014.06673;374176
1032.54764;218658
1048.5062;264128
1048.59048;169615
1064.5124;204249
1071.48913;199692
1080.50753;234861
1088.59649;290655
1095.56594;358597
1096.53847;639036
1105.57548;3913080
1105.62294;715680
1106.55974;947985
1107.5181;275852
1108.50255;214738
1108.57527;328482
1121.61777;259043
1125.5283;301735
1127.55752;259836
1128.51094;179678
1129.60093;969187
1136.57038;456754
1138.56058;612022
1150.54834;199358
1150.59711;448124
1154.58094;678363
1162.62238;556571
1163.59197;1161039
1180.64383;1066179
1181.62747;287142
1183.57118;1351299
1186.62225;1316181
1191.6489;322212
1193.5181;269893
1193.62804;284135
1194.50224;106033
1196.56574;145977
1196.63883;522177
1203.62359;322098
1207.60682;377510
1208.56599;267556
1215.61186;136130
1216.68007;291583
1224.53272;209741
1241.6607;470465
1250.61305;243803
1259.64919;153268
1261.62895;406857
1267.67604;731095
1273.70218;425452
1296.58165;221204
1299.70645;436767
1301.62298;207886
1316.67154;373290
1323.66606;507375
1324.62417;323398
1339.66084;530904
1352.12984;172812
1352.68819;290953
1353.18986;415184
1355.62033;121036
1374.75041;461783
1409.72228;181803
1417.73016;735516
1420.68309;481548
1427.72861;9230741
1435.6826;3121517
1437.67266;747533
1439.72396;237216
1448.67788;294060
1459.69382;1926235
1472.78769;272432
1483.71421;445424
1486.77661;187454
1496.75276;339727
1503.79845;204776
1537.70389;191294
1540.66936;261659
1552.77962;146476
1561.79881;4755355
1562.78286;4559897
1562.82995;1807554
1580.76832;1500453
1589.77862;602782
1604.81462;416830
1608.74087;366789
1615.82102;2146319
1616.80472;938185
1622.74073;347199
1628.72604;381983
1637.72446;684834
1648.77864;412312
1648.82996;1173737
1658.81751;513496
1660.76795;208531
1671.81006;228131
1699.88868;201469
1706.77384;1319540
1710.87007;366100
1716.91544;1192297
1726.86665;1732177
1735.8006;352511
1742.74149;426141
1762.90954;316364
1766.7777;227321
1783.80266;2224592
1784.85635;214613
1787.90521;1225267
1791.82679;311136
1800.87209;1015860
1804.93066;13600448
1814.91422;181613
1816.86583;4720650
1826.91263;395231
1832.86093;3549175
1848.85632;749383
1871.96169;521985
1888.91963;348794
1888.9638;291875
1898.97602;562904
1922.9336;1995373
1931.96701;449512
1933.9724;1100923
1958.97011;3036884
1961.8959;265907
1975.9949;31613902
1986.04257;1137337
1998.02889;2134313
2010.05114;968833
2011.03636;2695872
2015.94332;290275
2028.06474;23768176
2039.95487;1427809
2044.05788;5722147
2050.04475;500036
2056.97916;12086562
2057.96386;4855731
2073.01308;1935339
2073.99753;854115
2089.00483;1140181
2089.99273;670645
2115.97229;366247
2131.1165;7365357
2146.94141;302684
2153.09633;472506
2198.96854;946216
2199.95557;422186
2200.05999;354924
2216.0597;5914113
2232.05644;1185621
2238.045;386106
2252.08283;269057
2256.05212;1099244
2267.14501;386350
2272.04792;260029
2285.09182;275330
2322.09531;244467
2329.11784;421558
2348.08655;1153952
2364.08514;637849
2368.24066;214474
2390.18077;345933
2410.135;1535599
2411.24073;237460
2465.21971;520789
2476.17173;267201
2481.21055;2018938
2485.23025;1271383
2497.20663;2295688
2513.20524;825765
2550.21637;920824
2566.20658;662923
2582.22094;3387989
2650.24733;291348
2689.25955;6975826
2698.23083;401586
2705.25229;31141270
2719.23233;1902563
2724.29391;357789
2727.23828;1589054
2743.29078;1309818
2750.29116;1596225
2751.39786;933149
2759.28654;1802676
2767.32051;14775007
2775.27711;681308
2777.37697;225215
2785.35592;1072582
2792.32821;7150106
2794.40113;1338442
2839.395;275858
2867.42514;681818
2883.42409;13416519
2889.3549;290841
2899.42254;1333380
2905.41112;843957
2914.34486;260038
3001.36849;1307914
3009.40322;491431
3017.36148;6279008
3018.33918;3452742
3036.40495;928971
3049.46157;364678
3052.40083;1434082
3068.41864;1499495
3077.49714;1488899
3084.41314;10857052
3093.49502;16823656
3100.41196;18750302
3115.48334;1577529
3116.41065;3856547
3122.39972;1233668
3167.48327;541439
3227.52247;991235
3382.70121;662352
3435.67171;184099
3517.45832;528436
3651.55558;1290257
3673.53723;256220
3722.59134;1196197
3744.57851;254684
4036.89108;904916
4053.92599;380173
4069.91506;628397
4085.90531;238483
4096.94393;3578470
4112.93998;4449443
4128.92828;608849
4153.08772;1298274
4202.06874;327335
4286.05321;1236846
4302.04323;1580901
4332.11398;497838
4348.11045;3188675
4364.10227;3555212
4386.08645;410121
4577.1536;401047
4593.15531;575174
