m/z;I
836.43772;573739
868.46406;553818
898.51094;659337
899.49469;318670
1048.50638;363108
1048.59013;262511
1054.49146;208030
1064.51228;381354
1080.50754;266241
1088.59659;260264
1090.49159;263639
1095.56595;556027
1105.57539;3956095
1105.62303;663471
1108.57546;416057
1121.61815;455835
1126.55006;319679
1138.56001;779447
1139.54399;364544
1146.56557;339791
1150.59696;1201797
1151.58048;440101
1154.58068;655405
1161.56544;280230
1162.6222;759711
1163.59199;1015580
1165.52371;462282
1166.54448;230324
1167.57601;1454477
1180.64379;474889
1183.57107;2032645
1193.55473;425703
1193.62748;501113
1194.52216;376100
1208.56574;395991
1210.54565;276453
1216.68022;420808
1219.61869;222868
1241.559;1382312
1241.66044;1231727
1254.53477;368516
1264.62827;527477
1267.67566;932861
1323.66579;753815
1339.66102;811835
1374.74976;669658
1379.61934;262839
1386.77437;225007
1392.68719;488923
1409.71666;357344
1417.72953;466664
1427.72842;9732124
1443.79599;323616
1459.69342;1764671
1473.67304;1019230
1483.71476;630767
1496.75332;461563
1503.79268;183041
1540.66903;277891
1562.78238;3896463
1562.82995;1516992
1580.76761;1369252
1585.77244;794801
1586.75671;2598167
1608.74091;252134
1615.8204;2048419
1616.80443;1064070
1620.69671;273740
1637.72408;902318
1648.77912;338256
1648.82924;958996
1668.90693;258399
1671.8085;380716
1699.88838;219956
1706.77334;1213690
1716.91574;1397641
1717.78923;377447
1726.86571;1452666
1735.80023;327452
1743.725;338318
1766.77782;231803
1769.89523;271172
1787.90517;1395735
1791.82735;423666
1799.79933;1011857
1800.87167;431557
1804.93061;14282750
1816.86541;2691221
1819.89447;494215
1831.94123;327480
1832.86052;2891455
1838.97625;720484
1848.85566;891045
1871.96031;499227
1914.94428;294697
1917.8709;283897
1922.93271;2703155
1931.96727;432366
1950.94584;241527
1958.96957;3512152
1975.99507;30223936
1986.04269;1115769
1998.02812;4588137
2007.94076;413351
2011.03589;2892197
2014.95938;501903
2028.06416;20731982
2039.95462;1257581
2040.93991;711737
2044.05755;8714307
2056.97901;8471618
2057.96384;4589135
2089.007;767809
2115.97054;342066
2131.11582;5688306
2189.08322;231346
2198.97125;662426
2207.14577;423022
2256.05176;1099734
2266.05754;674269
2272.0466;402886
2322.09297;264103
2348.08658;669542
2364.08341;979768
2390.1811;488477
2410.13423;1091384
2419.14936;561617
2481.21005;565009
2485.22971;1278677
2497.20558;1303346
2513.20222;1239436
2550.21403;1413851
2566.20599;842554
2578.17657;430932
2581.2228;1714256
2689.25844;2279635
2705.25342;17378656
2743.28529;1254154
2751.39692;662504
2759.28446;2315666
2767.31879;8505371
2775.27903;1093070
2777.37435;269137
2792.32764;4113932
2794.40112;1485359
2814.33122;586092
2820.2341;442077
2866.42262;420518
2883.42367;8137992
2889.34977;504970
2899.42108;971308
3008.40144;585322
3010.38463;428798
3017.33649;2196364
3017.36332;2753824
3017.49516;522276
3033.48888;10669568
3052.40333;1332203
3070.38983;730693
3084.41437;5570674
3100.41186;13573114
3116.41007;3241311
3117.38662;1533752
3382.70623;984092
3383.67566;589959
3534.69034;630709
3651.55083;1211587
3722.59447;1674646
4036.88975;1631959
4053.92361;643735
4069.91262;1469140
4084.90375;1002821
4096.93466;2066436
4112.9323;2790755
4128.92494;713418
4152.95008;329583
4153.08863;665796
4202.06101;1463557
4348.10848;1661008
4364.09934;3852084
4517.1668;817811
4533.16213;739207
