m/z;I
728.33209;375996
855.05369;204818
898.40144;220686
926.39639;161205
992.51618;378873
1010.50139;357552
1024.51721;271716
1026.49662;193527
1082.05228;142480
1096.53751;292571
1129.59963;128388
1162.62174;789898
1179.60091;759149
1191.64757;131758
1193.61659;202184
1207.60718;158401
1274.72601;1124076
1299.70604;130652
1300.5307;165083
1307.67859;540191
1343.6709;170841
1427.72857;8619668
1435.68241;1817806
1439.81197;178559
1443.72259;215840
1447.75554;138324
1449.69809;142948
1459.69301;913840
1473.67252;445103
1475.74905;991101
1496.75322;726601
1503.77234;107981
1503.79605;192583
1512.74854;301946
1586.75677;3123604
1615.81995;586490
1638.86102;201187
1648.82969;4222659
1707.77144;422119
1710.87031;125422
1726.86555;1900863
1783.8037;169474
1804.9312;384413
1816.86579;2749547
1832.8605;2866139
1848.85568;556913
1851.92855;261899
1868.93204;112477
1888.91879;915541
1922.93216;425786
1933.97368;207714
1958.9698;614441
1975.99483;10428840
1986.0416;184337
1997.97655;340621
1998.02817;674226
2011.03523;506890
2019.974;1116138
2028.06391;6245067
2044.05785;3911408
2050.04289;163865
2056.97999;1544264
2073.0129;1392252
2089.00682;1890710
2105.00179;351209
2114.10006;236930
2131.11526;10672795
2151.5227;302658
2153.09695;503933
2198.97338;1905678
2214.96843;156260
2216.05796;523486
2244.02902;460726
2263.10992;972889
2266.0603;248028
2271.0638;374874
2383.95155;391621
2399.01411;345545
2410.1381;1252193
2481.21044;626093
2485.23071;5740817
2494.08807;416978
2497.20562;1387932
2501.22532;2182672
2513.20048;801899
2548.20542;233159
2550.213;789766
2566.20629;284287
2651.24566;309964
2689.25799;738466
2705.25359;7091511
2717.08036;154536
2719.23196;869058
2743.28257;444155
2750.28429;196000
2759.2809;573074
2767.31621;2380723
2792.32532;455639
2883.42187;3345358
2899.41893;1092289
2987.29826;224830
3001.36532;155873
3009.40244;489954
3017.35919;1971719
3052.39999;176384
3084.41132;832063
3093.49155;745610
3100.40935;2751995
3116.40411;533514
3183.46711;614777
3227.51891;758957
3412.61491;595604
