m/z;I
722.35849;206087
892.46425;455525
898.51159;593587
1010.50244;397495
1034.57513;214786
1104.55484;203299
1105.57613;3046840
1108.57552;318815
1110.50198;115524
1121.58233;1829366
1138.56097;412344
1154.58145;514579
1162.59662;140465
1162.62273;511493
1163.59274;764244
1165.52401;233548
1176.61304;434818
1180.64427;431190
1183.57167;673667
1192.57134;306427
1193.55567;205273
1196.63966;482035
1197.58896;160727
1202.66526;196939
1226.57749;327684
1241.55931;827104
1249.59292;341055
1259.68675;267754
1261.63005;248705
1308.67401;211746
1311.63026;324237
1319.635;271917
1335.63074;417385
1370.60203;161520
1379.69322;293228
1417.73024;437005
1427.62276;134772
1429.75583;266972
1432.68196;216731
1437.67343;472988
1443.79701;202935
1453.74457;12809990
1469.74004;426982
1473.67388;796336
1485.71951;154738
1550.75749;715355
1562.78354;2825669
1562.83095;861509
1615.82183;1829767
1647.8106;340496
1648.78068;243386
1648.79395;284049
1660.76873;201738
1668.907;235821
1698.82081;293878
1704.87971;167078
1706.77403;1020529
1726.8669;579127
1735.8003;206743
1743.72692;333527
1787.86938;824721
1795.91207;177905
1803.91147;4696282
1804.89559;6342294
1816.86728;1768862
1832.86247;2275973
1838.97602;466424
1848.85715;472937
1874.82797;167026
1888.91943;281219
1892.92328;846068
1918.95688;460430
1944.95494;1521134
1961.98201;12059234
1986.04497;461501
2002.0375;403967
2011.03713;1090090
2013.00222;5132508
2013.98725;1990703
2014.9592;575045
2028.06612;8940701
2039.95651;1313483
2044.05901;7427857
2056.98042;9619150
2066.0409;222303
2075.13111;197235
2089.00865;483414
2105.00303;1086001
2115.97226;262441
2120.99983;348548
2131.11786;4607583
2153.09752;211963
2165.04944;332628
2188.02977;2407075
2198.97311;641657
2204.0212;349179
2207.14893;270623
2214.97148;303173
2264.16863;270673
2335.20496;167459
2348.08841;477733
2403.05117;260834
2403.15714;274000
2410.14043;742909
2422.07485;247368
2455.22519;859104
2467.1997;313238
2483.18944;880569
2499.18934;540569
2534.15842;462820
2673.26571;1094459
2689.26079;7671995
2705.25376;22705446
2712.24495;275783
2719.236;1858464
2727.24023;742044
2737.29315;370077
2747.27181;637583
2752.28206;743588
2767.32246;7379136
2785.30347;4060687
2801.29274;1325288
2811.36983;1307818
2820.35338;8319820
2841.33248;319990
2867.42686;498898
2883.42625;5020173
2899.42577;815294
2918.29596;357726
2959.36422;325477
2987.39053;9336145
2988.36665;1663915
3017.4952;786445
3033.48667;9916390
3036.40805;942662
3052.40421;1419238
3055.47141;376648
3068.42208;904867
3084.41373;9239552
3100.41307;15993762
3107.40524;205363
3116.41108;4686803
3123.4039;414550
3152.46646;396390
3241.53003;658890
3408.72696;616030
3547.46778;630398
3681.56816;2117149
3703.5538;308005
3752.60971;1803186
3774.60401;238480
4096.94711;4563952
4112.94281;3799924
4139.07871;792478
4290.01645;894192
4306.01511;398498
4375.12928;934623
4391.12043;2923949
4493.14177;640289
4509.13488;411226
