m/z,I
944.53179,698146
989.57760,243080
1032.59539,330036
1079.52317,252656
1097.50528,349647
1105.57541,2350724
1121.58166,1870707
1125.58473,19674706
1135.63791,272690
1172.54911,810407
1180.64388,587405
1181.67939,420990
1183.55724,602765
1192.57092,269742
1196.63908,437141
1198.70635,6932724
1199.55152,285106
1200.61288,563518
1239.64490,354805
1240.67650,2153255
1241.54470,213643
1259.65374,6171783
1274.72651,8226094
1275.64454,606508
1290.72201,261012
1296.70733,165676
1296.74335,371242
1306.71628,299262
1309.68127,572690
1312.74817,632180
1336.72293,743982
1342.71253,617716
1346.64612,282454
1349.69708,553415
1353.67702,487044
1361.66044,668502
1369.67164,353123
1379.61983,264121
1407.65496,490436
1410.73815,283518
1417.73024,172589
1430.79163,330000
1452.84345,280060
1453.74440,2723130
1459.69355,2100456
1482.73789,756102
1483.84982,177656
1515.75104,3444022
1516.70340,198235
1550.81563,416601
1553.86562,892998
1577.89037,434204
1586.75702,1591225
1615.88214,1263911
1623.84140,454998
1633.78416,478193
1643.81855,1181638
1655.80021,507997
1655.81481,708802
1690.98970,594204
1692.90457,776656
1695.89310,201499
1706.77297,158476
1719.84321,262202
1725.00756,520221
1727.89367,661149
1728.94020,704547
1733.99166,327927
1736.88736,553756
1743.82180,2899411
1757.90749,591889
1759.81420,1302391
1763.80393,1559116
1768.99788,234849
1772.86442,233049
1775.81035,605537
1790.89346,8350697
1795.91093,6779926
1804.89477,2259738
1821.91850,429505
1829.95874,179947
1842.92574,1392933
1847.94451,1084817
1851.04593,182785
1856.00053,394863
1864.91606,2033263
1875.94385,1343166
1876.89929,715657
1883.99525,306403
1887.99432,957661
1892.92187,1143514
1896.97119,635809
1906.99069,452337
1910.04688,515159
1912.96822,344547
1919.01578,321795
1934.14140,391731
1944.95405,802556
1954.06623,364479
1961.98059,16288835
1963.87891,605962
1969.87115,1025699
1974.92690,667526
1985.86805,428477
1995.97695,508412
1999.09810,1611164
2013.00111,8603081
2028.06522,6431312
2044.05814,5845082
2056.97930,16488933
2060.04472,483034
2065.96634,1434678
2081.96208,907284
2089.00697,948363
2095.03225,289089
2097.11923,209387
2105.00161,4189692
2105.10335,1650105
2108.04912,1626589
2117.01591,425337
2118.14115,437776
2120.99916,1697966
2123.09484,1186954
2131.11732,6534985
2139.08788,1149107
2146.94148,247027
2156.12157,219999
2163.08176,603922
2177.09762,590435
2183.12840,682079
2188.02882,5619439
2198.97285,3591538
2203.09970,317779
2214.96973,2054386
2215.07168,3188640
2222.15986,316985
2227.21862,384667
2231.06918,1708686
2232.15417,1179588
2237.17043,385075
2246.02440,3079934
2246.13628,1304773
2250.11378,530396
2262.01603,880353
2266.05990,763561
2271.17294,614751
2289.15164,1034255
2294.12941,588947
2298.17653,684011
2307.15466,506874
2318.11733,386135
2322.12113,1561287
2322.23435,467402
2327.21917,940826
2331.16004,989827
2346.15448,496464
2349.20949,337672
2353.11298,629658
2361.27233,1916280
2364.17248,457222
2369.21495,1217094
2371.15242,895262
2379.24692,481636
2383.13264,1449214
2394.24177,520480
2403.18712,860065
2405.27813,389939
2414.23987,777317
2420.19667,331320
2432.19972,368527
2435.28653,601519
2438.18485,627587
2455.22637,1899338
2461.15567,3747891
2463.10044,534870
2463.25007,1388991
2471.21786,1194292
2477.14923,4369097
2479.13907,998963
2483.19002,3133579
2499.18581,2953490
2506.35366,233906
2528.22868,497483
2532.17694,2008275
2547.23839,765983
2548.17148,1822371
2561.16932,817879
2565.24193,1150676
2572.22850,1467308
2576.22631,3145581
2592.22028,2533318
2610.29261,827764
2632.24329,1129893
2651.25212,5271991
2666.24621,2019653
2672.34027,1386935
2689.25933,3755440
2705.25194,20836142
2719.23369,11091142
2727.23910,481355
2752.28039,667507
2756.44579,448970
2766.32622,16241054
2773.35124,1244209
2785.30209,6941510
2801.29332,3063569
2815.39139,639048
2820.35367,14766129
2842.33384,423262
2867.42594,815415
2883.42316,20250058
2899.42241,2759583
2905.41246,359911
2969.58279,570950
2987.38774,16430740
2987.58412,1772801
3009.39883,1240793
3036.40439,419673
3052.40014,737730
3084.41116,5899670
3100.41023,17505408
3116.40909,6723406
3123.40198,331727
3153.46643,12204840
3168.45756,375960
3169.46046,13508479
3181.50451,861777
3183.61999,1759461
3185.45203,965883
3196.61321,1104189
3197.49823,1217421
3210.63141,1418655
3225.54087,1471287
3226.62299,1934955
3241.53122,3005410
3257.52175,541883
3327.64237,4521431
3343.64011,588693
3363.64867,537981
3387.60348,993939
3392.72668,815340
3406.74458,459177
3408.72329,2038358
3420.71939,405335
3454.70996,450351
3484.68119,239563
3501.67404,892102
3517.59696,947820
3517.67223,920981
3533.58613,505330
3533.66553,546880
3549.65253,1314826
3568.63647,729406
3573.69906,914821
3597.68949,2844497
3611.59587,969566
3613.68272,2837815
3644.79753,1571170
3660.79009,787592
3681.56757,1159073
3706.73645,6502393
3737.68043,373019
3752.60880,2884226
3771.75662,461739
3794.66311,372104
3803.77561,475212
3819.76757,2462397
3835.76797,2633239
3853.78499,306737
3866.78942,689478
3882.78224,2104689
3898.77829,1155014
3910.88432,478384
3916.99936,746179
3926.87768,702794
3935.98052,435757
4002.88767,415625
4019.91815,2623368
4138.08147,341489
4274.02682,435028
4290.02012,1390064
4306.01181,825254
4391.11938,585531
4493.13754,485783
4521.06052,725855
4835.26908,564023
