m/z,I
1010.50185,274013
1048.55376,260035
1105.57519,4102976
1108.50223,157907
1121.58151,2180477
1153.52393,337413
1154.58056,332139
1162.62181,529455
1163.59190,922574
1167.57561,442361
1176.61318,257487
1180.64361,2123014
1183.57083,340245
1193.62772,214797
1196.63880,1013607
1201.58439,402476
1207.60688,230149
1226.57713,489772
1239.64450,698031
1240.67638,240676
1249.59310,348424
1261.59249,147456
1280.62377,226184
1319.63451,265113
1335.62931,325893
1417.72952,493752
1435.68245,3836823
1453.74337,15593463
1459.69334,3461518
1469.73888,694780
1475.72622,232511
1479.79610,884303
1482.73755,204092
1550.75710,1242414
1561.79821,4998401
1586.75640,2323366
1604.81411,359026
1608.74105,202689
1609.78980,383870
1637.75239,226420
1655.79997,592946
1683.80968,668956
1698.82081,896421
1706.77325,2077468
1710.86922,245681
1719.84110,257303
1726.86523,622686
1758.73454,395553
1759.71766,336071
1768.86276,262583
1779.82519,218682
1795.91006,1265490
1798.81616,795740
1799.79883,763007
1803.91015,6654419
1804.89442,5520278
1815.79343,460672
1832.86057,2595274
1848.85513,2597959
1892.92174,2075049
1903.93751,341354
1919.95944,440556
1944.95341,1221146
1961.97995,23319564
1990.97136,1546687
2005.95763,718995
2012.95256,227496
2014.95889,449385
2028.06472,9785410
2039.95505,1355030
2044.05702,7416755
2044.99009,1581044
2056.97815,23089582
2060.05035,242932
2072.97728,793017
2073.01274,786810
2089.00598,4586777
2105.00016,5405094
2120.99845,1537805
2131.11589,9783229
2133.98459,274690
2146.94232,349990
2150.96901,215445
2165.04712,315685
2172.03517,1108718
2179.09514,1105812
2188.02814,8694289
2214.96831,2805658
2230.96638,1870281
2294.14558,848948
2310.13772,1070860
2323.08248,226071
2332.11635,270594
2341.17993,315007
2348.08656,1355467
2356.19129,527453
2364.08477,932495
2380.06541,267423
2409.14559,2289403
2439.23047,1489484
2451.20434,1403571
2455.22463,5583367
2467.19650,3460298
2471.21654,693046
2483.18904,4095954
2499.18441,1519536
2548.20457,590769
2550.14884,996582
2564.16134,1218244
2565.23975,4457512
2580.15197,689721
2592.21988,689417
2637.30613,345555
2673.26556,4117183
2689.25777,12059889
2703.23770,32333480
2718.22845,342672
2719.23175,9108677
2727.24002,342890
2749.30889,1857000
2757.16119,406390
2766.33164,12406503
2767.32001,15230868
2785.30138,4993634
2801.29301,5857756
2820.35173,15114612
2857.35490,356739
2867.42427,3657814
2873.35372,831331
2883.42184,25745824
2889.35117,1639707
2899.42198,2427653
2915.41829,326772
2917.31451,2700948
2918.29332,2679068
2946.33530,399838
2971.39542,521039
2987.38654,34238088
3003.37777,778409
3009.39668,1097170
3017.49199,924436
3020.40763,682214
3033.48416,4947676
3036.40195,2118285
3045.39889,385759
3052.39751,2318303
3068.42168,520681
3069.39073,817940
3084.41160,3014895
3100.41021,10904072
3116.40911,13182295
3132.40459,5060565
3137.47085,474942
3153.46688,7848967
3169.46090,6620585
3185.45145,653014
3225.53959,2450602
3241.52998,4505109
3257.52047,743020
3387.60588,565742
3517.59420,602723
3549.65363,726552
3681.56615,1507090
3736.61002,305858
3752.60580,1878511
3771.75377,318034
3787.75478,352472
3852.73522,389905
4096.94515,3088579
4112.94034,2549594
4127.93158,362941
4139.07769,527246
4274.02814,643342
4290.01839,901690
4306.00638,390001
4375.12104,1197384
4391.11327,1666424
4493.13158,840821
