m/z;I
892.4628;694762
892.49911;289363
898.47381;223365
908.49408;148941
1010.5006;162277
1027.47917;194865
1028.08051;477639
1096.53765;208694
1106.55786;657777
1121.61621;376734
1136.6044;244277
1153.55852;219306
1167.5739;282130
1182.61019;179074
1193.55342;185090
1207.605;235778
1208.67306;550182
1209.65714;1043477
1217.66232;129661
1227.55868;166951
1241.65859;1494580
1250.61065;137631
1264.62633;230310
1267.67365;457459
1281.61702;201212
1295.63844;170782
1335.62831;381287
1339.65897;224051
1346.71687;291849
1347.62725;178445
1374.74711;231483
1403.72552;163466
1409.71125;429337
1416.68456;517908
1427.72603;11263544
1432.67994;383149
1435.67988;1737583
1438.65383;184826
1447.75236;560195
1483.71039;143855
1551.79587;366179
1561.79526;3604641
1562.77949;4210841
1562.82696;1315968
1586.75308;2277305
1589.77554;313853
1616.80128;1760636
1630.81622;110322
1648.82636;761355
1655.81168;295483
1656.75926;136534
1688.87958;649866
1699.88544;229856
1716.91209;2844210
1717.82709;485882
1760.90071;122465
1769.89125;928229
1771.93143;643426
1787.9001;465700
1804.927;7923155
1832.85684;1034949
1888.96163;155409
1899.98841;567190
1922.92885;2005691
1927.04794;870097
1933.96847;639922
1943.04234;300941
1958.96475;1519571
1975.99085;20580200
1997.98675;1905999
2005.96333;434881
2014.06769;1292440
2020.93985;468117
2030.06403;364649
2039.06403;2223061
2056.08891;33039572
2056.95569;178903
2057.95904;3360197
2062.98459;143625
2072.0853;11076779
2073.99158;736148
2074.97564;590438
2078.07135;406626
2089.98382;524580
2120.99763;290491
2131.11074;7698386
2153.09113;202189
2200.05803;183739
2216.05286;3023233
2258.07212;196735
2265.04618;418304
2336.20181;261366
2348.07763;171640
2348.15322;135999
2390.17533;1288518
2394.1176;175030
2398.24111;632197
2411.11615;619146
2471.20985;539913
2481.20551;615077
2487.20324;798253
2497.19907;794159
2502.20205;814598
2524.17861;257824
2566.19962;2949419
2582.2059;1835807
2704.21287;2915229
2707.23236;978125
2720.20907;510120
2759.27367;872985
2763.30605;884040
2775.27137;962604
2781.32427;12687905
2793.30168;589838
2797.31897;235159
2803.30514;226708
2809.37834;338870
2837.40658;623172
2853.40116;20311000
2869.39832;1503584
2875.3843;535233
2930.32622;221012
2994.3804;307009
3010.37831;1139948
3020.30086;608258
3033.47963;1129665
3034.46071;856537
3054.35803;722760
3101.3667;579318
3117.38639;1148045
3118.36277;2103806
3228.49244;939597
3239.63155;517576
3255.62428;256456
3401.55558;319598
3502.56921;883246
3518.55844;300108
4022.80284;438732
4028.98858;415059
4036.8604;1640229
4052.90091;303560
4069.8983;1214458
4085.89139;1562176
4101.8878;453060
4154.06498;283218
4187.03687;245299
4203.03133;306767
4303.997;487235
4349.07752;1319647
4365.06979;2137366
4507.12262;1058474
