m/z;I
698.35835;165169
773.71687;104038
784.44314;669800
836.43885;392601
837.42265;299128
852.43372;255621
884.67249;114533
892.5012;340001
950.47024;372536
988.03175;1133255
1008.18807;104269
1010.50315;163837
1029.4869;321287
1038.54581;314140
1040.59955;134013
1048.59067;213167
1065.56218;835186
1065.59795;1111645
1078.54065;528948
1080.50841;265039
1095.56697;5504096
1096.53867;306599
1105.57657;7390224
1106.56072;5303365
1108.07308;615718
1115.54589;375791
1116.49285;356746
1121.61831;157443
1137.56641;467707
1153.56157;344295
1162.62313;679270
1163.59277;1057875
1167.5413;196367
1179.6025;819604
1182.6129;579000
1193.66546;901159
1197.55115;158582
1199.64063;254943
1207.60804;143565
1208.67644;1737384
1209.66062;5232373
1210.58079;111851
1224.63467;720120
1227.56218;140874
1241.66196;7273269
1254.53665;213405
1261.59415;193329
1261.63042;276699
1267.67744;2103070
1273.70319;192043
1278.62037;278562
1281.62092;1269464
1308.67463;182516
1324.62577;151738
1374.75067;222829
1379.62197;317047
1390.73724;439614
1391.23842;408410
1409.71484;200040
1417.73146;514038
1420.68431;254196
1427.73047;23491230
1435.68464;13240032
1443.72554;767601
1447.75688;297912
1449.71285;195608
1459.69572;9218084
1473.6749;3835708
1475.75228;1259093
1493.73639;302784
1515.7333;170092
1532.78502;747918
1537.70506;153107
1551.27411;268097
1561.80031;8418022
1562.78384;15999989
1562.83199;5955311
1568.74788;177876
1580.7699;5074445
1586.75898;13286677
1589.77976;691964
1611.70181;259304
1616.8066;6334502
1637.7259;339520
1648.78161;2581104
1648.8317;2502529
1664.77634;1949615
1680.74927;138424
1683.81108;228404
1707.75959;935670
1707.77398;594461
1716.91705;436090
1719.845;1202195
1726.86828;746375
1744.71207;825703
1744.77669;232020
1766.77991;264913
1768.8648;399131
1783.8055;2995713
1787.90673;934476
1791.73236;260375
1799.80211;2949714
1804.93341;13154031
1816.86847;4056877
1819.89724;376786
1831.94443;539343
1832.86305;8461856
1847.90282;293680
1848.85886;3238707
1851.93133;409446
1880.91448;419809
1899.8967;493037
1899.99499;414202
1901.86539;843301
1905.90872;1054614
1915.99235;238992
1922.93638;13042455
1927.0539;166125
1931.97021;406931
1933.97616;1180625
1934.88657;214803
1939.89322;344699
1945.98861;354812
1951.92664;489817
1956.92067;992585
1958.97319;4428608
1970.8588;235708
1975.99772;51418852
1991.99533;1459957
1997.99498;4362630
2007.98738;340063
2013.9399;1054354
2014.07504;1095890
2015.94544;2626761
2020.96235;969167
2027.88097;491243
2030.07317;723420
2037.9213;1404185
2039.07193;3022075
2040.9418;7279063
2049.92902;455467
2056.09643;34659044
2057.96669;97007744
2067.93764;1340707
2072.09448;18775608
2073.0139;1349705
2074.00127;6252878
2074.98551;6369376
2078.08057;411123
2079.94959;612969
2083.93274;1120739
2088.08716;468610
2088.99201;780031
2089.99394;10632358
2090.97803;10809096
2095.02002;2034872
2104.98528;250810
2105.98822;3006286
2111.01523;444954
2118.09924;776916
2119.89238;3323595
2121.00629;3196112
2124.91757;436809
2131.11898;65022064
2138.91352;623382
2147.04963;494245
2147.11177;1401273
2148.09562;232111
2151.03434;988929
2153.10029;612676
2159.99976;882177
2163.10849;297281
2164.95886;745041
2173.039;814289
2193.03924;663845
2199.03511;838111
2199.95768;5004337
2200.06693;1239255
2208.03494;1026502
2216.06207;104661536
2221.9811;664502
2227.99203;3591467
2230.04798;686090
2232.0596;8118928
2247.04886;549231
2256.05586;4365962
2257.01649;719492
2262.11561;1513654
2264.10481;655386
2265.05597;3389376
2272.05185;2772470
2275.02778;1534908
2277.984;772466
2281.05293;383683
2298.08239;319859
2308.12686;1570656
2313.09753;321723
2322.07903;740129
2325.16032;265247
2331.06051;413840
2341.15578;371923
2348.0912;4069101
2364.08858;8522733
2369.11804;579134
2374.09873;260546
2383.95775;1779070
2385.11317;638491
2390.18627;1136200
2395.12951;449516
2398.25057;291512
2411.12494;2438881
2416.1072;592074
2447.19555;194252
2453.18494;322071
2471.22174;3770742
2478.12467;1510550
2481.21455;2538993
2487.21339;10361321
2495.07936;1401974
2497.209;11188828
2505.09156;346249
2508.19566;450994
2510.08084;1066042
2513.20677;13856832
2529.20412;507389
2533.19021;413670
2550.21863;3057261
2566.21216;3089106
2573.26696;212278
2582.21422;7584833
2589.25882;475757
2600.16924;237064
2608.27964;903053
2612.15814;241965
2625.238;436845
2652.23765;2480329
2668.22782;766527
2690.24335;1818431
2697.27085;212087
2706.241;22445846
2707.2232;10979132
2714.25248;245602
2717.08681;302701
2720.22095;7706332
2736.2168;340378
