m/z,I
758.36646,655032
767.39225,237426
774.36112,334169
784.42936,202349
785.37676,911229
785.40798,295787
816.4072,216967
836.42242,3361441
842.49452,1256653
852.41678,3746305
854.39598,2241496
868.44743,3165955
870.52453,320788
895.4462,208230
898.49334,3446862
902.4341,930153
1045.54011,470514
1079.5451,393948
1084.538,233421
1088.51184,891040
1095.53942,10040700
1099.52311,732872
1105.54478,1348264
1111.55878,280541
1115.51666,1900089
1116.46466,1818194
1125.50125,468103
1127.5293,318287
1161.54277,431983
1173.53127,138766
1179.57032,177295
1182.58117,975364
1184.46263,985708
1192.60155,582771
1201.55344,507088
1208.64283,2047624
1223.57944,206577
1244.55277,552006
1248.51179,1820064
1264.50577,1912052
1267.64047,2396777
1328.61036,563099
1332.61608,1120557
1344.60423,311081
1354.59646,226454
1387.65111,304811
1427.68386,2340709
1435.63701,8013395
1459.64678,10476952
1473.62535,4306173
1474.79054,372565
1492.64354,665021
1495.60487,165565
1496.70378,307545
1512.69835,332647
1532.73134,2262002
1560.76085,1176247
1562.72867,1880216
1562.77625,3544888
1580.71267,5247005
1585.71708,2613222
1586.70119,8636243
1615.76258,1427429
1628.66904,1931020
1636.78287,497972
1643.67803,1811811
1644.66218,3049669
1648.76994,8143940
1655.73903,19662874
1664.71357,722611
1666.6418,130625
1674.75124,1854947
1677.71993,782973
1686.81466,419056
1690.71616,1920626
1701.66868,805498
1706.70968,5512548
1719.7779,1519146
1726.80036,740744
1728.68997,261259
1742.67502,1423177
1743.65933,2870946
1758.66717,896339
1759.6518,1944787
1782.74957,797828
1783.73349,2713423
1791.65822,416078
1798.74389,1385425
1799.72843,4351242
1804.85953,493013
1812.81625,3371517
1816.79344,1592447
1821.77637,1451276
1822.76047,3386549
1829.83045,692004
1832.78725,4913103
1845.82451,962880
1848.78126,2207202
1854.76889,360302
1863.79693,369233
1922.85196,2585273
1958.88497,511747
1975.90914,23229140
1989.80471,185083
1996.92015,3266940
1997.89003,1867631
2007.84916,586917
2019.88441,12593629
2039.86142,532862
2041.86461,1016813
2056.00048,2876154
2056.8863,23461164
2071.99624,1139777
2072.91871,4027555
2078.8677,1423997
2088.91069,7764913
2093.93684,378997
2094.82842,192917
2100.84592,247512
2104.90403,2265593
2110.89121,521120
2119.90793,239600
2131.01621,9796386
2133.88482,424569
2150.86833,231558
2150.92951,308842
2152.99443,694089
2168.95635,188523
2184.94703,272821
2198.86644,6710768
2199.95489,258828
2203.91452,267999
2210.99663,516832
2214.86138,3290034
2215.95049,9374495
2220.8487,455574
2231.94612,1489920
2237.93181,568822
2261.01801,1194300
2299.93917,382700
2307.02065,609920
2315.93203,1038535
2323.01195,192874
2337.91034,311208
2347.96518,328481
2363.96135,484481
2383.82834,293295
2410.01007,990827
2420.05079,329079
2447.07761,274800
2471.08297,504108
2481.07492,630910
2487.07301,2363138
2497.06839,2818838
2508.94379,1011368
2513.06342,3283357
2519.04878,249431
2535.0465,296711
2548.06478,1033637
2570.0422,342572
2594.02187,220665
2689.10066,491467
2705.0912,5808820
2719.06892,1300935
2727.07234,575215
2781.1634,2309667
2792.1549,821132
2853.22982,4421410
2869.22428,1054263
2875.21045,411497
2880.20401,638300
2988.1099,361678
3001.1676,468101
3017.15771,2542668
3033.28392,1525758
3084.20289,455110
3100.19832,2354774
3105.27972,211570
3116.19349,1203862
3122.17911,255339
3124.27608,209154
3167.25752,269835
3183.24943,1057040
3227.28948,973374
3241.1689,168860
3243.27721,191260
3399.3505,274705
