m/z,I
836.43798,660692
868.46401,566716
898.47463,374469
898.51102,761746
927.17745,442772
1048.59034,236208
1054.49215,358835
1088.59644,231491
1095.56596,930039
1105.57541,7702475
1116.49207,461616
1136.60623,304641
1139.54420,262955
1146.56580,299433
1150.59624,217109
1153.56044,712868
1163.59233,1224470
1165.52428,672422
1167.53984,281532
1167.57631,624139
1182.55057,349724
1182.61178,658835
1183.57050,725155
1191.64884,491373
1192.68040,1597522
1193.51888,347488
1193.66404,592047
1201.58502,393853
1205.59200,306730
1207.60706,345591
1208.67509,3582387
1217.66433,269532
1227.56106,229684
1240.67661,632437
1241.55876,371464
1241.66063,1478213
1251.64508,164542
1254.53542,250139
1261.59273,284625
1261.62929,547477
1264.62893,419942
1267.67591,1269278
1273.70223,365589
1281.61917,971907
1296.58201,191526
1324.66875,425421
1328.64868,266778
1343.67109,454381
1374.74970,339484
1392.65106,195950
1392.68765,389098
1416.68770,837117
1417.73039,1199213
1420.68235,610976
1427.72853,19861572
1435.68277,7689258
1459.69379,6100721
1473.67330,3051209
1483.71457,350495
1496.75293,326552
1504.77622,442241
1515.73087,280938
1532.78301,1319768
1561.79852,12923591
1562.78246,7656201
1562.82997,3865002
1568.74565,238167
1572.75186,276024
1580.76858,2752193
1586.75694,5438835
1589.77861,726769
1599.82540,528511
1615.82074,4116491
1616.80469,1346662
1637.72414,354181
1648.77986,506281
1655.80015,1471217
1665.76257,305921
1679.76350,297120
1688.88348,427983
1698.82138,443601
1699.88828,173895
1716.91563,1926138
1735.79963,336765
1743.72545,463903
1749.83191,722090
1758.73579,553306
1759.71936,736187
1771.93572,1414183
1783.80296,610571
1784.85601,561985
1787.90474,724198
1788.76880,295370
1798.81588,1164303
1799.79968,1776223
1804.93091,11848777
1816.86577,3396339
1822.83303,316860
1831.94120,395729
1832.86080,7188305
1848.85638,4128251
1888.96399,422452
1899.99318,595489
1905.90482,450971
1914.94400,228007
1915.99093,313454
1922.93345,7160978
1927.05237,201145
1933.97319,1088731
1957.98453,774030
1958.97024,3692785
1975.99497,69807576
1997.00741,2529055
1997.99229,6871421
2014.07213,959146
2014.95881,859036
2015.94232,483313
2019.97405,1706961
2029.91745,586113
2030.06940,576723
2038.08520,2453438
2039.95593,2815685
2040.93979,1114175
2056.09259,45967600
2056.97895,34528928
2057.96394,16736484
2066.95219,519640
2072.09110,20167794
2073.01374,5846291
2073.99851,2691605
2078.07771,402954
2081.96255,343743
2089.00675,6050523
2089.99184,2524577
2096.01846,399901
2105.00149,1347400
2105.98566,539472
2110.01522,533905
2110.89769,487833
2118.09654,550696
2126.01059,370406
2131.11630,30107074
2146.94266,890645
2151.03181,398769
2153.09495,420404
2198.97329,2097180
2200.06234,983576
2200.95935,475749
2214.96961,3388395
2216.05950,19976766
2227.00587,390278
2232.05676,4563638
2244.02955,865044
2256.05289,1433967
2261.12851,2215753
2266.05760,319628
2272.04560,715583
2290.08877,668449
2291.14569,640897
2298.07965,438122
2303.03154,458144
2307.13943,1883727
2316.04714,639713
2336.21040,219179
2348.08676,1610155
2364.08561,1458733
2373.10971,833240
2390.18277,497023
2410.13788,3549418
2442.13193,452288
2459.13070,415850
2462.13804,715576
2465.21998,785288
2471.21822,2343080
2481.21177,4670307
2487.20973,3686912
2497.20647,8581962
2501.16237,1279711
2510.08521,605402
2513.20413,6132606
2526.08347,328922
2532.22196,213147
2539.22249,239037
2548.21225,829608
2550.21591,2684126
2566.20776,6880970
2589.25728,518825
2594.17024,490757
2624.23687,390676
2651.24929,3650812
2677.25357,582042
2689.25932,7243328
2704.24544,56521840
2706.23443,7636822
2713.24746,386840
2719.23358,11387723
2720.21303,1615988
2742.25356,2628323
2743.28812,2211912
2759.28760,8472271
2763.31823,4672934
2775.28160,6988612
2781.33554,51314376
2792.32800,13718522
2803.31404,536273
2809.38897,574892
2835.24669,1029151
2837.41509,1630387
2853.40916,45127232
2869.40595,8122810
2876.39549,420961
2880.38818,1345456
2889.35520,487625
2907.33518,508316
2972.30962,542405
3001.36831,3090293
3002.34677,1917132
3009.40369,2755967
3010.38161,1558601
3017.36143,13778244
3018.34047,8358311
3033.48729,9406339
3036.40650,1426064
3052.40270,3759723
3069.39996,688150
3084.41556,4776210
3085.39293,1184102
3100.41307,24192326
3101.39063,6065905
3116.41099,23286458
3117.38854,6714076
3138.39626,411901
3154.33479,435655
3167.48480,4093458
3183.47665,14533255
3186.41709,1226189
3199.47090,1632885
3211.53037,1222038
3212.50269,517154
3227.52287,6505663
3228.49597,2853170
3243.51528,1038289
3383.58304,311027
3399.61178,2313806
3400.58743,2172636
3401.56249,931230
3502.57988,2439154
3517.60016,1099208
3518.57064,1190548
3665.57712,778833
3736.61494,653578
4036.89574,844771
4068.90879,262711
4085.91118,372347
4096.94325,804177
4112.94356,1323372
4128.93726,239762
4286.05974,1003773
4302.05234,2105978
4318.04703,700199
4348.10860,815595
4364.10390,1398147
4507.15012,331904
