m/z,I
1003.55365,778493
1019.50695,346684
1029.59424,448636
1030.55346,528215
1036.53265,5895998
1039.48849,223244
1064.61083,710915
1082.59976,1036693
1095.58404,355047
1096.61567,781016
1104.54686,511939
1107.54407,2071202
1109.48983,203419
1109.52700,1123250
1120.57576,765609
1165.58594,723342
1194.61157,334983
1198.70683,406463
1205.51923,503501
1231.64413,3941662
1263.69540,669886
1340.69221,1624298
1357.71998,3167741
1379.72952,1751451
1392.74835,263716
1405.73370,3947055
1434.77205,6780952
1449.74626,397475
1456.79226,4302270
1462.79250,1039449
1488.78329,6541557
1504.77688,321087
1509.72062,13115846
1544.76518,416242
1562.84562,390689
1638.86228,6177132
1656.81990,315468
1670.84221,281917
1673.84791,598829
1688.85362,30943422
1704.85019,219272
1707.73899,422348
1708.72230,431206
1725.75066,17558084
1740.80238,807923
1747.73111,322705
1797.82290,1015669
1813.81447,658834
1822.93606,542408
1834.97813,390694
1856.98926,1545051
1873.94540,1466889
1890.97313,12375298
1891.95785,2911935
1964.91138,12227533
1973.90420,417118
1979.03530,1182886
1988.02624,303178
2005.05061,880121
2013.08776,6373966
2014.07210,1881728
2030.04876,6920405
2036.98018,713757
2040.11003,994266
2047.07304,45911468
2047.89711,1900673
2048.05919,11498772
2058.92400,221338
2063.06902,380299
2069.05570,595897
2101.98240,576294
2103.09944,468983
2151.09968,2152542
2163.08526,996453
2167.10125,3558498
2183.12879,1959591
2185.96923,3797510
2199.97868,345776
2209.97048,875083
2231.19911,1022921
2248.17245,1229318
2254.15078,524301
2268.03901,669091
2269.14240,773254
2279.19873,4207774
2280.11228,564959
2282.17469,882400
2286.17175,1655544
2295.19709,6116654
2309.06829,3062240
2321.09911,711693
2348.10027,497358
2355.08952,448011
2370.29591,364491
2375.05762,1365497
2387.23442,2041630
2404.27064,2930691
2412.26575,456777
2419.23619,651256
2432.24971,1201443
2450.24994,1630482
2454.23469,461633
2459.15753,1446041
2461.25623,4846193
2465.17211,655701
2475.14883,586096
2487.20634,1148036
2519.29542,1138614
2528.05335,334141
2528.21695,1002610
2535.29738,739131
2540.11155,472217
2546.06491,14332787
2584.16674,352895
2588.36490,627406
2699.35947,209717
2721.38958,445785
2735.21827,432962
2836.26376,266494
2863.22528,1216062
2935.35772,1342624
3138.50051,794056
3150.48854,419259
3153.49319,682869
3229.54724,576921
3245.53749,1323861
3294.65521,412426
3452.61832,208014
3469.64688,3094728
3483.90217,1302007
3526.79828,823514
4186.92580,614660
4366.17811,460053
4388.16264,1098509
4404.12942,451674
