m/z;I
811.40657;133037
836.43829;629033
837.42257;172256
853.41722;194810
868.4647;569376
892.46434;618777
892.50076;280720
898.51158;346703
899.49519;459347
908.49592;174673
1010.50237;230599
1023.48588;125697
1054.49219;170948
1079.52408;140351
1095.56668;1121687
1096.53899;371684
1105.57588;4530630
1106.55995;2015984
1108.50382;176939
1115.54511;166245
1116.49233;475361
1121.6188;220440
1136.60716;200427
1149.53039;184258
1151.58135;144241
1153.56046;395469
1162.62268;466737
1163.59227;654080
1166.55587;291365
1167.54046;318845
1167.57655;234192
1177.56858;314530
1178.55241;408791
1182.61275;739667
1183.57179;407498
1192.68062;370101
1193.66466;342993
1201.58615;348986
1202.57081;235481
1207.60772;157247
1208.67561;1877879
1216.68035;166449
1227.5622;308453
1241.66129;1615011
1250.61306;163604
1254.53683;206918
1257.55335;147431
1261.6295;336047
1264.62978;282160
1267.67655;1804914
1273.70358;139115
1281.62003;1109406
1295.64215;360193
1323.62998;162548
1323.66674;175015
1328.69788;475616
1332.65576;301109
1335.63097;621368
1339.63272;268589
1339.66079;269495
1343.67246;319587
1374.7496;186674
1377.71484;157220
1379.61975;296250
1386.77523;183628
1392.65098;161919
1409.71546;242937
1416.6889;583950
1417.73114;690860
1420.68342;304064
1427.72958;18388258
1432.68316;865858
1435.68359;6892229
1443.72432;593037
1449.71048;184123
1459.69477;5383425
1473.67429;2634584
1492.69409;238121
1515.73227;206129
1532.78396;571605
1537.7041;229594
1560.81629;1740585
1561.79811;5824594
1562.78395;6753770
1562.83136;2690837
1580.76923;2068783
1586.75881;6532389
1589.71931;169724
1589.779;679715
1608.74138;346114
1616.80599;3292536
1646.7422;160995
1648.83091;2329121
1655.80206;1221442
1656.76495;166649
1680.74738;268157
1683.81031;465362
1687.77811;167078
1688.88465;225118
1706.77422;1392823
1716.91652;764216
1717.83255;491757
1726.8676;579164
1735.79973;287758
1760.70526;411079
1762.91033;224561
1768.86313;421096
1784.85741;719456
1799.8008;1989804
1804.93188;10105365
1813.87218;304717
1819.89682;251590
1831.94271;292203
1832.86169;4212065
1844.95174;194439
1848.85727;5780072
1899.99263;382403
1915.98985;238376
1922.93376;3836305
1931.96804;335407
1933.97373;988481
1945.98624;144087
1958.9707;2047629
1975.99583;36028956
1984.85249;151768
1991.99305;545616
1997.99277;3753528
2005.97142;784099
2014.07264;1056852
2015.94209;572629
2019.97526;1083315
2020.94123;302016
2029.9832;736363
2030.0698;720434
2039.06924;2116860
2039.94449;1125355
2043.87227;266134
2056.09379;38493020
2057.9641;16395429
2072.09162;23671296
2073.99858;2237783
2088.08575;421849
2089.99151;4360906
2099.99199;511291
2105.98248;1485823
2115.99199;1118582
2118.09641;356898
2121.00182;792036
2123.9252;271752
2131.11679;38851076
2146.94283;885184
2147.04884;264040
2147.1105;633948
2151.03234;394994
2153.09844;390004
2154.90273;530542
2163.10546;255298
2169.07303;178403
2171.03026;228176
2200.03922;220253
2208.03217;328524
2215.95481;2516099
2216.05966;13885952
2216.93432;1173863
2232.05677;3441443
2238.04504;357627
2256.05227;3636154
2261.13431;783024
2265.05469;1478131
2272.04855;2474397
2291.14598;260904
2298.08029;423861
2304.01339;674361
2307.14173;3138280
2308.1178;1447208
2322.07841;679082
2336.21091;418702
2342.15591;343784
2348.08821;935142
2364.08544;1131623
2378.09099;550878
2390.18218;1224310
2395.13016;347867
2398.24713;651801
2410.1427;2504602
2411.11775;3151325
2416.09533;282361
2431.25502;278576
2433.10989;320167
2459.13272;345852
2471.21638;1802403
2475.12532;557898
2481.21364;1146705
2487.20877;4777153
2497.2064;4387707
2502.20774;1023324
2505.08941;355807
2513.20315;4807903
2524.18708;692625
2549.18562;1109751
2566.20784;8734662
2573.2661;424812
2581.22351;9265688
2581.2496;2091475
2583.19761;7101621
2589.25766;1558828
2608.27125;429409
2625.22732;334243
2651.25241;1520610
2652.22524;1404503
2667.24341;628714
2694.24738;690231
2704.2539;13861224
2705.22619;21046292
2719.24063;4443023
2720.21272;7145806
2739.3075;1137508
2742.25659;1231444
2751.40002;675185
2757.25187;872825
2759.25548;3139595
2764.30503;2568618
2775.2785;7702275
2781.33349;51211580
2792.33671;2194858
2794.31215;1745945
2797.32855;967047
2803.31189;347137
2809.38946;641831
2813.32179;487114
2825.3776;229211
2836.41847;464780
2838.35709;232236
2843.24385;241157
2853.41033;36615020
2869.40657;13157791
2881.37379;1659716
2895.42476;207776
2911.4197;250495
2930.34098;1334563
2946.33466;2470217
2987.29305;316853
2989.28361;1065852
3003.33416;668163
3010.38822;2705333
3018.32985;10815217
3026.3537;629642
3034.47416;7853930
3038.37791;319121
3053.37833;3949472
3065.47348;278908
3069.37762;285252
3095.47034;184407
3101.39164;2720361
3117.38677;27295248
3133.38159;1399980
3166.5471;413103
3168.45387;1318014
3174.44216;309903
3184.44481;7191148
3200.43798;793278
3212.5162;774887
3228.50476;8219265
3243.3736;272529
3244.49823;1679868
3260.48723;180663
3272.47812;453178
3284.47955;196780
3370.53376;364774
3382.54027;459452
3400.58001;5656225
3443.58943;248061
3494.73794;204114
3502.5827;3204492
3518.57808;3566865
3534.57043;855458
3562.62685;373873
3577.67729;288268
3828.74195;208244
3855.73447;254331
3872.75334;543223
3900.77696;237195
4036.89267;1374127
4085.91555;346725
4100.90664;226531
4113.9269;736937
4129.92427;271228
4154.08211;362972
4287.04802;456676
4303.03354;1504821
4319.02721;926676
4349.09824;522472
4365.09785;1939662
