m/z;I
694.9647;249126
695.30359;246762
697.16935;124748
699.1;128287
699.44651;324266
699.79393;1288540
700.09486;113548
700.12095;111420
700.14197;1371434
700.34214;117547
700.44335;472654
700.46012;124305
700.79271;510110
701.3941;120997
701.4369;111580
701.73255;114015
701.85285;118232
702.44677;121099
703.30071;136648
703.54065;111330
703.83314;114412
704.23225;118558
705.05306;117725
705.43831;115219
705.55073;111881
705.59038;118772
705.73442;145064
705.95247;113669
706.13426;112149
706.36693;119087
706.43436;114374
706.45051;112293
706.50165;116102
706.7553;130455
707.09109;119800
707.50684;139664
707.55433;114734
707.69814;112366
707.7832;122975
707.84312;124729
707.89164;135074
707.96749;133030
708.1936;111700
708.32774;113319
708.3546;117517
708.4462;141761
708.4881;120395
708.50874;111600
708.53451;132553
708.70373;147016
708.70685;115094
708.88314;116150
708.9274;121173
708.96462;115281
709.06968;165389
709.14581;114402
709.20309;126190
709.36495;126985
709.40517;138016
709.40695;123329
709.51823;135452
709.95393;139197
710.13599;116361
710.15684;118195
710.24203;115638
710.37668;142433
710.39151;117899
710.73759;132501
710.89362;111635
711.07102;119996
711.18529;111927
711.34409;136521
711.35445;124542
711.44486;120196
711.69351;119559
711.71048;114866
711.76915;119665
711.93592;124590
712.05228;118183
712.27351;123843
712.33294;126571
712.36373;111901
712.49063;118272
712.72704;142959
712.81815;131061
713.05583;118947
713.11047;116188
713.18365;115785
713.18766;115352
713.24619;120151
713.28121;121758
713.32118;121834
713.47053;112539
713.51935;139974
713.57691;119246
713.63847;113354
713.76058;118801
713.86287;117914
713.86512;140416
713.88189;282397
713.89866;122049
713.92812;122823
713.94428;118251
714.13385;111851
714.32631;116514
714.35465;125967
714.38372;168969
714.39945;149822
714.41858;128282
714.43497;125371
714.59949;119292
714.65007;112504
714.72445;133291
714.93689;155580
715.23862;114054
715.24777;112665
715.30349;127295
715.31049;152705
715.3287;112494
715.3726;126585
715.40217;132490
715.54227;121830
715.55821;116057
715.75076;126051
715.76254;154344
715.79029;123216
715.85892;118246
715.86424;113010
716.22224;144678
716.41902;112183
716.5129;128773
716.54633;111428
716.69607;113037
716.74851;126054
716.76821;118263
716.86967;123071
716.9201;123872
716.95959;115483
716.96206;114662
717.06885;119002
717.09166;139735
717.17627;116175
717.4756;129524
717.51968;116550
717.52286;128089
717.62366;129909
717.78651;119562
717.8598;160743
717.878;114880
717.92606;147459
717.93148;112187
717.95883;119287
718.22169;113487
718.26246;114471
718.33517;118169
718.45003;117608
718.55339;113648
718.57613;111885
718.5864;136802
718.67093;131980
718.81732;129586
718.84038;119824
718.91351;115234
719.08652;115831
719.18318;132525
719.24037;112234
719.30762;123450
719.36423;118191
719.38157;112486
719.56359;132082
719.63254;120647
719.6555;131557
719.89368;161196
719.92709;117347
719.97867;177858
720.03615;115411
720.07913;124066
720.12609;118475
720.13032;114396
720.1587;125288
720.21545;123255
720.31723;118780
720.33391;131172
720.36842;138238
720.37109;142125
720.89094;117333
721.0575;119083
721.07939;143064
721.19741;117228
721.21993;113525
721.31158;177862
721.33931;134422
721.36769;112113
721.44915;118295
721.52576;132804
721.56336;111671
721.74537;131972
721.78441;121945
721.81161;116297
721.8231;160838
722.01145;131693
722.07771;129142
722.11447;140804
722.23723;120947
722.27861;113392
722.30738;113432
722.39997;121789
722.50069;175181
722.51589;131391
722.63312;130149
722.68374;123804
722.70065;120994
722.71449;117178
722.74676;163309
722.90083;118668
722.9119;117833
723.00857;127152
723.02129;131723
723.07263;112798
723.12407;122508
723.18581;156887
723.19131;122467
723.43319;130518
723.46181;122279
723.48452;127330
723.57834;121157
723.59392;120333
723.68966;129468
723.70154;116511
723.84921;112749
723.87338;119652
724.03096;122094
724.04849;118025
724.11101;119445
724.16386;144189
724.2832;136081
724.32451;112218
724.51709;126352
724.85362;136123
724.91495;111292
724.98845;112566
725.13021;135234
725.13308;128812
725.16136;124086
725.17447;120669
725.22477;124135
725.4073;120511
725.45686;111852
725.4686;130721
725.51642;117627
725.5247;114840
725.65007;127778
725.72323;115164
725.81549;128119
725.87215;120281
725.93243;132533
726.02823;134736
726.13138;114054
726.29382;129356
726.37471;139413
726.38993;111401
726.51243;112927
726.63769;122581
726.7259;118363
726.73572;117209
726.81147;123994
726.85314;118091
726.90761;154282
726.9599;121434
727.03375;118341
727.44105;139665
727.47022;120632
727.50414;112918
727.54558;122380
727.55294;122115
727.62192;114984
727.63137;143774
727.66503;128364
727.68395;120601
727.77346;114760
727.80771;117558
727.8814;115198
727.88945;123740
727.90917;127669
727.93907;113498
728.02828;131006
728.03934;113961
728.09784;130269
728.15453;132666
728.30006;147255
728.33292;173227
728.34769;122844
728.49387;124647
728.65275;122088
729.01981;112975
729.21014;112946
729.3523;120845
729.49668;120155
729.54732;117941
729.60502;112919
729.61696;125712
729.6375;112248
729.64313;111440
729.86956;121275
729.91604;114936
729.9399;121854
729.97254;141203
729.97751;144540
730.02912;135880
730.09669;140775
730.21354;115149
730.24983;125583
730.27023;123958
730.27921;151471
730.29763;123107
730.31658;116338
730.32319;125505
730.37791;118997
730.58333;115555
730.75729;128871
730.85037;113434
731.00989;114072
731.08281;112492
731.11777;141768
731.18582;129557
731.19177;121530
731.20121;119330
731.24985;128133
731.4324;124101
731.47019;117434
731.55511;115671
731.74414;131787
731.84103;121120
732.23334;111921
732.29567;112799
732.31253;112599
732.42506;113222
732.48297;126630
732.60628;113814
732.61046;121765
732.62104;116983
732.77336;114086
732.78895;126431
732.79678;114479
732.81193;121114
732.99922;118759
733.28309;119028
733.3094;120470
733.31275;172628
733.44733;121383
733.58048;132549
733.62766;136846
733.78053;119697
733.83575;121256
733.8739;117615
733.89036;115379
733.91677;112936
733.92306;124359
733.94945;127336
734.06822;115226
734.10424;111430
734.2688;127624
734.48697;121253
734.54777;117932
734.67942;117208
734.74913;131892
734.91349;131300
735.04351;112894
735.1279;122378
735.24036;112109
735.2805;126457
735.33281;144182
735.38293;117222
735.39239;125907
735.4489;131522
735.45459;116924
735.60933;128269
735.61797;112197
735.67861;118076
735.76821;111859
735.79687;112945
735.98864;113012
736.00492;129113
736.12272;118196
736.18096;120309
736.20684;114229
736.37372;111674
736.62365;137741
736.68102;130804
736.77306;143219
736.86786;148988
736.97263;123978
737.01204;124124
737.03317;112136
737.08506;130736
737.21263;117045
737.21973;139000
737.25435;153538
737.32458;113112
737.33119;125662
737.36307;150546
737.58338;115785
737.58991;116890
737.69804;127262
737.70859;116873
737.94388;116195
738.0093;135233
738.03413;116477
738.14292;136467
738.19673;111366
738.37297;117431
738.47459;111456
738.5141;132625
738.54533;112041
738.58141;116032
738.63814;111650
738.66685;143922
738.70682;190309
738.70902;126372
738.7432;117966
738.7471;113470
738.79961;133676
738.81808;138753
738.87944;120284
738.92859;119991
739.01829;182894
739.02272;136008
739.02442;122642
739.07072;121154
739.17744;131108
739.2094;114069
739.48759;123857
739.62056;120379
739.64739;123990
739.6849;118644
739.77775;114886
739.96666;114768
740.10123;120937
740.35494;125530
740.39304;112160
740.40546;116879
740.68935;123767
740.79533;117037
740.84765;117292
740.88349;112402
740.95586;121093
740.96971;112223
740.98469;114510
740.98868;112032
741.01339;136763
741.07617;116809
