m/z;I
694.62691;123058
694.96465;274312
695.30328;278886
695.38309;79505
697.02542;106056
698.35826;127311
699.2444;81776
699.44586;111076
699.79347;181994
700.09422;106257
700.14159;176446
700.30283;83010
700.44316;178858
700.79276;190318
703.77175;84345
704.37145;83766
705.32073;102445
706.0257;80379
706.35243;96056
706.60711;90697
707.04809;87489
708.34735;135934
708.43872;85257
709.32782;88159
709.36282;89356
709.65068;85604
709.77553;81362
709.86686;79273
710.57832;79932
710.66145;94567
710.72496;82414
710.78547;89174
710.95208;87245
711.31736;86521
711.34261;98530
711.97345;83686
712.00109;102424
712.06299;85294
712.25941;82853
712.2903;80263
712.36342;83383
712.39789;91549
712.51303;82011
712.55773;82204
713.0148;85937
713.27906;90162
713.33137;88425
713.41288;95195
713.45797;92204
713.57157;79880
713.88204;120421
713.90372;80364
714.31223;79178
714.37624;79528
714.74886;84784
714.84667;85822
715.46996;90023
715.48549;83902
715.54952;91980
715.8383;82612
716.00828;78774
716.03839;82745
716.05286;95206
716.087;87209
716.2553;82057
716.41908;85941
716.62517;84414
717.3281;86236
717.47369;86226
717.55147;78619
717.78865;85988
717.79327;90341
717.86941;87712
718.01899;79457
718.1717;85350
718.38491;82462
718.55194;84069
718.62309;79022
719.20416;82830
719.30604;78731
719.31726;87539
719.5004;80304
719.50481;79934
719.92242;109955
720.00856;79608
720.10945;81251
720.17955;112440
720.29022;83131
720.33631;81722
720.36907;110827
720.62325;83931
720.73172;85910
720.77692;87745
720.81602;82164
721.09672;81860
721.16939;79083
721.41627;108906
721.54351;88036
721.56486;82841
721.58485;98349
722.01209;108593
722.23733;90738
722.38391;94068
722.45575;93123
722.67578;93490
722.74372;87309
722.76173;78659
723.06213;84317
723.10622;83420
723.27084;86596
723.33344;83454
723.36279;103799
723.39874;79986
723.55138;100310
723.56225;86373
724.34972;95218
724.50361;83048
724.55631;94541
724.75043;82178
724.83485;80169
724.89196;102063
725.27882;96864
725.37163;84577
725.5315;78850
725.60899;100519
725.68379;98190
725.72977;84266
725.78715;98327
725.85969;84201
725.89189;85445
726.10447;81031
726.2454;88488
726.42348;84075
726.54443;79471
727.30402;86550
