m/z;I
695.2992;134635
695.75406;113832
696.2947;126094
697.32644;127826
698.31022;266032
698.34688;120947
698.35801;190470
699.29437;122720
699.32775;126600
699.87776;124173
700.33742;163825
700.73616;122869
701.33979;300839
702.16966;123976
703.14832;112458
703.2915;121571
703.30771;112856
703.34142;125968
704.09002;121364
704.31371;122363
704.34987;116220
704.40869;124431
704.59148;172666
704.64232;119689
705.06851;114075
705.08183;112499
705.08829;120286
705.36804;178765
705.77245;117664
706.02197;115337
706.30167;126080
706.33537;123623
706.35208;117261
706.42425;117378
706.93515;118935
707.07341;120206
707.34806;135583
707.44839;125875
707.53124;146786
707.74519;118579
707.76349;132656
707.83215;145558
708.05537;112869
708.17651;116245
708.32386;113372
708.36818;218357
708.56154;117143
708.59325;113143
708.71527;149789
708.88211;137083
709.02827;121840
709.15007;116885
709.23842;128436
709.32374;147344
709.32716;155250
709.36341;133699
709.56848;113294
709.63529;112994
709.64902;117968
709.71614;114939
709.82803;113355
709.92422;143420
710.09866;125599
710.23517;115646
710.28559;116879
710.31116;144488
710.34774;234962
710.68516;127394
710.77129;124725
710.92557;113494
710.95625;113373
710.96204;133341
711.06798;127262
711.30678;116288
711.3106;132199
711.3279;134689
711.34315;229012
711.4019;117686
711.44877;127334
711.53298;133742
711.59463;119236
711.60543;113995
711.64202;130833
711.85331;124565
711.93866;117073
711.9669;145634
712.06989;114489
712.29158;134536
712.30561;114276
712.32672;113076
712.33782;115177
712.34636;113758
712.37476;162943
712.38995;124752
712.40222;116047
712.43825;125464
712.81367;112980
712.85583;119441
712.92655;115646
712.93877;139475
713.02363;126234
713.06127;115692
713.11858;113227
713.31635;113339
713.35963;119670
713.4429;116121
713.4942;116132
713.51362;120338
713.5207;127948
713.76393;119169
713.96141;128388
714.09803;131667
714.13558;133181
714.42422;119760
714.469;118296
714.47145;113359
714.88428;126230
714.9341;131259
715.05368;114520
715.06981;114441
715.08706;116360
715.22349;115754
715.22874;118143
715.23332;120860
715.33794;303051
715.37223;114241
715.41067;115002
715.43651;114681
715.58229;115152
715.64343;122505
715.71762;118045
715.75338;115034
715.78405;129752
715.85955;133320
715.98107;116403
716.0601;125272
716.06286;141991
716.10528;144581
716.21987;114275
716.26031;147059
716.30529;115649
716.33198;114966
716.33703;144194
716.41001;115622
716.53805;112415
716.57887;119661
716.63377;130430
716.69157;127711
716.7813;115618
716.91409;135790
716.9378;121870
716.95266;123938
717.08445;130779
717.10483;141694
717.17165;119671
717.17506;131080
717.30187;125651
717.39014;119591
717.45315;118644
717.49517;130445
717.52509;118557
717.54398;120384
717.61349;113739
717.70171;117928
717.90057;133181
717.91269;124476
717.92466;118823
717.94406;112944
718.028;125050
718.04115;126782
718.12631;145341
718.15982;113491
718.16865;170612
718.20835;122780
718.23237;127380
718.31649;137224
718.36251;114896
718.37183;122024
718.40221;159050
718.45725;117622
718.62534;128722
718.77786;116592
718.83124;114808
718.92408;113584
718.92591;114662
718.96555;142720
719.01367;132142
719.01906;117026
719.06962;129050
719.3151;113757
719.33089;124972
719.37479;115043
719.37966;122141
719.44444;128687
719.49219;112450
719.50915;116454
719.59111;118824
719.64213;117226
719.65145;121273
719.71737;122128
719.86529;121844
720.00997;120007
720.03421;123347
720.1331;135505
720.33305;139870
720.42696;122362
720.49628;113356
720.52003;130947
720.64794;122056
720.79593;137685
720.81011;129199
720.81531;163196
720.8371;119779
720.86932;120912
720.91303;151984
720.97524;113697
721.03581;119240
721.04922;123247
721.09418;133340
721.13121;124425
721.36366;161496
721.43203;121885
721.44145;118594
721.59155;114541
721.71202;117902
721.83518;121172
721.84236;144741
721.93469;117253
721.99723;118011
722.00927;116240
722.14106;122722
722.19252;139198
722.227;113152
722.33702;116397
722.35865;338439
722.39506;363581
722.5032;112860
722.53654;121376
722.64733;119696
722.69958;129970
722.72907;123763
722.84258;114170
722.86935;114227
722.8733;120311
722.89292;120639
722.91849;117980
722.9346;123602
722.96537;125153
722.98625;145756
723.03269;115922
723.04108;130472
723.06533;115613
723.07688;131384
723.14578;113787
723.27516;125800
723.31262;135058
723.34591;125571
723.36119;113039
723.44457;132253
723.49971;116996
723.55254;115052
723.59386;125181
723.67618;122667
723.7035;124287
723.72942;118219
723.75001;128482
723.83824;119877
723.84278;123108
723.92117;136761
723.93738;114949
723.9462;135605
724.00886;114826
724.06731;129736
724.09123;117547
724.12342;113377
724.2917;140528
724.32651;126840
724.41184;144396
724.56962;125632
724.59373;114984
724.64037;113421
724.85203;115170
724.91383;116180
724.91696;119916
725.10281;129361
725.15388;123340
725.18726;123097
725.19118;117270
725.2104;132732
725.28153;130277
725.31857;116617
725.43329;125010
725.51954;112894
725.53826;115988
725.65314;119037
725.66026;126636
725.70547;113610
725.77366;126929
725.834;124482
725.91745;119056
725.94216;141520
725.9643;123148
726.00237;142199
726.0082;134585
726.07248;124202
726.21255;113923
726.31371;121784
726.34141;114288
726.35293;158343
726.38105;156125
726.39351;181971
726.42338;116873
726.52916;122149
726.64777;119532
726.70033;121524
726.73222;119686
726.87421;135029
726.89006;357688
726.8928;116012
726.90644;147062
726.93885;119778
727.04553;133665
