m/z;I
836.43785;835070
868.42765;374261
892.50015;665476
898.47477;534818
898.51095;659751
942.44648;536901
1088.59673;243136
1096.53839;934236
1105.57527;4028339
1105.62317;862740
1121.61779;265165
1127.55737;386576
1129.60062;811141
1136.60655;451357
1149.52937;185571
1153.56024;821748
1163.5919;857608
1166.55552;319047
1182.61161;738870
1183.5709;967639
1186.622;815371
1193.62774;319435
1196.56638;212761
1196.63867;934937
1203.62337;316828
1207.60673;341255
1241.55887;1251459
1241.66021;1142352
1264.62865;300588
1267.67541;852257
1272.5988;199992
1299.70623;338194
1308.67369;429466
1316.67114;374917
1346.71889;369517
1379.61898;295564
1392.68627;249130
1420.6817;554171
1427.72803;11194735
1435.68225;3458866
1443.72216;324112
1469.81133;301843
1473.67299;1304115
1483.71404;251037
1496.75153;357403
1532.78278;489448
1540.67002;321455
1550.75668;913590
1557.66813;387601
1558.67135;261919
1561.79805;3807068
1562.78225;4498528
1562.82997;1075487
1573.66248;479420
1589.77872;446113
1615.81994;942139
1637.72393;829811
1648.77844;855486
1648.82902;1141717
1658.81763;414378
1688.88281;455998
1694.74559;521246
1694.77353;358187
1698.82095;655540
1706.77287;1027688
1716.9152;935063
1726.86573;2042643
1735.79952;333403
1742.76284;384369
1743.7251;543923
1750.83536;213804
1759.71844;280591
1762.90902;410248
1783.80235;1828362
1787.905;937890
1804.93022;12901932
1816.86488;2847543
1826.9128;743486
1832.86;3346433
1846.94059;396225
1848.8558;1069561
1888.91714;415461
1892.92139;3525103
1899.99171;661404
1931.96632;257821
1933.97269;921338
1958.97043;2121907
1975.99449;30479508
1997.99097;10918244
2019.9728;663988
2028.06328;591151
2039.06893;2595938
2040.93855;653430
2056.09224;37800724
2056.97829;10236610
2057.9634;4633729
2072.09008;8762369
2078.07785;1071242
2089.00416;965423
2105.00083;292007
2115.97089;202874
2118.09582;300206
2131.11546;8013061
2146.94173;271263
2153.09561;730615
2198.96984;858293
2214.96947;291666
2216.05896;1863087
2232.05626;1635813
2256.05104;1066402
2266.05882;625917
2272.04673;554051
2280.1867;323229
2290.18543;248527
2348.08606;988941
2364.08321;738416
2390.18162;579895
2410.13443;1504781
2453.14416;296595
2465.09912;330209
2481.2099;978951
2485.2291;1914737
2497.20419;1809754
2501.1644;254471
2513.20204;1261232
2532.20536;532473
2548.19589;382785
2564.16401;537639
2582.21908;3006416
2596.19636;1823687
2612.19119;1036162
2651.24771;696664
2675.24611;484291
2687.24946;407833
2689.25895;2271271
2698.23385;591883
2705.25156;38099136
2719.23108;2664824
2727.23879;2731523
2743.28846;2401617
2750.29241;1288517
2759.28467;5357790
2767.31844;14564368
2775.27994;2224290
2792.32635;6202294
2814.30592;575322
2861.35628;411767
2883.42253;9202112
2899.42072;5427969
2905.40955;691563
2914.33949;730726
2921.41075;510304
2930.3385;1176998
3001.36503;764584
3003.34909;415096
3009.4011;1560407
3017.36076;7011757
3018.33838;5127700
3025.37591;319396
3036.40597;650899
3043.51014;999481
3052.40152;1982382
3059.50279;13808612
3082.40147;564522
3084.41275;5952906
3100.41019;27215072
3116.4083;7060391
3122.39645;2172494
3124.37446;751466
3138.36644;610844
3183.47544;1492265
3227.52055;770874
3228.49439;479328
3382.70424;688762
3517.45916;374353
3575.65563;729170
3651.55091;1384275
3722.58655;1815960
3856.75676;474433
4036.88704;2230207
4053.91977;540665
4069.91264;1381368
4085.90627;1270829
4096.93883;1650624
4112.93514;3014579
4153.08491;2260334
4286.05073;1374622
4302.0411;3887663
4318.03513;1174975
4348.10356;3697912
4364.097;7473844
4386.08228;1010939
4519.13034;777187
4535.13688;1563970
