m/z,I
898.40189,240824
898.47468,388306
898.51103,438120
942.44630,318662
1010.50178,236262
1013.50148,316957
1024.51749,237956
1032.54748,219867
1064.51221,158443
1079.52326,338117
1095.52298,124630
1105.57533,3038143
1121.61788,347658
1136.56993,351796
1153.52365,274697
1154.58064,282164
1162.62203,639309
1163.59208,812619
1165.52348,348793
1167.57573,724922
1180.64353,694592
1183.57103,568513
1192.57132,414287
1193.62750,325790
1207.60652,235087
1210.54560,124628
1241.55862,912270
1241.66058,496147
1250.57605,182987
1261.62894,289141
1264.62869,308714
1308.67371,334623
1311.62914,235805
1416.68736,196086
1417.73010,378143
1435.68249,2864712
1439.72461,244198
1453.74361,12454397
1459.69325,2153946
1473.67270,916797
1511.74548,284770
1546.79853,583945
1550.75706,1104637
1561.79846,5282560
1562.78220,2088825
1562.82978,1407666
1572.75220,186275
1586.75692,1866487
1589.77787,325263
1604.81440,342914
1678.74986,237147
1706.77288,730401
1743.72575,434442
1783.80295,865242
1787.86838,392487
1795.91053,1508204
1799.79932,438556
1803.91045,3843269
1804.89453,3776046
1816.86500,2112937
1832.86097,2358914
1848.85605,695079
1892.92177,1500215
1919.95809,334846
1944.95309,1007386
1961.98046,11009637
1977.97385,241764
2002.03616,233879
2010.05136,482141
2011.03686,613593
2013.00142,1011798
2013.98544,1717759
2028.06500,7441908
2039.95482,802033
2044.05743,7517196
2056.97916,7579008
2057.96443,2471491
2060.05116,283251
2105.00101,2137681
2131.11623,7496795
2146.94229,224880
2188.02838,4577112
2198.97189,1918189
2266.05670,221947
2282.07028,732798
2297.06542,265636
2357.11602,234428
2377.11017,176399
2445.20968,308439
2455.22458,2264497
2467.19813,1077492
2471.21726,637799
2483.18943,2111665
2499.18627,1314146
2548.22447,368694
2559.20235,219948
2565.24203,3645829
2576.22544,1260890
2592.22166,636831
2651.24578,665652
2659.25003,362731
2673.26448,1067805
2689.25903,6888295
2705.25335,15050927
2719.23312,3655262
2737.29414,468929
2743.27537,241426
2752.27880,1371729
2759.27291,479607
2766.33127,7612874
2767.31820,9501364
2785.30019,8721538
2801.29241,2633694
2820.35246,7071870
2839.39455,334757
2867.42702,1267538
2883.42332,12709241
2899.42136,1541610
2917.29415,995681
2930.33542,285459
2987.38998,7980225
2988.36775,4930373
3017.49136,289568
3033.48454,3803177
3036.40500,479816
3052.40173,521208
3084.41351,6891708
3085.38943,1982195
3100.41218,10350562
3101.38833,3607646
3116.40958,2947182
3132.40473,394266
3153.46777,1710562
3154.44442,902346
3169.46238,1754012
3170.43878,1027196
3225.54298,962164
3241.53203,2097884
3408.72606,295446
3502.57753,478208
3681.56854,799117
3752.60822,677913
4020.90361,732560
4096.94358,1771552
4112.94179,1641362
4274.02853,598405
4290.01807,1482386
4306.01205,707621
4375.11874,425591
4391.11270,1115446
4493.13613,1317139
4509.12827,264613
