m/z,I
898.47489,334205
898.51102,527775
1079.52362,404640
1086.61952,414809
1105.57554,2436796
1108.62689,316493
1121.58159,1261459
1121.61807,297112
1125.52935,572816
1162.62214,971757
1163.59226,880024
1176.61283,384090
1180.64402,731171
1183.57099,553040
1193.51861,207043
1193.62762,312655
1196.63909,758389
1198.70634,638149
1206.58643,270244
1254.53546,172594
1261.59243,201635
1261.62925,186329
1274.72659,6044428
1280.62371,232692
1290.72211,519640
1306.71622,399513
1335.63013,635226
1379.69132,165104
1447.75527,301300
1453.74447,8708133
1455.80726,285870
1459.69419,1684709
1473.67287,598112
1479.79673,1957138
1489.70419,187932
1511.74527,173861
1550.75722,757162
1580.73080,238910
1586.75724,1546321
1604.81555,498937
1615.82092,1100414
1655.80025,476602
1673.81929,354825
1702.89990,417472
1706.77450,720558
1718.94536,357357
1726.86581,633733
1759.71981,255622
1768.86381,347543
1790.89343,425849
1791.82706,268260
1795.91092,790012
1803.91104,2805426
1804.89496,2700762
1832.86101,1692507
1838.97601,297597
1848.85684,1644563
1888.91989,440873
1892.92322,893380
1919.95904,248781
1944.95410,839112
1960.85497,540351
1961.98119,10446952
1971.04652,297355
1974.87017,317784
2013.00191,3234034
2028.06547,6649137
2044.05821,3868890
2056.97982,5731356
2061.92571,172525
2089.00791,564779
2105.00256,1403966
2115.97139,241950
2120.99989,514169
2131.11682,6144100
2146.94171,283496
2172.11795,367563
2188.02941,2073128
2214.97000,1319117
2231.07047,337550
2244.02918,201149
2266.05706,285609
2282.07143,257829
2294.12792,328305
2310.14079,273591
2348.08798,666272
2410.13845,583338
2455.22582,3765470
2471.21863,1324518
2483.18930,1215866
2550.15095,1360728
2560.16811,447342
2565.23909,2952123
2592.22083,732589
2650.25410,627468
2669.24767,350844
2673.26528,1152717
2689.26024,9437448
2705.25306,36577812
2719.23219,2824758
2721.29872,802638
2727.23900,1091974
2737.29371,1014833
2766.32640,9214617
2785.30245,5842414
2801.29398,6070567
2820.35480,5767426
2861.35581,606666
2867.42858,495619
2883.42547,8494536
2899.42331,1445817
2905.40713,363600
2918.29527,800930
2987.38966,20799794
3009.36327,568499
3017.49611,325661
3025.37652,746884
3033.48755,2702628
3036.40469,2349716
3052.40244,3978922
3084.41576,1100435
3100.41230,14156161
3116.41004,29316214
3132.40620,1832370
3137.49720,405748
3153.46930,1936126
3169.46339,1659327
3225.54309,853360
3241.53076,1490076
3392.73012,309493
3408.72801,1042376
3547.46847,303042
3549.65510,778017
3665.57374,228470
3681.56793,2339110
3736.61387,274520
3752.60955,3112884
3881.77988,328254
3898.77936,511673
3926.88205,230890
3953.79222,391021
4019.92124,1250679
4096.94753,2663813
4112.94235,3429603
4134.92690,287313
4139.07619,1149845
4229.08550,346809
4274.02975,904410
4290.02102,1934860
4301.11723,477218
4306.01391,782189
4375.12975,851007
4391.11972,2079833
4493.13756,981288
