m/z;I
892.49963;383339
899.43282;115929
1007.48964;114561
1022.53693;129321
1024.51626;260773
1032.54631;140182
1048.58954;232668
1064.51132;206358
1065.59468;268315
1067.51076;93158
1105.57415;1759328
1105.62181;991587
1106.55779;1411299
1108.50134;236240
1121.61688;469792
1136.60541;506600
1139.54282;195853
1149.52717;162786
1153.55919;326530
1176.6474;113326
1182.61061;349179
1183.56975;542989
1186.59583;203860
1193.51765;184910
1193.5534;218239
1193.6265;184785
1193.66277;967058
1199.63705;154248
1203.62251;338651
1207.6055;231515
1208.56415;404945
1208.67389;806757
1209.65773;1995507
1224.63168;357021
1241.65921;3623101
1250.57506;175428
1261.62813;367619
1266.64273;178820
1267.67433;1207656
1273.70037;387582
1281.61795;473314
1295.63947;377463
1328.69489;431827
1339.659;237886
1386.77287;195003
1387.69153;541227
1390.73076;269391
1392.68502;347787
1417.72855;826026
1420.67943;326862
1426.77177;261959
1427.72672;20305678
1432.68007;605416
1435.68077;3480383
1438.65409;220018
1443.79365;206975
1447.75408;474423
1448.67546;206533
1449.7085;370280
1459.6919;1974657
1473.67123;679855
1475.74826;245043
1483.71206;247931
1504.77388;151225
1509.77512;156507
1532.78021;310965
1537.70173;223014
1551.79729;476055
1561.79641;8092500
1562.78045;8037693
1562.82801;2766770
1568.74339;219791
1580.76597;1140287
1586.75442;4559795
1589.7764;716259
1608.73892;221977
1615.81811;1029956
1616.80236;3898344
1648.82772;1439014
1655.81298;488636
1665.75888;212857
1674.89128;127332
1688.88031;690928
1694.85953;192568
1699.88555;258759
1707.75492;148758
1716.91309;2600705
1717.82871;710446
1719.84075;405241
1726.86348;783447
1762.90696;403559
1769.89205;1022962
1787.92731;370548
1799.79656;611773
1804.92804;13550089
1831.93876;400457
1832.85737;2002743
1847.89755;174132
1848.85314;1154719
1861.9489;280347
1880.90974;147029
1888.91579;211801
1899.98989;863613
1915.98626;362121
1922.9299;4486906
1927.0491;632020
1933.96937;1168434
1943.04271;148484
1958.96658;2561716
1975.99208;36803944
1987.95729;262353
1997.98841;2232860
2014.06881;1677570
2014.93775;318328
2019.97133;284948
2020.94106;659316
2029.97957;857866
2030.06524;691714
2038.081;1631085
2039.06549;3215334
2040.93479;693679
2041.96698;341203
2056.08967;53491072
2056.97339;2007446
2057.96032;9220295
2062.98713;210462
2072.087;15182921
2073.99379;1632026
2078.07367;585125
2088.08008;318905
2089.98662;1134704
2090.97166;906183
2094.06689;225059
2095.01282;318234
2099.98785;218780
2115.98462;340989
2118.09181;362683
2120.99938;702477
2131.11238;15319384
2146.93884;332485
2147.0443;433183
2153.09185;349685
2200.05935;545521
2216.05479;7667243
2234.07834;450544
2239.04953;467306
2244.02302;189931
2256.04847;1739327
2257.00826;341725
2265.0497;732251
2270.03803;128104
2272.0438;459745
2281.12905;326831
2287.00954;188177
2322.06777;284177
2325.15379;208759
2336.20428;280584
2348.15463;391946
2364.12035;350560
2373.15159;147458
2374.09073;172836
2390.17689;1848135
2395.12464;363153
2398.2419;1225851
2411.11806;1198330
2431.25534;378312
2460.18416;310410
2465.2149;338807
2471.21227;1121519
2481.20732;1860082
2487.20501;1414323
2497.20213;2450159
2502.20439;1257873
2513.19809;1174990
2524.18177;618266
2566.20199;6147319
2582.20928;3469140
2592.27411;223544
2608.27051;296661
2688.22933;385511
2704.21681;6755614
2707.23845;1614328
2720.21136;1612426
2759.28136;2051140
2764.30579;1921624
2775.27605;2042248
2781.32768;30346004
2792.30722;1115701
2797.32069;660899
2803.30464;651741
2809.38261;696033
2837.41009;1034009
2853.40374;39424856
2869.40036;4340947
2875.38819;1101149
2880.38302;653225
2891.36483;397310
2930.33377;645687
2946.32407;384938
2993.38296;471990
3009.39833;849777
3010.37874;1841968
3019.32142;1489774
3020.3031;1287144
3033.48406;1569846
3034.46267;1375649
3038.36338;409961
3054.36092;955289
3101.39239;1068142
3102.37054;1474492
3117.38834;2953878
3118.36607;4735531
3140.35009;200394
3170.41876;651235
3185.43491;1202066
3186.41173;1253911
3217.48728;221117
3228.49401;2380785
3239.63325;763695
3244.48872;240093
3254.62841;179926
3401.55623;857892
3486.57734;433175
3502.57228;2758411
3518.56529;851670
3558.60134;157965
3837.71392;249030
4005.80358;227502
4005.90393;795892
4021.9014;828815
4022.80305;518719
4037.86687;2838060
4053.90934;610535
4069.9037;2097153
4085.89733;2509764
4101.88956;1037150
4113.89213;396990
4153.06152;641840
4187.05067;415533
4203.04402;562639
4288.016;760886
4303.00811;1173410
4319.99411;387054
4349.08313;2406158
4365.07674;2777201
4381.06634;230280
4507.12849;1448556
4525.11923;274553
